city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
rio grande do norte,36.91,41.97,47.52,50.1,15.57,7.93
ate 5.000 ,10.93,17.98,56.7,65.36,32.38,16.66
agua nova,-,5.81,63.05,80.43,36.95,13.76
almino afonso,23.55,6.62,41.36,69.64,35.09,23.75
barcelona,0.32,22.25,46.66,58.4,53.02,19.35
bodo,-,29.93,51.34,49.21,48.66,20.86
caicara do rio do vento,0.29,57.74,72.94,32.74,26.77,9.53
coronel joao pessoa,0.55,0.24,91.51,86.96,7.94,12.8
fernando pedroza,6.68,5.75,79.97,79.81,13.35,14.44
francisco dantas,-,1.08,61.52,73.41,38.48,25.51
frutuoso gomes,46.29,1.47,47.84,80.54,5.87,17.99
galinhos,-,-,73.99,94.8,26.01,5.2
ipueira,-,1.88,83.72,90.0,16.28,8.13
jardim de angicos,28.39,5.89,58.83,43.01,12.78,51.1
joao dias,30.97,24.47,16.92,61.84,52.11,13.7
jundia,-,3.62,-,78.67,-,17.71
lagoa de velhos,0.64,15.32,59.97,80.51,39.39,4.17
lajes pintadas,26.17,34.4,20.57,34.63,53.26,30.97
lucrecia,53.9,59.85,36.4,37.13,9.71,3.02
major sales,1.41,18.05,76.66,79.96,21.92,1.99
messias targino,-,14.03,71.3,76.79,28.7,9.18
monte das gameleiras,-,23.39,54.24,53.21,45.76,23.39
olho-d'agua do borges,0.26,2.18,61.81,77.02,37.93,20.79
ouro branco,2.08,15.98,69.6,65.8,28.32,18.21
parana,0.25,0.62,62.83,88.41,36.93,10.96
parau,4.27,17.64,72.46,69.27,23.27,13.09
parazinho,0.73,43.46,70.7,43.54,28.57,13.0
passagem,0.15,5.81,66.82,76.39,33.04,17.79
pedra grande,4.71,0.78,66.25,85.71,29.05,13.51
pedra preta,11.13,0.76,18.24,43.96,70.63,55.29
piloes,1.67,20.83,75,65.52,23.33,13.65
rafael fernandes,0.19,12.16,61.33,55.74,38.48,32.1
rafael godeiro,0.25,3.14,56.33,66.46,43.42,30.4
riacho da cruz,13.73,55.87,68.51,34.03,17.76,10.1
riacho de santana,-,10.45,66.34,61.63,33.66,27.92
rodolfo fernandes,43.64,19.36,45.84,73.73,10.53,6.91
ruy barbosa,0.12,0.52,47.49,64.19,52.39,35.29
santa maria,0.32,0.84,72.29,76.07,27.38,23.09
santana do serido,40.78,59.61,21.1,16.87,38.12,23.51
sao bento do norte,0.79,14.23,38.82,73.55,60.39,12.22
sao bento do trairi,19.5,51.61,32.07,24.25,48.43,24.15
sao fernando,51.88,36.29,22,47.06,26.13,16.65
sao francisco do oeste,70.4,0.43,22.93,86.29,6.67,13.28
sao jose do serido,50.99,64.78,37.91,22.29,11.1,12.92
senador georgino avelino,5.96,1.73,86.81,97.12,7.23,1.15
serrinha dos pintos,0.09,0.22,46.82,91.91,53.09,7.87
taboleiro grande,-,1.01,76.21,80.87,23.79,18.12
tibau,2.38,27.4,85.71,64.89,11.9,7.72
timbauba dos batistas,1.12,83.7,82.34,15.56,16.54,0.74
triunfo potiguar,0.23,1.09,49.41,75.79,50.35,23.12
venha-ver,0.72,3.11,32.95,90.98,66.33,5.91
vicosa,79.67,69.02,16.43,28.9,3.9,2.08
vila flor,-,1.75,94.68,95.92,5.32,2.33
de 5.001 a 10.000 ,10.35,19.55,59.71,63.39,29.94,17.06
antonio martins,25.48,22.76,36.09,60.28,38.43,16.96
augusto severo,0.69,15.54,51.14,41.98,48.17,42.48
baia formosa,1.44,9.58,91.2,84.71,7.36,5.71
bento fernandes,0.11,4.93,65.34,81.83,34.55,13.24
bom jesus,1.01,8.66,76.63,81.96,22.37,9.38
caicara do norte,0.46,33.37,88.69,63.89,10.85,2.74
carnauba dos dantas,4.25,15.6,77.49,76.96,18.26,7.44
carnaubais,14.08,40.8,52.44,53.31,33.48,5.89
coronel ezequiel,2.32,15.38,35.68,46.85,61.99,37.76
cruzeta,42.59,60.47,37.66,26.17,19.75,13.35
doutor severiano,0.4,24.79,62.17,64.37,37.42,10.84
encanto,1.47,12.96,60.16,63.67,38.38,23.36
equador,39.36,45.57,39.15,38.22,21.48,16.21
felipe guerra,0.49,3.29,66.34,74.31,33.17,22.4
florania,51.95,66.8,18.63,20.57,29.42,12.64
grossos,1.8,9.14,80.17,88.44,18.04,2.42
itaja,0.71,15.05,84.18,78.04,15.11,6.91
itau,0.68,1.97,90.98,91.15,8.34,6.88
jacana,5.64,0.47,66.19,78.05,28.18,21.47
jandaira,-,13.47,87.03,73.55,12.97,12.98
janduis,-,33,68.61,54.52,31.39,12.48
januario cicco,0.33,11.2,34.55,65.13,65.12,23.67
japi,0.4,42.57,57.54,34.17,42.06,23.26
jose da penha,5.38,11.34,56.92,82.46,37.7,6.2
lagoa d'anta,1.96,5.35,59.48,83.54,38.56,11.11
lagoa de pedras,0.74,1.28,51.37,68.49,47.89,30.23
lagoa salgada,0.25,0.57,66.63,77.91,33.13,21.51
luis gomes,1.66,3.69,62.17,82.0,36.17,14.31
marcelino vieira,18.02,25.03,46.57,63.18,35.41,11.78
martins,37.36,0.17,52.94,84.98,9.7,14.86
pedro avelino,25.04,45.45,47.95,25.67,27.01,28.88
portalegre,0.48,0.61,43.62,60.38,55.91,39.01
porto do mangue,1.39,0.28,57.72,78.35,40.89,21.37
presidente juscelino,0.43,19.8,63.5,69.89,36.07,10.31
pureza,0.44,0.79,85.66,62.9,13.9,36.31
riachuelo,45.39,52.6,28.93,37.11,25.68,10.29
sao joao do sabugi,0.97,4.24,78.22,79.88,20.82,15.88
sao miguel do gostoso,4.16,1.32,56.4,87.03,39.44,11.65
sao pedro,0.51,1.86,58.74,74.0,40.75,24.14
sao rafael,49.51,58.51,24.73,26.93,25.77,14.56
sao vicente,13.39,57.59,41.57,34.84,45.04,7.56
senador eloi de souza,0.25,8.74,47.69,80.05,52.05,11.2
serra de sao bento,-,7.13,46.54,62.18,53.46,30.68
serra negra do norte,29.89,62.99,29.78,16.18,40.33,20.83
serrinha,0.64,2.64,32.58,61.11,66.78,36.25
severiano melo,0.17,6.26,63.86,76.46,35.97,17.28
sitio novo,-,6.8,45.22,68.89,54.78,24.32
tenente ananias,9.48,27.71,54.84,51.37,35.68,20.92
tenente laurentino cruz,-,5.26,53.88,88.06,46.12,6.68
varzea,0.6,13.45,76.57,74.58,22.83,11.97
de 10.001 a 20.000 ,18.51,28.06,53.92,57.42,27.57,14.51
acari,62.89,81.26,23.44,8.75,13.68,9.99
afonso bezerra,26.24,39.67,45.19,42.56,28.58,17.77
alexandria,38.04,52.51,26.44,29.1,35.51,18.39
alto do rodrigues,7.53,7.75,83.32,90.51,9.15,1.74
angicos,6.02,34.99,77.89,57.44,16.09,7.56
ares,59.43,19.23,33.03,72.52,7.54,8.25
brejinho,1.97,25.31,75.02,62.11,23.01,12.58
campo redondo,30.82,40.68,26.46,21.49,42.72,37.83
caraubas,2.27,11.93,64.81,69.55,32.92,18.51
cerro cora,0.7,4.03,45.15,64.84,54.15,31.13
espirito santo,11.1,15.56,50.17,74.0,38.74,10.44
governador dix-sept rosado,0.07,14.11,38.79,58.65,61.14,27.24
guamare,10.05,34.09,71.39,63.35,18.56,2.55
ielmo marinho,-,4.99,27.39,56.26,72.61,38.76
ipanguacu,2.64,9.61,60.3,81.65,37.05,8.74
