city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
rio grande do norte,43.99,28.21,18.85,9.27,12.94,4.71
ate 5.000 ,55.89,38.22,35.58,17.57,23.77,8.83
agua nova,58.24,32.81,38.83,21.34,28.99,9.49
almino afonso,45.03,31.89,33.39,25.74,20.07,12.53
barcelona,65.62,41.69,58.49,22.15,45.07,11.4
bodo,60.27,28.05,58.36,17.48,38.63,6.1
caicara do rio do vento,54.35,32.09,31.52,10.14,20.38,4.05
coronel joao pessoa,64,53.52,8.43,13.44,6.57,8.59
fernando pedroza,55.52,38.65,11.04,15.54,8.03,6.37
francisco dantas,52.62,38.63,39.83,29.18,27.62,15.45
frutuoso gomes,56.2,34.04,5.8,14.78,5.2,6.86
galinhos,64,36.41,28.4,8.25,22,5.34
ipueira,43.16,32.1,21.05,8.02,14.74,2.47
jardim de angicos,52.56,38.93,15.34,58.78,12.5,26.72
joao dias,66.45,53.09,52.82,12.76,37.21,10.29
jundia,-,49.85,-,16.41,-,9.12
lagoa de velhos,49.16,29.88,39.11,1.59,23.46,0.4
lajes pintadas,52.15,36.72,60.19,32.03,31.03,17.97
lucrecia,45.98,24.3,10.53,3.74,5.26,1.87
major sales,58.98,36.8,16.47,1.87,11.08,1.6
messias targino,51.92,45.8,31.84,7.91,20.73,6.0
monte das gameleiras,69.25,38.57,52.91,26.46,36.57,15.25
olho-d'agua do borges,57.91,53.56,42.09,24.77,27.87,18.89
ouro branco,42.49,24.12,28.54,21.14,15.43,7.59
parana,62.22,42.39,32.24,10.41,19.65,5.58
parau,53.24,40.24,28.6,13.61,18.37,9.47
parazinho,65.85,46.99,31.42,13.16,22.09,7.14
passagem,50.41,39.69,38.69,18.68,22.62,11.67
pedra grande,63.67,43.34,35.83,13.03,26.83,7.93
pedra preta,55.58,36.86,78.17,64.71,49.49,26.27
piloes,59.21,43.97,26.64,15.64,20.07,8.47
rafael fernandes,50.84,31.71,44.33,34.63,27.94,14.39
rafael godeiro,46.58,23.11,43,29.17,27.04,8.71
riacho da cruz,52,31.8,19.67,9.84,11.33,5.9
riacho de santana,55.1,41.69,38.61,31.93,25.6,18.47
rodolfo fernandes,56.1,45.05,13.7,7.92,11.44,4.21
ruy barbosa,63.39,41.86,56.89,37.21,39.76,20.6
santa maria,57.34,39.92,29.98,26.28,22.74,12.45
santana do serido,41.81,25.82,36.21,31.46,18.53,8.45
sao bento do norte,53.49,43.19,63.1,10.96,38.43,2.66
sao bento do trairi,59.91,37.35,54.8,21.28,38.17,11.11
sao fernando,55.35,41.73,35.47,17.72,26.3,11.02
sao francisco do oeste,48.31,37.7,8.05,11.18,4.94,5.43
sao jose do serido,31.74,22.25,10.33,13.87,4.79,1.73
senador georgino avelino,52.49,41.07,7.38,0.82,5.21,0.0
serrinha dos pintos,45.75,35.06,52.18,7.27,30.8,5.71
taboleiro grande,57.45,25.34,26.38,21.27,21.7,8.6
tibau,50.53,28.14,15,8.47,7.37,4.1
timbauba dos batistas,45.91,33.75,15,1.25,10.45,0.63
