city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
rio grande do norte,25.43,18.54,11.58,5.04,25.89,17.86,54.9,45.29
ate 5.000 ,34.93,27.58,15.39,6.83,37.42,27.66,63.7,57.6
agua nova,42.15,22.66,21.85,2.75,45.91,22.74,74.25,58.7
almino afonso,32.89,25.05,15.04,6.36,34.3,25.05,60.07,51.89
barcelona,40.34,29.51,17.96,6.15,42.24,28.65,71.05,58.83
bodo,39.78,24.86,19.18,4.81,43.19,25.66,73.64,58.17
caicara do rio do vento,33.47,25.65,14.68,6.13,35.96,23.81,62.54,63.94
coronel joao pessoa,39.32,33.16,20.32,8.5,41.27,35.85,65.08,60.98
fernando pedroza,35.27,29.64,10.78,8.95,36.75,27.49,68.5,66.5
francisco dantas,36.86,29.06,18.36,10.19,39.65,27.52,61.37,58.46
frutuoso gomes,32.75,25.67,14.7,5.27,35.45,25.29,57.31,53.91
galinhos,40.86,26.85,25.07,8.74,45.85,30.4,60.47,52.94
ipueira,27.59,23.94,8.61,3.63,28.52,21.05,54.67,53.77
jardim de angicos,30.55,26.92,11.47,6.33,33.71,26.17,54.08,56.71
joao dias,43.67,38.86,20.7,14.39,46.95,42.71,68.3,66.47
jundia,-,35.44,-,11.98,-,35.31,-,68.16
lagoa de velhos,30.92,26.65,10.52,7.58,32.72,25.05,60.36,61.45
lajes pintadas,30.85,27.51,9.43,5.18,30.63,26.68,63.93,61.62
lucrecia,29.4,23.93,9.9,2.71,31.24,23.29,62.39,55.53
major sales,38.55,29.03,12.93,5.66,43.03,28.88,70.62,57.89
messias targino,34.78,32.39,17.9,9.73,35.85,32.99,67.8,64.26
monte das gameleiras,48.21,30.5,30.53,6.87,48.27,31.84,80.45,66.91
olho-d'agua do borges,38.62,35.11,20.65,14.99,39.77,33.9,60.58,58.49
ouro branco,24.91,21.05,7.49,4.46,25.19,20.16,48.51,40.71
parana,34.67,33.51,16.16,11.08,37.24,33.35,65.6,61.18
parau,35.98,27.94,17.71,7.15,37.22,27.6,61.65,55.15
parazinho,43.27,32.92,22.18,9.2,48.42,34.45,72.91,69.78
passagem,33.39,28.74,13.02,6.09,33.02,27.96,69.35,62.34
pedra grande,40.45,24.7,21.35,8.68,44.78,26.8,71.02,51.55
pedra preta,39.07,23.09,19.62,5.31,41.03,23.72,69.92,50.15
piloes,34.83,29.59,12.28,4.97,40.41,29.94,62.96,60.48
rafael fernandes,29.82,24.43,10.72,7.04,32.93,24.1,50,47.82
rafael godeiro,29.92,25.81,9.62,4.76,32.11,24.19,54.69,51.06
riacho da cruz,35.46,25.85,15.04,6.17,39.1,27.0,57.75,51.84
riacho de santana,31.36,27.43,12.54,3.79,34.7,26.19,53.44,56.79
rodolfo fernandes,36.74,30.44,17.27,7.59,38.92,31.79,67.4,57.4
ruy barbosa,40.77,30.96,16.2,4.65,44.27,32.62,76.12,65.77
santa maria,36.53,28.85,14.56,6.05,39.54,29.86,70.13,65.09
santana do serido,25.78,19.54,10.61,2.44,26.24,19.77,52.06,43.4
sao bento do norte,30.58,32.41,11.24,8.22,34.82,34.81,59.38,64.57
sao bento do trairi,38.79,28.19,14.29,5.53,42.75,29.66,71.51,63.62
sao fernando,34.48,27.2,15.24,6.26,35.07,26.95,66.19,55.35
sao francisco do oeste,33.61,26.86,15.76,6.53,34.84,26.64,63.19,58.53
sao jose do serido,21.59,16.23,5.5,1.91,22.41,15.08,50.13,43.8
