city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
tocantins,18.78,13.1,6.24,2.42,19.21,11.67,56.34,44.97
ate 5.000 ,24.14,18.83,8.14,3.68,25.41,17.21,61.15,52.18
abreulandia,20.75,13.38,7.01,3.41,21.66,11.75,56.96,36.09
angico,20.91,17.56,5.45,3.73,20.37,14.35,58.7,52.72
aparecida do rio negro,20.51,14.93,4.99,1.3,20.03,11.2,64.31,49.36
aurora do tocantins,28.28,20.97,7.89,2.4,30.46,17.18,67.29,58.18
bandeirantes do tocantins,22.53,17.6,11.58,4.35,24.03,16.87,51.63,46.44
barra do ouro,28.27,22.53,10.24,5.5,29.37,21.42,65.84,61.68
bernardo sayao,17.54,17.99,5.78,2.74,19.56,16.83,45.83,54.09
bom jesus do tocantins,25.94,14.98,8.6,4.21,29.23,13.75,51.79,48.63
brasilandia do tocantins,19.4,16.82,9.59,1.9,18.18,15.41,49.04,48.58
cachoeirinha,24.64,18.2,8.58,2.55,24.41,16.14,72.37,58.16
cariri do tocantins,17.67,14.43,5.36,2.28,18.05,13.44,49.54,42.82
carmolandia,28.34,19.02,11.98,3.3,31.33,18.49,64.75,56.65
carrasco bonito,39.32,28.95,16.27,4.54,46.83,33.49,82.8,74.39
caseara,21.61,17.95,5.77,2.54,22.43,17.58,62.4,48.23
centenario,27.39,28.55,8.38,7.96,27.12,28.25,66.49,63.7
chapada da natividade,29.12,20.69,11.07,3.76,30.46,19.05,62.31,50.13
chapada de areia,14.76,18.9,3.73,3.15,17.27,16.97,37.5,47.27
combinado,24.7,18.29,8,2.06,26.56,17.05,67.87,54.67
conceicao do tocantins,28.08,23.18,10.17,3.47,30.12,22.82,65.18,60.27
crixas do tocantins,14.73,10.67,1.04,0.93,17.34,7.52,41.94,38.36
duere,20.76,12.52,6.96,0.88,20.74,10.6,52.91,37.13
fatima,17.15,14.92,4.51,2,17.6,11.86,49.02,45.83
fortaleza do tabocao,22.71,17.4,6.62,2.21,22.57,15.92,65.09,57.89
goianorte,21.51,16.77,7.57,4.43,21.96,14.65,58.22,44.98
ipueiras,25.25,15.79,6.19,1.11,28.54,13.07,62.5,48.86
itapiratins,24.34,19.09,9.16,2.87,23.54,17.77,61.4,48.48
itapora do tocantins,22.08,18.83,10.3,4.92,20.6,16.42,62.43,52.78
jau do tocantins,20.91,13.42,5.35,2.26,21.14,10.63,52.82,34.54
juarina,18.8,15.19,5.03,1.75,20.82,12.69,59.54,54.82
lagoa do tocantins,28.34,22.58,12.47,4.89,28.68,22.72,68.75,57.76
lajeado,13.01,9.68,6.45,1.67,12.44,7.67,51.82,37.61
lavandeira,24.42,22.49,3.85,4.63,29.93,20.44,68.42,65.49
lizarda,26.18,22.36,8.84,6.53,26.69,21.4,57.99,52.02
luzinopolis,20.8,18.19,5.83,1.71,22.31,16.46,53.61,52.73
marianopolis do tocantins,17.64,17.97,4.66,2.86,19.32,16.93,45.09,51.81
mateiros,42.03,26.37,24.53,10.28,44.23,26.83,77,74.48
maurilandia do tocantins,25.9,23.61,8.86,5.66,27.59,21.79,70.83,66.44
monte santo do tocantins,15.47,16.31,3.29,3.07,15.65,12.25,41.32,48.43
muricilandia,31.63,23.86,12.5,6.29,34.61,22.75,69.03,60.38
nazare,25.39,20.92,6.77,3.27,25.91,16.46,67.4,58.97
nova rosalandia,18.94,15.36,5.21,1.8,16.34,11.65,55.59,44.91
novo acordo,17.81,14.98,5.23,4.04,18.94,14.99,51.49,35.92
novo alegre,15.98,13.78,3,1.02,17.01,10.4,50.28,47.24
novo jardim,25.51,19.89,6.99,3.26,28.86,19.89,65.25,54.63
oliveira de fatima,15.71,16.76,2.97,1.86,14.24,12.53,55.13,53.45
palmeirante,32.01,19.88,15.4,4.19,32.99,18.73,68.13,53.85
pau d'arco,25.97,18.68,9.39,4.05,28.5,18.22,61.92,50.46
pindorama do tocantins,18.98,14.79,5.42,3.69,21.71,14.39,47.35,36.09
piraque,22.16,21.14,8.48,3.61,27.08,21.69,58.42,48.63
ponte alta do bom jesus,31.07,25.2,10.02,4.97,32.72,21.34,67.4,63.24
porto alegre do tocantins,28.02,19.87,9.51,3.02,28.39,17.87,72,58.33
presidente kennedy,23.06,16.35,6.39,3.5,23.57,13.59,61.11,47.6
pugmil,21.55,12.97,5.82,2.62,24.63,10.13,46.9,50
recursolandia,31.8,27.63,14.09,12.52,32.81,27.74,76.53,60.19
riachinho,28.26,22.56,11.69,4.1,30.5,20.54,75.64,65.43
rio da conceicao,22.11,14.02,7.66,2.77,23.66,13.31,64.47,47.41
rio dos bois,27.9,19.25,8.64,2.93,30.63,16.61,66.86,62.08
sampaio,32.7,23.92,8.91,3.73,36.96,24.08,76.13,71.15
sandolandia,20.97,16.58,6.77,1.8,20.38,14.54,57.89,46.11
santa maria do tocantins,25.36,17.62,9.15,2.35,24.44,16.41,67.78,48.18
santa rita do tocantins,20.03,14.99,7.67,2.98,21.25,12.53,48.48,43.4
santa rosa do tocantins,24.68,17.72,6.23,3.28,26.18,15.93,60.11,45.66
santa tereza do tocantins,17.25,14.57,4.65,3.32,16.74,14.31,50.57,39.65
santa terezinha do tocantins,26.61,21.21,6.38,4.04,26.68,18.33,74.31,65.04
sao bento do tocantins,25.65,19.66,10.19,3.12,27.14,20.33,62.45,55.14
sao felix do tocantins,19.86,20.31,10.08,4.12,19.37,21.77,52.5,52.73
