city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
sergipe,40.08,47.47,40.83,43.1,19.1,9.43
ate 5.000 ,13.13,22.02,69.24,69.05,17.63,8.93
amparo de sao francisco,6.33,18.04,73.93,66.86,19.74,15.1
canhoba,-,3.64,82.03,83.81,17.97,12.55
cumbe,1.21,11.3,88.55,83.48,10.24,5.22
divina pastora,40.31,11.77,49.08,83.1,10.6,5.13
general maynard,0.32,34.92,83.55,57.6,16.13,7.48
itabi,14.99,25.54,76.22,68.2,8.79,6.26
malhada dos bois,0.26,5.92,92.42,92.14,7.32,1.94
pedra mole,29.12,43.68,56.32,42.07,14.56,14.25
santa rosa de lima,40.27,13.71,38.34,81.47,21.39,4.83
sao francisco,0.75,6.48,85.97,89.98,13.28,3.54
sao miguel do aleixo,18.48,35.43,28.87,33.62,52.66,30.95
telha,0.32,65.23,96.92,32.02,2.76,2.75
de 5.001 a 10.000 ,15.45,26.0,63.47,63.52,21.08,10.49
brejo grande,0.87,0.74,70.12,80.5,29.01,18.76
cedro de sao joao,28.88,39.15,63.91,60.02,7.2,0.83
feira nova,7.43,21.37,73.2,72.38,19.36,6.25
gracho cardoso,14.06,22.01,66.52,70.53,19.42,7.46
ilha das flores,1.34,10.72,81.56,86.55,17.1,2.74
macambira,10.66,31.65,49.9,49.05,39.44,19.3
muribeca,1.45,12.22,74.46,83.21,24.09,4.57
nossa senhora aparecida,25.93,40.51,47.28,51.08,26.79,8.41
nossa senhora de lourdes,3.71,13.91,86.88,81.06,9.41,5.03
pedrinhas,0.27,6.56,70.05,77.86,29.67,15.58
pinhao,0.3,34.15,64.42,36.72,35.28,29.13
pirambu,2.2,14.38,83.54,73.99,14.26,11.63
riachuelo,66.9,56.2,25.66,34.82,7.44,8.97
rosario do catete,66.33,35.08,28.21,62.11,5.45,2.81
santana do sao francisco,0.75,47.62,87.4,48.81,11.86,3.56
siriri,-,25.48,56.36,52.11,43.64,22.41
de 10.001 a 20.000 ,12.24,16.47,53.59,63.0,34.17,20.52
araua,0.23,10.13,62.94,69.77,36.83,20.09
areia branca,0.41,5.18,68.6,86.91,30.99,7.92
campo do brito,6.79,13.98,55.65,78.23,37.55,7.79
carmopolis,45.11,81.59,50.52,17.99,4.37,0.43
cristinapolis,1.91,1.35,53.32,72.51,44.77,26.14
frei paulo,1.56,9.03,79.96,81.38,18.48,9.59
gararu,11.15,17.88,44.6,60.03,44.26,22.08
indiaroba,0.29,0.88,64.01,75.5,35.7,23.61
japaratuba,0.83,7.6,70.52,79.9,28.65,12.49
japoata,0.88,1.9,71.31,76.98,27.8,21.12
malhador,0.53,3.82,69.83,85.18,29.64,10.99
maruim,42.06,56.35,40.06,36.23,17.88,7.41
moita bonita,31.41,26.24,27.89,43.12,40.7,30.65
monte alegre de sergipe,40.3,40.21,30.61,39.06,29.09,20.73
neopolis,4.31,16.73,74.92,68.04,20.77,15.23
pacatuba,4.15,0.57,56.17,49.31,39.67,50.13
riachao do dantas,0.19,3.16,40.66,54.22,59.16,42.62
ribeiropolis,41.64,55.01,32.28,32.75,26.08,12.24
salgado,1.31,0.98,40.1,62.2,58.59,36.82
santa luzia do itanhy,0.27,8.06,30.31,59.59,69.42,32.35
santo amaro das brotas,0.51,4.11,72.58,75.81,26.91,20.09
sao domingos,0.62,1.19,71.28,96.94,28.1,1.87
tomar do geru,1.75,2.17,36.02,54.94,62.23,42.89
de 20.001 a 50.000 ,26.67,33.77,42.41,50.9,30.92,15.33
aquidaba,23.24,30.25,68.71,63.96,8.04,5.78
barra dos coqueiros,26.93,57.29,63.46,40.75,9.61,1.96
boquim,0.45,0.61,74.2,82.08,25.34,17.31
caninde de sao francisco,37.72,43.27,43.46,44.34,18.82,12.38
capela,0.71,11.01,73.88,75.55,25.41,13.43
carira,1.88,11.3,64.93,68.53,33.18,20.17
itabaianinha,28.23,40.23,25.27,29.84,46.5,29.93
itaporanga d'ajuda,19.26,20.19,31.77,58.99,48.97,20.82
laranjeiras,34.2,28.99,46.56,68.67,19.24,2.34
nossa senhora da gloria,15.8,32.37,67.02,59.15,17.19,8.49
nossa senhora das dores,1.56,6.63,67.43,80.76,31.01,12.61
poco redondo,6.65,30.14,59.43,52.3,33.92,17.56
poco verde,22.85,44.02,35.12,33.81,42.03,22.18
porto da folha,28.98,36.3,39.31,46.02,31.71,17.68
propria,66.54,71.39,27.37,27.12,6.1,1.49
simao dias,32.96,44.33,19.17,27.29,47.87,28.38
tobias barreto,52.86,60.46,18.5,25.57,28.63,13.97
umbauba,0.16,0.42,58.51,81.57,41.33,18.0
de 50.001 a 100.000 ,28.42,33.79,50.81,56.38,20.77,9.82
estancia,8.98,13.14,74.98,76.64,16.04,10.22
itabaiana,56.71,56.34,25.96,37.01,17.33,6.65
lagarto,7.37,24.46,58.52,61.66,34.11,13.88
sao cristovao,37.87,35.92,50.3,55.89,11.83,8.19
de 100.001 a 500.000 ,77.31,59.46,20.59,39.66,2.1,0.88
nossa senhora do socorro,62.1,59.46,33.29,39.66,4.62,0.88
mais de 500.000 ,-,86.53,-,13.22,-,0.25
aracaju,81.56,86.53,17.04,13.22,1.4,0.25
