city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
amazonas,37.08,34.14,37.57,49.39,25.35,16.46
ate 5.000 ,-,-,-,-,-,-
de 5.001 a 10.000 ,9.67,5.57,41.04,54.47,49.29,39.96
amatura,8.35,6.66,44.46,60.9,47.19,32.45
itamarati,0.53,3.57,24.6,41.85,74.87,54.59
itapiranga,17.72,6.35,52,71.5,30.28,22.15
japura,5,6.72,24.13,47.83,70.87,45.45
silves,8.84,4.72,35.45,47.29,55.71,47.98
de 10.001 a 20.000 ,8.6,9.4,31.3,48.75,60.11,41.84
alvaraes,4.79,18.18,36.38,46.27,58.83,35.55
anama,6.19,3.82,33.75,50.72,60.05,45.46
anori,8.95,1.8,55.35,64.38,35.7,33.82
apui,0.12,1.5,39.94,56.49,59.93,42.01
atalaia do norte,10.5,0.69,30.54,37.33,58.96,61.98
beruri,7.48,15.97,33.9,46.43,58.63,37.6
boa vista do ramos,3.48,28.41,46.13,29.33,50.39,42.26
caapiranga,2.77,6.34,32.16,59.42,65.07,34.23
canutama,-,7.82,47.08,40.61,52.92,51.57
envira,1.84,1.09,27.1,64.79,71.06,34.11
guajara,0.28,3.9,17.8,48.39,81.92,47.71
jurua,0.44,7.98,34.64,49.53,64.92,42.49
jutai,0.18,0.28,28.47,62.88,71.35,36.84
maraa,1.45,19.51,14.43,32.72,84.13,47.76
nhamunda,6.57,16.04,38.84,30.07,54.59,53.88
novo airao,27.1,13.23,45.22,54.54,27.68,32.23
pauini,0.58,13.71,25.53,39.16,73.89,47.13
santa isabel do rio negro,11.72,7.1,20.38,39.33,67.9,53.57
sao sebastiao do uatuma,6.15,1.65,68.8,66.89,25.04,31.47
tapaua,0.21,12.28,33.86,49.28,65.93,38.44
tonantins,-,1.82,28.94,35.89,71.06,62.29
uarini,1.9,11.68,34.95,49.54,63.15,38.78
urucara,19.1,8.65,48.12,70.97,32.78,20.38
urucurituba,2.36,20.64,46.32,45.01,51.32,34.36
de 20.001 a 50.000 ,6.35,9.16,36.63,47.91,57.02,42.92
autazes,2.4,8.63,28.05,46,69.56,45.37
barcelos,4.18,14.2,30.47,39.16,65.35,46.64
barreirinha,1.87,1.89,35.32,53.49,62.81,44.62
benjamin constant,9.31,10.94,48.16,51.95,42.53,37.11
boca do acre,8.42,4.69,44.11,58.54,47.47,36.77
borba,5.53,6.66,35.87,49.18,58.6,44.16
carauari,0.31,22.21,63.19,56.18,36.5,21.6
careiro,5.73,10.92,19.69,33.5,74.58,55.58
careiro da varzea,0.83,0.24,13.28,19.78,85.89,79.98
codajas,14.26,22.47,46.59,45.88,39.15,31.65
eirunepe,0.83,4.38,24.53,55.68,74.64,39.94
fonte boa,0.15,1.69,36.55,67.31,63.3,31
humaita,19.86,14.06,53.79,59.98,26.34,25.96
ipixuna,0.91,1.13,17.16,40.15,81.94,58.72
iranduba,14.92,10.93,44.53,73.03,40.55,16.04
labrea,3.38,4.42,45.51,54.29,51.11,41.29
manaquiri,3.37,5.87,29.49,31.23,67.14,62.9
manicore,5.12,4.95,26.56,45.42,68.32,49.63
nova olinda do norte,1.71,13.54,34.82,37.85,63.47,48.62
novo aripuana,2.87,7.94,35.36,31.05,61.77,61.01
presidente figueiredo,54.94,32.88,16.27,36.84,28.79,30.28
rio preto da eva,18.02,5.84,27.96,47.57,54.02,46.59
santo antonio do ica,0.7,2.3,17.9,56.01,81.4,41.68
sao gabriel da cachoeira,12.01,7.9,25.78,44.59,62.22,47.5
sao paulo de olivenca,-,0.06,27.06,37.67,72.94,62.28
de 50.001 a 100.000 ,21.67,18.92,41.56,54.21,36.77,26.87
coari,18.65,16.47,20.99,48.73,60.36,34.8
itacoatiara,30.89,19.3,37,56.5,32.11,24.2
manacapuru,16.09,16.3,50.85,59.96,33.06,23.74
maues,19.07,28.49,35.03,24.34,45.9,47.17
tabatinga,3.01,9.8,53.93,69.7,43.06,20.5
tefe,19.69,24.88,53.9,60.52,26.4,14.6
de 100.001 a 500.000 ,-,19.39,-,54.25,-,26.37
parintins,21.35,19.39,43.41,54.25,35.24,26.37
mais de 500.000 ,56.45,50.27,38.13,48.79,5.42,0.94
manaus,56.45,50.27,38.13,48.79,5.42,0.94
