city,total,married,separated,divorced,widow,single
quixaba,1023,463,0,0,36,524
remigio,11864,4045,91,106,458,7163
riachao,2153,592,0,0,90,1470
riachao do bacamarte,3103,1035,15,13,178,1862
riachao do poco,2959,776,6,10,116,2050
riacho de santo antonio,1014,324,0,0,47,643
riacho dos cavalos,6378,2412,3,18,86,3859
rio tinto,17786,5587,206,189,728,11076
salgadinho,2217,751,4,6,82,1373
salgado de sao felix,9606,3040,37,28,307,6194
santa cecilia,5090,1294,0,17,76,3703
santa cruz,5501,2263,13,18,170,3038
santa helena,4989,2022,41,22,214,2690
santa ines,2729,1098,14,8,71,1538
santa luzia,11412,4371,217,81,572,6170
santa rita,91057,29477,984,1581,3909,55106
santa teresinha,3786,1519,23,13,184,2047
santana de mangueira,4648,1470,26,28,83,3040
santana dos garrotes,6435,2673,30,16,297,3419
santarem,2072,851,5,0,46,1170
santo andre,2299,886,19,6,139,1249
sao bentinho,2918,1342,6,5,82,1484
sao bento,20671,5628,90,47,683,14222
sao domingos de pombal,2036,866,19,0,128,1023
sao domingos do cariri,1758,707,26,13,106,906
sao francisco,2941,1182,34,19,144,1562
sao joao do cariri,3811,1607,34,15,228,1928
sao joao do rio do peixe,14490,5601,300,107,606,7875
sao joao do tigre,3480,1248,7,17,117,2091
sao jose da lagoa tapada,5839,2375,15,5,265,3179
sao jose de caiana,4341,1574,18,5,45,2699
sao jose de espinharas,4157,1909,12,6,66,2164
sao jose de piranhas,14770,5782,115,119,467,8287
sao jose de princesa,3872,1539,23,16,115,2179
sao jose do bonfim,2283,847,16,11,127,1283
sao jose do brejo do cruz,1221,304,5,0,23,889
sao jose do sabugi,3175,1283,20,30,144,1698
sao jose dos cordeiros,3375,1325,48,6,160,1836
sao jose dos ramos,3757,968,0,34,100,2655
sao mamede,6730,2577,56,60,291,3745
sao miguel de taipu,4744,1020,16,19,139,3550
sao sebastiao de lagoa de roca,8036,3183,31,21,262,4538
sao sebastiao do umbuzeiro,2338,991,45,5,123,1173
sape,37463,11085,325,495,1789,23769
serido,6823,2268,41,22,194,4298
serra branca,10164,3247,219,110,608,5980
serra da raiz,2710,792,15,0,125,1779
serra grande,2220,594,5,0,102,1519
serra redonda,5797,2391,73,14,326,2994
serraria,5139,1473,46,0,307,3313
sertaozinho,2758,832,19,3,110,1794
sobrado,5419,1609,25,9,220,3555
solanea,24354,7848,310,282,1057,14856
soledade,9619,3523,86,40,357,5613
sossego,1931,629,10,19,71,1202
sousa,51441,23116,817,384,2404,24720
