city,total,main_regular,main_irregular,other_regular,other_irregular
descanso,5829.75850416,2297.22275446,3532.5357497,2297.22275446,3532.5357497
dionisio cerqueira,6760.99246443,3629.50169797,3131.49076646,3634.86667914,3126.12578528
dona emma,2533.71551755,1797.11578801,736.59972954,1823.06630927,710.64920825
doutor pedrinho,1955.07854726,1574.61711471,380.46143255,1574.61711471,380.46143255
entre rios,1468.21078567,729.32089796,738.88988771,729.32089796,738.88988771
ermo,1185.19732463,576.58118999,608.61613464,583.56642356,601.63090107
erval velho,2146.19391244,1318.58252672,827.61138572,1318.58252672,827.61138572
faxinal dos guedes,5588.05541274,4364.01041169,1224.04500105,4367.46792475,1220.58748799
flor do sertao,1103.37791022,404.50778038,698.87012984,410.11953643,693.25837377
florianopolis,229002.45304941,176318.52222864,52683.93082077,176900.98892712,52101.46412228
formosa do sul,1417.09942665,977.67475568,439.42467097,977.67475568,439.42467097
forquilhinha,12844.8740866,9105.80133507,3739.07275153,9122.76936771,3722.10471889
fraiburgo,15675.89239522,12563.96602749,3111.92636773,12576.04640995,3099.84598527
frei rogerio,1171.01269992,403.04536415,767.96733577,403.04536415,767.96733577
galvao,1803.50410955,944.55392492,858.95018463,968.12526863,835.37884092
garopaba,8931.00821235,5409.442987,3521.56522535,5442.35848917,3488.64972318
garuva,7684.43768549,4915.64205632,2768.79562917,4915.64205632,2768.79562917
gaspar,33527.23640899,25435.25776335,8091.97864564,25435.25776335,8091.97864564
governador celso ramos,6724.60452314,4730.30864492,1994.29587822,4730.30864492,1994.29587822
grao para,4095.67249631,1926.98233813,2168.69015818,1939.8081138,2155.86438252
gravatal,5587.73393505,4040.8478324,1546.88610265,4040.8478324,1546.88610265
guabiruba,10511.23014291,8163.35458003,2347.87556288,8168.26734636,2342.96279655
guaraciaba,7046.92725536,2920.07395378,4126.85330158,2930.8688512,4116.05840415
guaramirim,17606.21789317,14329.20845489,3277.00943828,14345.69249244,3260.52540073
guaruja do sul,2823.18157859,1480.34660582,1342.83497277,1483.03355514,1340.14802345
guatambu,2473.17674941,1816.42962172,656.74712769,1816.42962172,656.74712769
herval d'oeste,11049.38963888,8620.807072,2428.58256688,8635.989008,2413.40063089
ibiam,1157.37600765,463.5045026,693.87150505,463.5045026,693.87150505
ibicare,1817.81334857,1096.68065063,721.13269794,1096.68065063,721.13269794
ibirama,10183.3031539,7659.7771463,2523.5260076,7669.58145861,2513.72169529
icara,30449.27481634,21550.7367689,8898.53804744,21579.64250523,8869.6323111
ilhota,6797.27273683,4913.77231891,1883.50041792,4922.86662123,1874.40611561
imarui,4538.05945956,2485.32479523,2052.73466433,2492.50046225,2045.55899731
imbituba,18447.72599955,11745.81679333,6701.90920622,11791.68859357,6656.03740598
imbuia,3243.35523012,1683.38265123,1559.97257889,1693.28082714,1550.07440298
