city,total,regular,military_and_gov,irregular,entrepreneur,employers
marema,1230.42,918.99,1900.34,726.39,1346.88,3930.89
massaranduba,1133.49,1059.14,1764.91,712.93,1224.58,2330.46
matos costa,678.15,710.05,898.44,528.18,602.76,1067.18
meleiro,1050.59,1047.68,1622.52,741.37,1058.45,4053.33
mirim doce,910.27,869.39,1059.71,636.5,989.67,2138.63
modelo,1035.8,865.88,1217.11,553.64,1110.48,2719.12
mondai,964.33,927.95,1652.56,533.41,952.3,2654.83
monte carlo,814.86,763.97,1085.6,504.16,919.95,7031.26
monte castelo,787.15,768.3,1460.41,518.43,921.93,2220.03
morro da fumaca,1150.18,1083.85,1313.82,697.78,1252.05,2807.68
morro grande,1325.32,922.02,1156.08,752.34,1816.96,2546.08
navegantes,1181.58,1188.67,1495.1,852.56,1271.13,2077.8
nova erechim,1469.56,911.4,1674.42,608.56,2396.9,3895.45
nova itaberaba,1151.35,1077.54,1565.7,511.88,1112.42,3966.68
nova trento,1145.01,1063.67,1214.79,765.05,1109.71,3889.45
nova veneza,1167.99,1186.42,1292.51,670,1106.63,3684.52
novo horizonte,840.4,798.81,1454.91,382.73,818.01,1808.82
orleans,1181.01,1124.17,1544.74,709.38,1379.68,2805.03
otacilio costa,1092.52,1127.15,1144.95,532.75,1198.85,2865.92
ouro,1223.4,980.09,1503.79,769.16,1345.49,4545.88
ouro verde,1349.04,881.56,1434.44,539,2385.11,-
paial,749.26,747.91,1427.92,478.25,708.09,-
painel,823.11,676.5,949.75,517.85,1127.88,3849.89
palhoca,1220.57,1107.98,1986.98,834.22,1351.41,2717.51
palma sola,886.63,924.79,1191.57,539.13,840.15,3222.73
palmeira,911.99,886.14,1159.81,522.65,849.38,2999.34
palmitos,1178.75,1014.44,1702.06,680.46,1183.17,3918.44
papanduva,846.39,897.5,1443.28,588.44,796.89,2133.57
paraiso,895.41,782,1401.89,460.72,842.64,3774.94
passo de torres,930.12,872.05,1486.23,703.58,976.03,1730
passos maia,780.88,775.92,809.54,520.1,776.7,2227.69
paulo lopes,1131.31,1028.44,1237.65,675.29,1198.62,4580.26
pedras grandes,885.62,879.7,1419.57,678.82,917.46,1095.95
penha,1179.59,1126.77,1527.89,742.32,1192.19,3083.66
peritiba,1241.98,962.76,1405.94,615.08,1204.46,7177.5
petrolandia,964.96,923.83,1316.97,487.86,897.64,4068.28
pinhalzinho,1205.5,1036.31,2252.19,571.83,1312.64,3286.52
pinheiro preto,1122.06,1034.38,1483.69,634.78,878.65,4464.12
piratuba,1047.81,924.27,1500.19,664.2,1047.66,2414.6
planalto alegre,1088.15,917.87,1546.47,464.37,1234.8,1848.05
pomerode,1293.6,1179.93,3104.49,1015.52,1567.03,3161.3
ponte alta,851.68,849.91,1238.92,582.8,936.55,1574.22
ponte alta do norte,968.22,754.13,1112.88,509.2,2178.32,3119.93
ponte serrada,976.79,895.25,1467.68,599.89,1387.86,2954.45
porto belo,1216.94,1056.48,1503.84,788.72,1458.72,2532.29
porto uniao,1362.29,1103.54,3816.03,563.18,1159.74,4306.68
pouso redondo,1058.84,953.36,1023.81,752.4,1122.2,4080.57
praia grande,825.18,835.4,1160.68,547.75,798.2,2349.05
presidente castello branco,1659.5,883.57,1183.94,846.39,1961.13,-
presidente getulio,1197.47,973.28,1513.52,790.56,1443.13,3026.49
presidente nereu,1279.41,832.53,1116.06,648.84,1501.85,3848.29
princesa,1050.54,714.02,1145.57,485.6,1264.26,3141.14
quilombo,947.34,923.43,1946.76,622.76,930.2,1599.92
rancho queimado,1018.48,942.04,1465.19,609.65,1006.34,3067.96
rio das antas,1073.63,808.64,1259.06,629.44,1131.98,13192.4
rio do campo,1185,839.38,1485.27,649.6,1243.67,4603.09
rio do oeste,1378.47,929.28,1478.72,794.75,1455.24,15003.46
rio do sul,1478.41,1305.59,2355.28,986.78,1709.74,3334.11
rio dos cedros,1084.39,1020.01,1459.16,665.34,998.32,6519.36
rio fortuna,1284.62,951.41,1529.99,769.6,1391.65,6007.59
rio negrinho,1101.94,947.34,1998.15,1099,1152.66,2938.43
rio rufino,735.35,744.43,927.42,449.47,772.57,8000
riqueza,792.27,793.76,1291.33,505.76,821.37,1462.37
rodeio,1077.88,1005.91,1611.87,646.4,1259.34,2144.83
romelandia,1143.64,856.02,1230.38,452.85,1236.64,5977.59
salete,1105.63,917.68,1356.85,790.24,1154.6,3413.95
saltinho,1000.98,796.17,1634.03,392.08,1228.81,1706.36
salto veloso,1241.91,1051.69,1520.9,466.31,1303.41,6588.73
sangao,1156.68,1141.99,1248.1,795.53,1253.5,4297.63
santa cecilia,1028.29,943.55,1722.29,628.84,1449.14,4201.59
santa helena,1006.51,884.8,1226.19,404.79,1238.11,1715.21
santa rosa de lima,957.27,1060.48,1236.22,661.88,885.8,2044.08
santa rosa do sul,937.2,920.94,1562.37,625.57,974.6,2841.63
santa terezinha,676.75,870.39,1136.32,557.58,618.05,2679.88
santa terezinha do progresso,1056.53,1072.25,1106.5,532.8,1158.28,609.44
santiago do sul,1035.68,865.74,1396.71,422.7,1131.41,200
santo amaro da imperatriz,1214.62,1104.22,1902.76,896.96,1210.53,2734.78
sao bento do sul,1256.46,1076.24,1799.45,696.02,1676.74,3565.27
sao bernardino,624.25,742.43,1493.23,426.74,517.92,-
sao bonifacio,1038.8,899.98,1132.06,581.42,823.9,8683.1
sao carlos,1263.15,1079.72,1991.66,710.05,1319.4,4615.52
sao cristovao do sul,936.09,899.1,1327.61,544.47,1188.52,2199.08
sao domingos,1557.42,983.2,1992.16,591.25,1379.21,16761.56
sao francisco do sul,1314.92,1277.79,1813.53,730.78,1154.72,4125.6
sao joao batista,1131.84,1014.37,1060.45,885.7,1249.67,3729.54
sao joao do itaperiu,1043.38,923.51,1370.43,765.54,1302.41,4456.49
sao joao do oeste,1216.38,882.07,1590.01,663.12,1552.51,2966.29
sao joao do sul,804.85,889.42,1336.43,586.64,797.47,2298.03
sao joaquim,998.27,857.72,1443.66,585.8,1226.84,2392.17
sao jose,1537.23,1307.19,2876.28,1105.72,1714.89,3416.6
sao jose do cedro,1242.2,918.92,1472.42,619.16,1351.47,4158.53
sao jose do cerrito,607.04,809.73,1734.77,499.6,466.93,3199.81
sao lourenco do oeste,1183.28,1051.77,1953.87,543.71,1497.89,2509.85
sao ludgero,1121.5,1011.22,1522.42,660.15,1318.42,3508.69
sao martinho,985.54,877.09,1218.37,796.32,842.02,3924.74
sao miguel da boa vista,1042.14,753.32,1303.54,589.06,1089.2,-
sao miguel do oeste,1410.95,1065.87,2722.47,629.46,1641.29,4657.96
sao pedro de alcantara,964.62,903.37,1638.45,420.07,1092.54,1000
saudades,873.16,844.52,1520.46,586.86,832.66,1827.01
schroeder,1204.81,1173.63,1404.14,773.72,1152.39,3052.89
seara,1600.91,947.38,1742.37,1110.43,2495.65,6124.65
serra alta,1083.95,904.59,1564.77,681.74,1114.83,4429.86
sideropolis,1195.58,1107.19,1389.42,921.56,1341.17,3470.11
sombrio,1108.48,980.22,2263.52,754.42,1146.03,4355.12
