city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
afonso claudio,6911,73,1087,1439,664,3648
agua doce do norte,2894,3,226,256,376,2034
aguia branca,2127,6,164,290,392,1275
alegre,8933,430,699,2277,1339,4188
alfredo chaves,3370,41,349,734,263,1984
alto rio novo,1879,5,90,657,101,1026
anchieta,5422,164,494,1765,823,2176
apiaca,2287,55,339,591,146,1156
aracruz,17217,400,1480,8865,2236,4236
atilio vivacqua,2132,40,165,972,137,818
baixo guandu,7724,118,561,2360,1068,3618
barra de sao francisco,10699,175,718,2675,1122,6009
boa esperanca,3469,48,325,1012,391,1692
bom jesus do norte,2770,134,242,1176,337,881
brejetuba,2523,10,82,258,146,2028
cachoeiro de itapemirim,50161,2199,3956,28859,2609,12537
cariacica,92124,4486,8710,51146,5426,22355
castelo,8813,351,650,3202,696,3914
colatina,34931,1181,2155,21213,1593,8790
conceicao da barra,6759,63,658,3154,652,2233
conceicao do castelo,2754,18,307,576,251,1602
divino de sao lourenco,991,5,25,170,20,770
domingos martins,7013,306,511,2300,358,3538
dores do rio preto,1448,21,67,255,169,936
ecoporanga,5713,21,698,1463,372,3160
fundao,3834,162,360,1285,669,1358
guacui,7160,247,647,2278,504,3484
guarapari,24473,1481,2358,10974,2159,7502
ibatiba,6457,20,193,915,404,4925
ibiracu,2808,102,239,1250,254,963
ibitirama,2579,10,57,230,230,2052
iconha,2518,14,173,1130,152,1050
irupi,2592,15,144,438,341,1653
itaguacu,4456,54,286,949,524,2643
itapemirim,7319,178,630,2596,613,3302
itarana,2255,34,254,624,100,1242
iuna,8553,86,516,1940,343,5667
jaguare,5254,30,363,1364,395,3103
jeronimo monteiro,2881,112,364,910,277,1218
joao neiva,4288,168,418,1994,622,1086
laranja da terra,2686,8,122,169,385,2003
linhares,34395,601,2334,17381,4197,9883
mantenopolis,3579,0,293,506,265,2515
marataizes,6081,56,725,1398,861,3041
marechal floriano,3598,95,301,1087,396,1719
marilandia,1969,43,169,817,263,677
mimoso do sul,7620,232,521,2078,772,4016
montanha,4292,67,435,1317,326,2147
mucurici,1456,6,75,368,259,748
muniz freire,4257,86,283,843,422,2624
muqui,3709,103,396,1192,321,1696
nova venecia,12623,302,1125,4311,968,5917
pancas,5203,14,305,1168,207,3509
pedro canario,5833,33,539,3175,299,1787
pinheiros,6096,123,496,2038,393,3046
piuma,3631,139,399,1041,524,1529
ponto belo,1489,22,178,355,193,742
presidente kennedy,2460,8,177,662,299,1314
rio bananal,3067,9,246,710,534,1569
rio novo do sul,2710,48,255,925,270,1211
santa leopoldina,2216,48,174,576,227,1190
santa maria de jetiba,5857,62,362,1400,378,3654
santa teresa,6294,175,332,2046,534,3208
sao domingos do norte,2079,24,156,371,317,1211
sao gabriel da palha,8905,121,614,3785,1043,3343
sao jose do calcado,3148,93,145,786,248,1876
sao mateus,25165,741,2293,11745,2058,8328
sao roque do canaa,2423,30,202,1220,144,827
serra,93632,4381,8917,53539,6668,20127
sooretama,4971,4,238,1823,600,2305
vargem alta,4420,74,303,1336,434,2273
venda nova do imigrante,4072,182,323,2079,133,1355
viana,15555,761,1476,8128,1135,4055
vila pavao,1858,4,101,438,151,1164
vila valerio,3283,6,180,543,244,2309
vila velha,104531,3633,6451,60575,8966,24907
vitoria,91416,4061,4986,54802,10000,17566
