city,total,has_children,children_born,children_borned_live,children_borned_dead
carrancas,1533,882,3849,3607,242
carvalhopolis,1219,789,2842,2669,173
carvalhos,1890,1151,4445,4124,321
casa grande,918,549,2325,2205,120
cascalho rico,1010,723,2531,2294,237
cassia,6988,4432,15373,15019,354
cataguases,27574,17257,57247,54250,2997
catas altas,1694,935,3774,3523,252
catas altas da noruega,1291,700,3605,3399,206
catuji,2803,1531,8917,8458,459
catuti,2027,1201,6398,5868,529
caxambu,9542,5852,20171,19231,940
cedro do abaete,512,345,1418,1324,95
central de minas,2787,1822,8853,8291,561
centralina,4060,2745,10243,9692,550
chacara,929,592,2286,2180,107
chale,2229,1321,5462,5362,100
chapada do norte,5921,3135,16191,15141,1049
chapada gaucha,2516,1435,7917,7439,478
chiador,1256,801,3324,3156,168
cipotanea,2573,1435,7119,6836,283
claraval,1659,1017,3778,3549,229
claro dos pocoes,3177,1952,8808,8371,437
claudio,9001,5325,19395,18710,685
coimbra,2699,1705,6559,6128,431
coluna,3686,2009,10489,9708,781
comendador gomes,1075,718,2328,2249,80
comercinho,3950,2311,11842,11080,761
conceicao da aparecida,3775,2355,9269,8714,555
conceicao da barra de minas,1585,977,4324,4081,243
conceicao das alagoas,6749,4349,13238,12684,554
conceicao das pedras,1049,650,2780,2611,169
conceicao de ipanema,1847,1130,4734,4527,207
conceicao do mato dentro,7254,4356,21439,20225,1214
conceicao do para,1907,1104,4348,4163,185
conceicao do rio verde,4830,3061,12106,11601,505
conceicao dos ouros,3554,2224,8793,8251,542
conego marinho,2412,1302,7228,6893,335
confins,1975,1175,4233,3918,315
congonhal,3528,2186,8146,7706,440
congonhas,17102,10281,37514,35273,2241
congonhas do norte,1902,1113,5319,4999,320
conquista,2417,1464,4848,4660,189
conselheiro lafaiete,44486,26265,88951,84302,4649
conselheiro pena,9160,5822,25259,23642,1617
consolacao,679,449,2034,1812,222
contagem,227083,134231,447558,423811,23748
coqueiral,3823,2365,8955,8554,401
coracao de jesus,9916,5909,27355,25657,1697
cordisburgo,3474,1946,8007,7630,376
cordislandia,1289,852,3433,3163,271
corinto,10286,6154,26480,24706,1774
coroaci,4144,2423,13497,12829,668
coromandel,10977,7420,23138,22158,980
coronel fabriciano,41373,24433,90648,86013,4634
coronel murta,3550,2043,9796,9387,409
coronel pacheco,1176,739,2841,2632,209
coronel xavier chaves,1296,757,2860,2722,138
corrego danta,1448,938,3456,3363,93
corrego do bom jesus,1584,1029,3446,3273,173
corrego fundo,2092,1282,5337,4959,378
corrego novo,1482,884,4259,4013,246
couto de magalhaes de minas,1595,921,3986,3675,311
crisolita,1883,1191,6287,5678,609
cristais,3864,2465,8770,8415,355
cristalia,2009,1175,5871,5539,332
cristiano otoni,1979,1194,4625,4349,276
cristina,4133,2462,10758,10055,703
crucilandia,1848,1042,4313,4111,202
cruzeiro da fortaleza,1532,901,2741,2574,168
cruzilia,5493,3473,13721,12958,763
cuparaque,1769,1142,4684,4380,304
curral de dentro,2217,1386,6638,6245,393
curvelo,28134,16720,62861,60254,2607
datas,1978,1172,5941,5505,437
delfim moreira,3131,1908,8064,7449,615
delfinopolis,2515,1681,6377,5938,439
delta,1936,1306,4709,4381,328
descoberto,1817,1138,4050,3950,100
desterro de entre rios,2787,1706,7784,7537,247
desterro do melo,1263,784,3690,3470,220
diamantina,18143,10011,41197,38484,2713
diogo de vasconcelos,1544,964,5097,4684,413
dionisio,4284,2487,11936,11180,756
divinesia,1250,733,3464,3322,142
divino,7279,4507,19307,18044,1263
divino das laranjeiras,2085,1277,5936,5468,467
divinolandia de minas,2554,1428,7098,6579,519
divinopolis,79029,46582,155473,148082,7391
divisa alegre,1884,1185,5453,5003,450
divisa nova,2112,1331,5431,5069,362
divisopolis,2477,1521,7448,7240,208
dom bosco,1433,952,4265,4061,204
