city,total
inimutaba,2302
ipaba,5443
ipanema,6711
ipatinga,87144
ipiacu,1760
ipuiuna,4076
irai de minas,2608
itabira,35502
itabirinha de mantena,3969
itabirito,14576
itacambira,1487
itacarambi,5641
itaguara,4735
itaipe,3477
itajuba,33766
itamarandiba,9752
itamarati de minas,1685
itambacuri,7758
itambe do mato dentro,854
itamogi,4572
itamonte,5232
itanhandu,5244
itanhomi,4693
itaobim,7431
itapagipe,5387
itapecerica,8663
itapeva,3406
itatiaiucu,3333
itau de minas,6203
itauna,31514
itaverava,2376
itinga,4786
itueta,2646
ituiutaba,38668
itumirim,2372
iturama,12463
itutinga,1713
jaboticatubas,4881
jacinto,4483
jacui,3263
jacutinga,8194
jaguaracu,1007
jaiba,9788
jampruca,1693
janauba,22334
januaria,21521
japaraiba,1457
japonvar,2873
jeceaba,2331
jenipapo de minas,1808
jequeri,5405
jequitai,2860
jequitiba,1787
jequitinhonha,8334
jesuania,1988
joaima,5147
joanesia,2740
joao monlevade,25546
joao pinheiro,15861
joaquim felicio,1278
jordania,3665
jose goncalves de minas,1412
jose raydan,1369
josenopolis,1350
juatuba,6422
juiz de fora,184048
juramento,1383
juruaia,3474
juvenilia,2477
ladainha,4834
lagamar,3356
lagoa da prata,15473
lagoa dos patos,1492
lagoa dourada,4463
lagoa formosa,7338
lagoa grande,3022
lagoa santa,14103
lajinha,7826
lambari,7839
lamim,1346
laranjal,2667
lassance,2321
lavras,31886
leandro ferreira,1220
leme do prado,1436
leopoldina,20594
liberdade,2294
lima duarte,6352
limeira do oeste,2856
lontra,2778
luisburgo,2738
luislandia,2004
luminarias,2338
luz,7132
machacalis,2581
machado,14641
madre de deus de minas,1860
malacacheta,6350
mamonas,2693
manga,7263
manhuacu,27514
manhumirim,7885
mantena,11501
mar de espanha,4579
maravilhas,2415
maria da fe,6118
mariana,17156
marilac,1430
mario campos,4110
maripa de minas,1179
marlieria,1528
marmelopolis,1318
martinho campos,4964
martins soares,2537
mata verde,2838
materlandia,1570
mateus leme,9001
mathias lobato,1245
matias barbosa,5153
matias cardoso,2858
matipo,6235
mato verde,5312
matozinhos,11628
matutina,1818
medeiros,1418
medina,7407
mendes pimentel,2594
merces,4085
mesquita,2654
minas novas,8780
minduri,1381
mirabela,4354
miradouro,4120
mirai,5331
miravania,1507
moeda,1801
moema,2802
monjolos,826
monsenhor paulo,3203
montalvania,5603
monte alegre de minas,8430
monte azul,9647
monte belo,5628
monte carmelo,18361
monte formoso,1651
monte santo de minas,9287
monte siao,7889
montes claros,109465
montezuma,2312
morada nova de minas,3150
morro da garca,1024
morro do pilar,1274
munhoz,2923
muriae,38947
mutum,10977
muzambinho,8983
nacip raydan,1226
nanuque,15316
naque,2077
natalandia,1223
natercia,1998
nazareno,2994
nepomuceno,9817
ninheira,3530
nova belem,1949
nova era,6362
nova lima,24318
nova modica,1578
nova ponte,4271
nova porteirinha,2703
nova resende,6376
nova serrana,15212
nova uniao,1956
novo cruzeiro,9416
novo oriente de minas,3482
novorizonte,1712
olaria,944
olhos-d'agua,1332
olimpio noronha,919
oliveira,15279
oliveira fortes,1026
onca de pitangui,1297
oratorios,1681
orizania,2743
ouro branco,12298
ouro fino,12464
ouro preto,24206
ouro verde de minas,2233
padre carvalho,1633
padre paraiso,6085
pai pedro,2149
paineiras,2241
pains,3256
paiva,624
palma,2716
palmopolis,2945
papagaios,4645
para de minas,28284
paracatu,27326
paraguacu,8115
paraisopolis,7134
paraopeba,7131
passa quatro,5881
passa tempo,3601
passabem,698
passa-vinte,919
passos,39884
patis,1678
patos de minas,51459
patrocinio,30521
patrocinio do muriae,2092
paula candido,3440
paulistas,1643
pavao,3197
pecanha,5748
pedra azul,7949
pedra bonita,2572
pedra do anta,1657
pedra do indaia,1715
pedra dourada,745
pedralva,4890
pedras de maria da cruz,3016
pedrinopolis,1435
pedro leopoldo,20948
pedro teixeira,704
pequeri,1193
pequi,1447
perdigao,2436
perdizes,5536
perdoes,7828
periquito,2603
pescador,1394
piau,1210
piedade de caratinga,2244
