city,qt
abaira,9067
abare,13643
acajutiba,14253
adustina,14298
agua fria,14942
aiquara,5315
alagoinhas,129852
alcobaca,20773
almadina,7862
amargosa,31004
amelia rodrigues,24097
america dourada,15959
anage,31018
andarai,13828
andorinha,15720
angical,14685
anguera,8793
antas,14029
antonio cardoso,11837
antonio goncalves,9716
apora,16750
apuarema,7443
aracas,11003
aracatu,15898
araci,47543
aramari,9258
arataca,11207
aratuipe,8381
aurelino leal,17145
baianopolis,12145
baixa grande,20391
banzae,11133
barra,44162
barra da estiva,24736
barra do choca,40423
barra do mendes,13610
barra do rocha,8061
barreiras,131445
barro alto,12098
barro preto,8576
belmonte,19912
belo campo,17637
biritinga,14641
boa nova,20518
boa vista do tupim,18408
bom jesus da lapa,54185
bom jesus da serra,10502
boninal,12461
bonito,12829
boquira,22121
botupora,11462
brejoes,15316
brejolandia,8760
brotas de macaubas,12980
brumado,62070
buerarema,19080
buritirama,17786
caatiba,15483
cabaceiras do paraguacu,15547
cachoeira,30260
cacule,20339
caem,12563
caetanos,13076
caetite,45473
cafarnaum,16053
cairu,11236
caldeirao grande,11395
camacan,31011
camacari,161603
camamu,33608
campo alegre de lourdes,27534
campo formoso,61817
canapolis,9739
canarana,21665
canavieiras,35218
candeal,10103
candeias,76724
candiba,12280
candido sales,28516
cansancao,31908
canudos,13759
capela do alto alegre,11898
capim grosso,23896
caraibas,17153
caravelas,20049
cardeal da silva,8034
carinhanha,27226
casa nova,55624
castro alves,25553
catolandia,3092
catu,46702
caturama,9199
central,16792
chorrocho,10149
cicero dantas,30934
cipo,14266
coaraci,27852
cocos,17593
conceicao da feira,17514
conceicao do almeida,18864
conceicao do coite,56296
conceicao do jacuipe,26161
conde,20285
condeuba,18024
contendas do sincora,4256
coracao de maria,23657
cordeiros,8191
coribe,15114
coronel joao sa,19654
correntina,30508
cotegipe,13342
cravolandia,5001
crisopolis,19037
cristopolis,12607
cruz das almas,52983
curaca,28785
dario meira,15899
dias d'avila,45287
dom basilio,10419
dom macedo costa,3746
elisio medrado,7854
encruzilhada,32837
entre rios,37462
erico cardoso,12297
esplanada,27179
euclides da cunha,53818
eunapolis,83795
fatima,18298
feira da mata,6235
feira de santana,479412
filadelfia,17411
firmino alves,5170
floresta azul,11583
formosa do rio preto,18203
gandu,27137
gaviao,4792
gentio do ouro,10173
gloria,14558
gongogi,10522
governador mangabeira,17144
guajeru,12836
guanambi,71674
guaratinga,24319
heliopolis,13108
iacu,28484
ibiassuce,12813
ibicarai,28852
ibicoara,15094
ibicui,15129
ibipeba,15310
ibipitanga,13425
ibiquera,4495
ibirapitanga,22177
ibirapua,7096
ibirataia,24715
ibitiara,14425
ibitita,17884
ibotirama,23996
ichu,5593
igapora,14540
igrapiuna,14960
iguai,25109
ilheus,221166
inhambupe,29550
ipecaeta,18696
ipiau,43388
ipira,61707
ipupiara,8534
irajuba,6362
iramaia,17547
iraquara,18312
irara,25095
irece,57347
itabela,25671
itaberaba,58828
itabuna,196147
itacare,17746
itaete,13995
itagi,15531
itagiba,17187
itagimirim,7715
itaguacu da bahia,11309
itaju do colonia,8548
itajuipe,22499
itamaraju,64083
itamari,8440
itambe,30744
itanagra,6354
itanhem,21334
itaparica,18898
itape,14639
itapebi,11122
itapetinga,57771
itapicuru,27292
itapitanga,10369
itaquara,7858
itarantim,16923
itatim,12700
