city,total,adequada,semi_adequada,inadequada
itororo,4989,2285,2476,228
ituacu,3995,99,3133,762
itubera,5589,1371,3065,1153
iuiu,2262,94,1822,346
jaborandi,2267,341,1640,286
jacaraci,3131,151,2677,303
jacobina,20151,7432,11603,1116
jaguaquara,11384,668,9707,1009
jaguarari,7112,2100,4349,663
jaguaripe,3009,49,2285,675
jandaira,2172,6,1684,482
jequie,36783,17662,17694,1427
jeremoabo,8437,1805,5421,1211
jiquirica,3253,524,2018,711
jitauna,4587,1339,2349,899
joao dourado,4366,50,4148,168
juazeiro,42310,15254,24305,2751
jucurucu,2797,270,1937,590
jussara,3493,4,2945,544
jussari,1841,783,934,125
jussiape,2128,96,1823,209
lafaiete coutinho,1076,223,759,94
lagoa real,2591,10,2200,381
laje,4680,545,3405,730
lajedao,973,4,908,61
lajedinho,998,83,722,192
lajedo do tabocal,1857,14,1730,112
lamarao,1886,130,1105,652
lapao,5691,1180,4017,494
lauro de freitas,29160,13363,15372,424
lencois,2025,542,1293,190
licinio de almeida,2955,8,2732,214
livramento de nossa senhora,8385,1137,5866,1382
macajuba,2828,373,2119,336
macarani,3692,1797,1812,84
macaubas,9333,197,8415,721
macurure,1832,0,1392,440
madre de deus,2925,1767,1158,0
maetinga,2811,206,1967,638
maiquinique,1838,825,924,88
mairi,5131,1133,3238,759
malhada,3017,27,2480,509
malhada de pedras,1973,41,1527,405
manoel vitorino,3663,615,2544,504
mansidao,2155,147,1638,370
maracas,6832,12,5971,850
maragogipe,9711,1869,6130,1711
marau,4072,195,2598,1279
marcionilio souza,2462,34,2097,331
mascote,3730,450,2920,359
mata de sao joao,7750,1340,5643,767
matina,2182,393,1280,509
medeiros neto,5666,1931,3448,288
miguel calmon,6999,1468,4971,560
milagres,2829,30,2525,273
mirangaba,3493,169,2871,452
mirante,2542,21,1814,708
monte santo,12648,8,9136,3504
morpara,2088,19,1910,160
morro do chapeu,8188,1547,5647,995
mortugaba,2872,35,2404,433
mucuge,2678,314,1888,477
mucuri,6909,678,5813,418
mulungu do morro,3212,0,2408,804
mundo novo,5407,490,4346,571
muniz ferreira,1710,0,1418,292
muquem de sao francisco,1895,0,1441,454
muritiba,7090,552,5490,1048
mutuipe,5033,1517,2900,616
nazare,6491,1983,3936,572
nilo pecanha,2596,351,1688,557
nordestina,2471,2,1637,832
nova canaa,3840,1008,2295,537
nova fatima,1911,597,1123,191
nova ibia,1714,373,1035,306
nova itarana,1580,69,1223,288
nova redencao,1893,5,1613,275
nova soure,5856,14,5101,741
nova vicosa,7774,504,6495,775
novo horizonte,2100,0,1963,137
novo triunfo,3097,722,1966,408
olindina,5871,1714,3443,715
oliveira dos brejinhos,5105,10,4730,366
ouricangas,1813,26,1567,219
ourolandia,3502,26,2835,641
palmas de monte alto,4344,5,3419,920
palmeiras,1857,27,1681,150
paramirim,4363,421,3513,429
paratinga,5766,0,4838,928
paripiranga,6805,268,5024,1513
pau brasil,3198,1060,1758,379
paulo afonso,23694,12295,10422,977
pe de serra,3191,580,2007,604
pedrao,1558,30,1154,374
pedro alexandre,3514,8,2384,1122
piata,4346,10,4097,239
pilao arcado,6170,29,4274,1867
pindai,3403,19,2876,508
pindobacu,5302,238,4506,559
pintadas,2523,618,1513,392
pirai do norte,2361,150,1523,688
piripa,2979,8,2595,376
