city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
cosmopolis,10.43,5.11,1.42,0.12,0.33,0.0
cruzeiro,6.67,3.64,2.39,0.75,0.46,0.21
embu-guacu,11.65,6.39,6.52,1.37,1.26,0.32
fernandopolis,7.36,4.23,2.98,1.17,0.32,0.12
ibitinga,9.67,7.37,5.17,0.8,0.67,0.05
ibiuna,17.54,9.55,33.97,10.87,8.1,1.68
itanhaem,14.4,8.37,3.67,1.16,1.5,0.38
itapeva,12.98,6.41,12.21,6.21,2.81,0.73
itapira,11.48,5.62,4.97,0.32,1.2,0.05
jaboticabal,11.09,6.89,1.87,1.01,0.33,0.1
leme,18.49,12.11,1.55,0.68,0.32,0.13
lencois paulista,10.01,5.14,1.55,0.61,0.49,0.04
lins,8.34,4.78,3.86,0.69,0.71,0.06
lorena,8.11,4.58,2.84,1.22,0.77,0.14
mairipora,14.44,5.83,10.2,3.37,2.69,0.44
matao,10.3,5.95,1.43,0.43,0.38,0.02
mirassol,6.96,3.64,3.18,1.59,0.26,0.16
mococa,10.91,5.85,10.84,6.04,2.52,0.99
moji mirim,9.25,4.57,5.37,2.53,1.33,0.24
nova odessa,5.11,2.51,0.53,0.18,0.1,0.11
olimpia,12.04,7.7,7.11,2.11,0.8,0.11
paulinia,8.03,3.74,1.41,0.84,0.2,0.13
penapolis,7.92,5.78,7.21,2.16,0.91,0.29
peruibe,14.91,8.04,2.46,0.42,1.04,0.19
piedade,14.7,8.23,31.45,8.05,6.38,1.22
pirassununga,9.84,6.08,5.91,4.11,1.52,0.74
porto ferreira,13.25,8.21,3.65,0.34,1.08,0.05
registro,12.64,6.07,12.13,3.94,3.36,0.53
santa isabel,13.56,7.53,11.18,2.38,2.78,0.43
sao joao da boa vista,8.58,3.68,8.1,2.18,1.81,0.29
sao jose do rio pardo,9.59,5.05,8.32,4.77,1.51,0.32
sao roque,11.79,5.14,6.17,2.56,1.64,0.1
sao sebastiao,15.81,8.39,1.39,0.25,0.72,0.12
taquaritinga,12.99,9.33,5.55,3.51,1.04,0.48
tupa,8.16,4.41,4.54,1.91,0.51,0.12
ubatuba,15.67,7.32,1.55,0.24,0.68,0.05
vinhedo,8.3,3.82,1.1,0.36,0.31,0.04
votuporanga,6.79,3.73,1.92,2.08,0.12,0.07
de 100.001 a 500.000 ,9.43,4.77,1.67,0.44,0.4,0.07
americana,4.85,2.73,0.28,0.03,0.15,0.01
aracatuba,7.33,3.35,1.85,0.77,0.28,0.06
araraquara,6.79,4.64,0.98,0.54,0.2,0.16
araras,9.26,5.75,2.14,0.55,0.42,0.1
atibaia,12.39,7.28,12.25,1.0,2.79,0.25
barretos,8.08,4.52,5.25,2.58,0.5,0.19
barueri,10.28,4.29,0.37,0.05,0.07,0.02
bauru,6.96,3.56,1.2,0.26,0.29,0.01
birigui,6.84,3.29,3.08,1.44,0.39,0.09
botucatu,7.43,4.6,3.02,1.41,0.61,0.14
braganca paulista,10.87,4.76,5.32,0.56,1.44,0.06
caraguatatuba,13.58,5.78,1.01,0.29,0.45,0.08
carapicuiba,9.4,5.15,0.3,0.2,0.1,0.05
catanduva,8.26,4.64,1.03,0.2,0.19,0.0
cotia,10.36,5.28,1.48,0.3,0.35,0.07
cubatao,14.17,6.4,0.74,0.3,0.18,0.05
diadema,10.1,4.93,0.27,0.05,0.06,0.01
embu,11.65,5.72,0.36,0.11,0.11,0.03
ferraz de vasconcelos,11.61,5.49,0.74,0.31,0.22,0.01
franca,5.76,3.26,1.38,0.4,0.19,0.08
francisco morato,16.39,7.98,4.42,0.58,1.41,0.2
franco da rocha,13.64,6.64,4.33,1.01,1.41,0.17
guaratingueta,6.69,3.39,2.36,0.85,0.56,0.25
guaruja,13.89,7.37,0.87,0.52,0.3,0.09
hortolandia,9.63,4.71,0.26,0.21,0.14,0.01
indaiatuba,8.4,3.4,1.76,0.47,0.33,0.03
itapecerica da serra,12.65,6.27,2.93,0.75,0.85,0.11
itapetininga,10.11,5.29,6.03,1.63,0.97,0.17
itapevi,12.98,6.24,2.05,0.28,0.55,0.05
itaquaquecetuba,13.68,6.75,1.89,0.59,0.46,0.11
itatiba,9.71,4.76,3.54,0.17,1.02,0.03
itu,11.62,4.92,4.16,0.96,1.06,0.11
jacarei,8.4,4.19,3.09,0.41,0.8,0.1
jandira,8.78,4.42,0.13,0.0,0,0.0
jau,10.61,5.9,2.5,0.91,0.65,0.19
jundiai,7.43,3.69,0.54,0.07,0.12,0.0
limeira,8.15,4.49,1.35,0.59,0.23,0.1
marilia,7.4,3.29,2.26,1.1,0.39,0.14
maua,10.29,4.2,0.12,0.04,0.03,0.02
mogi das cruzes,10.28,4.83,4.2,1.22,1.16,0.26
