city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
panorama,11.8,8.55,2.54,1.79,9.68,6.2,41.21,27.71
paraibuna,13.34,9.22,2.79,1.4,11.8,6.89,40.62,28.23
paranapanema,12.2,8.94,3.29,0.94,10.19,6.83,43.24,32.73
parapua,13.71,8.75,2.36,1.53,9.07,4.72,42.64,26.44
pariquera-acu,8.91,6.79,2.68,1.59,7.38,4.74,28.83,21.24
patrocinio paulista,9.67,6.74,2.26,0.97,8.4,5.3,29.97,21.1
pedregulho,10.99,7.43,2.79,1.11,10.23,5.76,32.33,23.68
pedro de toledo,14.92,10.25,5.24,1.33,14.27,8.43,35.04,26.26
pindorama,11.13,8.23,2.05,1.64,7.68,4.8,34.29,25.6
pinhalzinho,12.01,7.54,1.77,1.05,8.78,5.16,39.36,21.03
piquete,6.95,4.8,1.66,0.93,5.01,3.41,23.61,13.92
pirangi,10.79,7.97,2.53,1.79,7.43,5.41,33.74,22.29
pirapora do bom jesus,10.35,5.92,2.35,0.97,10.84,4.96,34.52,23.87
piratininga,9.66,5.72,2.57,0.7,7.44,3.31,29.12,18.94
pompeia,8.5,5.12,1.01,0.9,5.6,2.33,34.62,20.37
potim,8.3,4.6,2.03,1.37,7.62,3.54,35.81,20.87
potirendaba,10.35,6.89,3.02,1.83,6.53,5.1,32.16,18.02
pradopolis,11.5,8.77,2.64,2.68,10.37,7.5,42.58,27.31
presidente bernardes,11.13,7.56,1.67,1.15,7.83,3.78,36.26,23.79
quata,10.55,8.02,1.72,1.4,8.44,5.21,35.08,29.17
queluz,9.17,6.52,2.66,1.58,7.42,4.82,31.3,22.64
regente feijo,11.02,7.33,2.55,0.88,7.73,4.37,39.37,25.73
ribeirao bonito,12.33,9.52,3.84,1.57,10.55,7.88,34.32,27.27
ribeirao branco,16.96,12.24,6.65,2.24,17.02,10.97,49.96,37.21
rincao,11.14,7.79,3.61,2.06,9.35,6.15,35.27,22.3
riolandia,16.59,11.63,5.12,3.36,16.08,10.49,43.19,30.68
rosana,8.19,7.4,2.01,1.42,7.32,4.97,39.75,27.49
sales oliveira,7.6,5.06,1.69,0.5,4.95,3.11,29.21,17.73
salesopolis,13.86,9.18,2.09,1.21,11.4,6.34,45.54,30.47
santa adelia,10.28,7.63,2.27,1.24,7.74,5.38,32.27,23.05
santa branca,9.73,6.86,1.72,1.14,8.21,4.58,32.44,22.26
sao bento do sapucai,11.01,8.45,2.92,1.37,8.92,5.87,31.35,23.75
sao lourenco da serra,14.01,8.22,3.11,1.08,12.81,6.03,50.63,30.65
sao luis do paraitinga,15.63,10.03,3.47,1.65,12.92,6.68,42.9,29.39
sao sebastiao da grama,10.33,8.17,2.47,1.18,7.52,6.39,36.4,23.51
sao simao,6.38,4.92,2.24,1.63,5.54,4.01,16.09,11.68
serra azul,12.85,9.1,4.02,3.74,11.98,8.46,36.45,23.47
sete barras,14.36,10.49,3.87,2.27,14.27,8.4,39.7,28.2
severinia,14.7,10.8,5.57,2.07,13.6,9.1,43.3,35.6
tabapua,12.47,7.81,2.29,1.08,8.3,4.32,39.99,25.86
tabatinga,12.7,9.52,2.38,1.99,11.39,8.07,36.91,27.1
taguai,11.68,7.37,1.82,0.82,9.22,5.32,44.32,29.23
tapiratiba,10.08,6.28,2.08,1.05,7.35,3.75,35.92,22.48
taruma,12.35,8.6,1.74,1.11,10.52,5.67,51.89,38.44
tupi paulista,10.26,6.22,1.36,0.72,5.61,2.58,32.86,20.88
urupes,10.39,6.74,1.71,1.72,6.02,3.81,34.74,19.75
valentim gentil,10.29,6.95,1.33,0.83,6.7,4.28,43.52,26.04
vera cruz,11.27,8.02,2.37,1.98,8.21,4.65,33.7,23.57
viradouro,8.65,6.65,1.8,1.21,6.51,4.56,30.37,21.88
de 20.001 a 50.000 ,9.39,6.37,2.29,1.27,7.64,4.59,31.42,20.66
adamantina,9.48,6.35,1.29,0.81,5.56,2.95,32.68,20.95
aguai,10.07,7.73,3.58,2.07,8.68,7.01,28.27,19.3
agudos,8.61,5.21,2.27,0.88,7.41,3.46,28.91,19.49
alvares machado,11.4,6.99,2.21,0.83,8.2,3.87,42.72,25.58
americo brasiliense,10.18,6.89,2.71,1.02,9.77,5.57,40.19,29.0
angatuba,9.62,6.67,2.46,1.37,7.36,4.77,33.1,21.97
aparecida,5.54,3.43,1.48,1.02,3.82,2.19,22.48,11.9
apiai,11.19,7.63,2.78,1.28,9.97,5.24,40.6,27.22
aracoiaba da serra,7.86,4.91,1.4,1.11,6.2,3.46,26.42,15.2
artur nogueira,9.09,5.55,2.73,0.87,8.23,4.35,31.97,19.9
bariri,10.01,5.85,2.52,0.98,6.62,3.33,30,18.97
barra bonita,8.13,5.58,1.75,0.99,6.42,3.72,28.06,17.82
barrinha,12.24,8.41,3.03,1.85,12.35,7.39,43.42,31.93
bastos,9.8,6.85,1.13,0.82,7.04,4.01,39.53,25.66
bertioga,8.26,5.46,3.76,1.3,9.18,5.65,17.59,13.83
biritiba-mirim,13.29,8.79,2.97,1.36,12.3,6.66,42.42,28.72
boituva,8.06,4.92,3.07,1.01,7.52,4.4,23.03,14.53
brodowski,7.6,4.14,1.8,1.11,5.54,3.03,26.34,12.64
brotas,9.31,6.56,2.27,0.9,7.61,5.08,27.09,19.3
cabreuva,9.95,6.22,2.46,1.05,9.65,4.96,36.84,25.41
cachoeira paulista,6.54,4.18,1.65,1.17,4.68,2.38,24.25,14.98
cajati,13.88,9.94,2.82,1.34,12.07,6.18,53.85,40.12
cajuru,9.52,5.97,3.55,1.56,7.78,4.57,27.2,17.47
campos do jordao,7.72,4.42,2.31,1.06,6.33,3.13,32.2,17.99
candido mota,11.23,6.94,2.28,1.2,8.5,4.51,36.53,22.2
capao bonito,11.6,9.06,3,1.43,10.09,6.82,38.99,29.39
