city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
juquitiba,21.35,33.85,55.63,56.39,23.02,9.76
laranjal paulista,79.24,83.53,11.87,15.51,8.89,0.96
louveira,71.17,86.48,25.9,13.24,2.93,0.28
mairinque,61.73,74.45,33.06,22.92,5.22,2.64
martinopolis,72.64,86.11,14.72,9.49,12.63,4.4
miguelopolis,82.04,82.94,15.45,14.64,2.51,2.43
miracatu,37.35,42.44,28.51,41.27,34.15,16.29
mirandopolis,76.84,81.12,11.46,12.31,11.7,6.57
mongagua,76.32,84.98,20.92,14.61,2.76,0.41
monte alto,92.11,93.97,3.54,2.8,4.36,3.23
monte aprazivel,80.31,86.73,7.12,7.19,12.57,6.08
monte mor,56.72,64.67,38.99,33.84,4.29,1.49
morro agudo,89.4,93.94,5.48,2.33,5.12,3.73
novo horizonte,87.93,92.15,2.24,3.44,9.83,4.41
orlandia,97.27,97.42,2.58,1.77,0.15,0.81
osvaldo cruz,87.55,93.31,7.21,2.74,5.25,3.95
palmital,83.53,91.05,3.71,3.17,12.76,5.78
paraguacu paulista,90.06,91.86,3.88,3.6,6.06,4.54
pederneiras,91.48,91.79,6.63,3.92,1.89,4.29
pedreira,93.58,95.64,4.37,4.0,2.06,0.36
pereira barreto,89.65,92.22,5.33,4.52,5.02,3.26
pilar do sul,65.98,73.71,17.16,24.08,16.86,2.21
piracaia,59.25,67.65,30.2,29.04,10.54,3.31
piraju,85.3,89.3,4.26,5.93,10.44,4.77
pirajui,80.86,88.57,13.9,6.28,5.24,5.15
pirapozinho,84.43,91.19,9.17,6.47,6.39,2.34
pitangueiras,94.07,95.54,4.52,3.0,1.41,1.46
pontal,96.06,97.89,2.9,1.85,1.04,0.27
porto feliz,78.48,81.66,15.52,16.79,6.01,1.55
presidente epitacio,77.12,84.1,19.29,10.32,3.59,5.58
presidente venceslau,91.86,94.02,3.29,2.87,4.85,3.11
promissao,82.45,84.13,8.35,6.98,9.2,8.89
rancharia,82.43,89.3,6.29,5.98,11.28,4.72
rio das pedras,91.64,93.98,6.6,5.63,1.77,0.39
rio grande da serra,71.75,75.91,25.55,23.3,2.69,0.79
salto de pirapora,77.72,79.3,18.76,20.03,3.52,0.68
santa cruz das palmeiras,94.11,96.81,4.05,1.87,1.84,1.32
santa cruz do rio pardo,84.14,88.28,7.41,5.23,8.45,6.49
santa fe do sul,91.46,94.35,3.7,3.99,4.84,1.66
santa gertrudes,97.03,98.22,2.95,1.08,0.02,0.7
santa rita do passa quatro,87.06,90.29,7.62,6.2,5.32,3.51
santa rosa de viterbo,95.25,95.97,2.74,3.93,2,0.09
santo anastacio,87.07,91.57,4.91,3.0,8.02,5.43
santo antonio de posse,57.01,79.02,34.67,19.45,8.31,1.52
sao joaquim da barra,97.03,97.39,1.79,1.75,1.18,0.85
sao manuel,90.48,94.88,6.06,4.59,3.45,0.53
sao miguel arcanjo,55.79,59.79,22.52,29.75,21.69,10.46
sao pedro,83.59,82.88,9.72,15.22,6.69,1.91
serra negra,65.2,68.53,26.75,28.69,8.05,2.78
serrana,97.7,98.75,2.03,1.1,0.28,0.15
socorro,53.69,56.01,24.74,38.17,21.57,5.82
tambau,84.64,88.34,5.44,7.48,9.92,4.17
tanabi,72.95,79.12,12.46,13.38,14.58,7.5
taquarituba,80.87,87.02,10.46,6.3,8.67,6.68
teodoro sampaio,66.54,79.18,17.15,3.86,16.31,16.96
tiete,87.68,89.32,4.96,8.0,7.36,2.68
tremembe,81.12,84.7,11.81,13.35,7.07,1.96
valparaiso,86.56,93.29,7.68,2.51,5.76,4.2
vargem grande do sul,91.91,93.43,2.75,3.57,5.35,3
vargem grande paulista,66.95,74.22,32.4,25.7,0.65,0.08
de 50.001 a 100.000 ,82.22,84.8,14.06,13.4,3.72,1.81
amparo,79.81,83.29,15.09,15.6,5.1,1.11
andradina,76.62,88.5,17.22,8.05,6.17,3.45
aruja,46.65,81.56,50.57,18.32,2.79,0.12
assis,95.19,96.33,3.84,2.92,0.97,0.76
avare,91.81,93.3,5.09,5.26,3.11,1.44
batatais,93.91,95.41,4.22,3.1,1.87,1.49
bebedouro,93.26,95.38,5.38,2.05,1.36,2.57
cacapava,84.07,84.72,14.02,14.58,1.9,0.7
caieiras,83.09,89.66,16.35,10.27,0.56,0.07
cajamar,70.24,74.82,24.64,24.67,5.12,0.5
campo limpo paulista,69.76,73.68,29.57,26.15,0.67,0.17
cosmopolis,90.5,92.73,7.95,7.06,1.55,0.21
cruzeiro,94.22,94.7,4.22,4.78,1.56,0.52
embu-guacu,35.92,52.0,57.75,46.36,6.33,1.64
fernandopolis,92.52,95.04,4.48,4.04,3,0.92
ibitinga,92.27,94.76,2.9,4.08,4.82,1.17
ibiuna,19.07,27.33,48.16,61.57,32.77,11.09
itanhaem,69.37,75.88,27.89,23.18,2.74,0.94
itapeva,76.99,81.14,12.65,12.91,10.36,5.95
itapira,90.71,91.25,5.65,8.41,3.63,0.34
jaboticabal,94.3,96.38,3.91,2.67,1.8,0.95
leme,95.47,97.14,2.67,2.19,1.87,0.67
lencois paulista,94.3,96.92,4.2,2.47,1.5,0.61
lins,94.39,97.43,2.87,1.93,2.74,0.64
lorena,92.28,95.23,5.64,3.82,2.08,0.95
mairipora,35.85,55.74,55.78,40.77,8.37,3.49
matao,95.24,97.32,3.6,2.22,1.16,0.46
mirassol,91.8,94.48,5.41,4.04,2.8,1.48
mococa,87.75,90.52,4.92,5.24,7.33,4.24
moji mirim,90.18,92.94,5.22,4.75,4.61,2.32
nova odessa,96.32,95.58,3.09,4.17,0.59,0.25
olimpia,89.58,89.13,3.9,8.3,6.53,2.57
paulinia,93,93.57,5.74,5.75,1.26,0.68
penapolis,91.6,94.94,2.14,2.98,6.25,2.07
peruibe,70.3,75.7,27.42,23.85,2.27,0.45
piedade,33.98,35.68,35.53,54.37,30.49,9.95
pirassununga,91.65,93.65,3.25,2.91,5.1,3.44
porto ferreira,91.79,97.09,5.62,2.5,2.59,0.4
registro,69.22,79.79,21.35,16.75,9.44,3.46
santa isabel,58.27,64.17,31.91,33.13,9.82,2.7
sao joao da boa vista,90.85,94.23,3.26,4.24,5.89,1.53
sao jose do rio pardo,82.7,87.68,10.62,8.3,6.68,4.02
sao roque,64.83,64.99,30.36,32.93,4.81,2.08
sao sebastiao,60.16,64.21,38.86,35.6,0.98,0.19
taquaritinga,91.1,93.54,3.49,3.03,5.41,3.43
tupa,92.12,94.36,4.12,3.9,3.76,1.73
ubatuba,58.64,52.82,40.29,46.96,1.07,0.22
vinhedo,91.38,92.43,7.55,7.25,1.07,0.31
votuporanga,93.61,96.53,4.57,1.55,1.83,1.92
de 100.001 a 500.000 ,86.72,89.74,11.99,9.87,1.29,0.39
americana,93.29,97.0,6.57,2.97,0.15,0.04
aracatuba,95.63,96.76,2.73,2.54,1.64,0.7
araraquara,96.42,97.62,2.96,1.89,0.62,0.48
araras,94.71,96.77,3.67,2.69,1.63,0.53
atibaia,54.6,67.05,35.59,32.08,9.81,0.86
barretos,93.23,95.35,2.17,2.17,4.6,2.48
barueri,89.26,95.13,10.5,4.85,0.24,0.02
bauru,96.01,97.34,3.14,2.42,0.86,0.24
birigui,95.17,96.12,1.98,2.25,2.85,1.62
botucatu,92.18,94.03,5.77,4.84,2.05,1.13
braganca paulista,81.09,83.91,14.73,15.61,4.18,0.48
caraguatatuba,78.08,86.37,21.03,13.29,0.89,0.34
carapicuiba,86.2,87.27,13.62,12.6,0.18,0.13
catanduva,94.2,96.95,4.88,2.79,0.92,0.26
cotia,67.03,76.15,31.72,23.61,1.25,0.24
cubatao,62.88,62.37,36.6,37.45,0.52,0.18
diadema,94.59,96.98,5.21,3.0,0.19,0.03
embu,70.8,78.6,28.86,21.32,0.34,0.07
ferraz de vasconcelos,79.54,84.92,19.92,14.78,0.54,0.31
franca,97.26,97.84,1.41,1.88,1.34,0.28
francisco morato,30.6,58.08,65.62,41.29,3.79,0.64
franco da rocha,67.01,73.22,29.7,25.93,3.29,0.85
guaratingueta,85.98,89.42,12.29,9.97,1.74,0.61
guaruja,77.3,81.08,22.19,18.6,0.51,0.31
hortolandia,76.9,51.36,22.97,48.52,0.13,0.13
indaiatuba,91.13,93.87,7.41,5.64,1.46,0.48
itapecerica da serra,40.13,48.84,57.44,50.48,2.43,0.68
itapetininga,86.18,89.45,7.54,8.54,6.28,2.01
itapevi,61.59,80.86,36.61,18.9,1.81,0.24
itaquaquecetuba,72.92,79.25,25.53,20.35,1.55,0.39
itatiba,83.26,85.73,14.34,14.13,2.4,0.14
itu,88.36,92.16,8.38,7.0,3.26,0.85
jacarei,88.84,93.4,8.58,6.12,2.58,0.47
jandira,81.78,90.17,18.09,9.83,0.13,0
jau,95.44,97.29,2.93,1.88,1.63,0.84
jundiai,90.37,93.19,9.25,6.74,0.37,0.07
limeira,95.04,95.72,3.21,3.59,1.76,0.69
marilia,93.41,95.61,4.77,3.38,1.81,1.01
maua,83.4,90.92,16.51,9.04,0.09,0.04
mogi das cruzes,78.41,81.84,18.42,17.11,3.16,1.04
mogi guacu,93.4,94.9,3.59,4.21,3.01,0.89
ourinhos,94.78,96.45,2.81,2.8,2.41,0.75
pindamonhangaba,87.08,94.22,10.14,4.94,2.78,0.83
piracicaba,94.77,96.97,4.01,2.83,1.23,0.2
poa,92.22,95.61,7.65,4.22,0.13,0.18
praia grande,81.85,93.16,17.89,6.81,0.26,0.03
presidente prudente,94.62,96.83,3.84,2.52,1.54,0.65
ribeirao pires,84.03,83.92,15.16,15.92,0.81,0.16
rio claro,96.7,97.89,2.51,1.49,0.79,0.62
salto,94.79,96.37,4.37,3.37,0.84,0.25
santa barbara d'oeste,97.16,98.26,2.21,1.65,0.63,0.09
santana de parnaiba,60.44,68.72,38.05,30.99,1.51,0.29
santos,94.61,95.73,5.31,4.22,0.08,0.04
sao caetano do sul,99.85,99.93,0.15,0.07,-,-
sao carlos,95.22,96.38,2.81,3.27,1.97,0.36
sao jose do rio preto,91.88,87.69,7.25,12.17,0.87,0.13
sao vicente,83.99,91.46,15.95,8.45,0.06,0.1
sertaozinho,93.64,98.15,5.04,1.7,1.32,0.15
sumare,84.68,93.9,14.47,5.89,0.85,0.21
suzano,72.81,85.7,24.44,13.87,2.75,0.43
taboao da serra,89.76,93.71,10.21,6.29,0.03,0
tatui,87.84,91.43,8.53,7.78,3.62,0.78
taubate,92.48,94.89,6.27,4.79,1.26,0.32
valinhos,82.35,89.3,16.66,10.54,0.98,0.16
varzea paulista,81.32,88.19,18.09,11.78,0.59,0.03
votorantim,92.72,94.48,6.67,5.23,0.6,0.29
mais de 500.000 ,89.54,92.86,10.24,7.07,0.21,0.08
campinas,88.55,90.65,10.88,9.16,0.57,0.19
guarulhos,80.05,87.85,19.45,12.03,0.51,0.12
osasco,84.86,89.82,14.75,9.85,0.4,0.33
ribeirao preto,96.33,97.77,3.52,2.08,0.15,0.15
santo andre,94.09,95.29,5.85,4.71,0.07,0
sao bernardo do campo,89.13,91.56,10.7,8.39,0.17,0.05
sao jose dos campos,92.02,93.24,7.41,6.61,0.57,0.15
sao paulo,90.14,93.16,9.73,6.79,0.14,0.05
sorocaba,96.13,97.52,3.57,2.41,0.3,0.07
