city,total,regular,military_and_gov,irregular,entrepreneur,employers
sinimbu,730.34,883.13,1366.48,782.28,666.42,726.87
sobradinho,1043.62,851.17,1539.3,661.97,1200.33,2695.28
soledade,1055.49,936.93,1952.95,561.04,1129.47,3013.29
tabai,921.23,771.56,1350.68,544.84,1065.13,2030.9
tapejara,1196.73,964.13,1748.03,665.5,1818.62,2258.41
tapera,1100.78,922.44,1500.39,684.6,1260.3,3185.07
tapes,919.11,828.05,1416.35,510.85,1050.97,2363.37
taquara,1188.12,1037.44,1747.83,790.82,1551.51,2555.38
taquari,1224.11,1126.64,2142.77,578.95,1433.27,3135.97
taquarucu do sul,1223.52,782.23,1560.42,434.26,1412.61,5644.56
tavares,745.32,779.29,984.07,487.34,760.48,1641.68
tenente portela,1109.96,1005.37,1335.4,519.6,1343.3,3286.33
terra de areia,944.37,940.57,1184.54,698.57,898.92,1928.92
teutonia,1025.17,938.17,1779.14,714.17,1006.49,3283.85
tio hugo,1002.9,859.72,1067.19,459.32,1474.08,2673.11
tiradentes do sul,815.39,940.92,1183.59,542.45,803.9,1024.02
toropi,658.9,804.69,1209.66,476.51,609.77,1287.62
torres,1146.57,911.41,2212.61,638.59,1278.69,2760.14
tramandai,1068,1021.65,1842.8,651.07,1097.73,2289.99
travesseiro,887.4,745.08,1757.41,850.23,946.96,1581.09
tres arroios,913.66,1199.11,1677.14,954.25,687.08,1694.87
tres cachoeiras,1042.89,934.4,1489.67,801.26,1056.78,3038.74
tres coroas,1025.48,932.72,1857.31,656.46,1105.4,2697.91
tres de maio,1142.34,958.44,1582.7,517.22,1153.97,4956.45
tres forquilhas,686.01,771.77,1093.35,534.93,566.87,5985.25
tres palmeiras,1229.68,709.51,1201.97,536.44,1332.6,10552.36
tres passos,980.41,862.72,1763.45,563.59,945.82,2816.08
trindade do sul,845.88,893.82,1187.99,659.29,752.1,2608.69
triunfo,1042.93,1093.6,1597.27,605.54,1023.99,2252.23
tucunduva,1120.87,949.01,1459.62,592.04,1358.97,1564.27
tunas,741.01,1055.86,880.23,452.7,750.2,-
tupanci do sul,928.61,898.38,1051.79,423.36,1087.02,-
tupancireta,1093.59,857.22,1670.91,494.28,1243,5437.19
tupandi,1031.66,984.43,1090.84,918.35,1075.58,1903.66
tuparendi,1067,906.19,1424.04,562.24,1075.95,6231.4
turucu,893.58,830.81,671.09,636.23,1091.62,1300.86
ubiretama,687.81,682.97,1336.61,517.01,655.42,555
uniao da serra,1181.37,830.55,1443.45,534.8,1256,-
unistalda,668.16,727.8,990,533.06,612.87,3000
uruguaiana,1178.31,1006.57,2389.22,556.08,1277.87,4652.92
vacaria,1186.54,932.59,2739.59,654.84,1615.28,3077.73
vale do sol,738.95,780.43,1354.05,466.84,773.57,500.22
vale real,1025.16,1021.89,1051.58,775.34,1081.26,1726.02
vale verde,706.74,824.75,1052.71,601.36,585.5,20000
vanini,947.33,736.42,1217.4,677.57,1103.74,1503.28
venancio aires,983.53,889.64,1680.74,638.02,930.34,4312.32
vera cruz,953.39,927.52,1707.45,692.71,856.57,2033.27
veranopolis,1306.18,1022.24,2212.52,671.57,1863.83,2384.59
vespasiano correa,994.07,942.26,1735.86,845.71,943.19,2298.58
viadutos,874.46,887.1,1802.12,562.88,854.42,4000
viamao,1041.08,957.18,2088.04,706.09,1131.44,2893.99
vicente dutra,780.42,890.99,1261.37,505.74,755.04,855
victor graeff,1318.87,924.5,1023.22,539.19,1804.61,4516.44
vila flores,922.65,880.09,1421.92,651.59,1023.71,2261.71
vila langaro,1098.3,886.79,1188.21,637.75,1160.49,6102.72
vila maria,1253.29,1080.87,1589.35,803.91,1339.13,3054.12
vila nova do sul,760.91,760.77,949.4,600.37,839.86,1261.21
vista alegre,1672.54,952.5,1264.43,655.25,1464.46,14561.08
vista alegre do prata,1513.11,926.57,1444.52,695.74,1890.38,-
vista gaucha,957.33,704.67,1436.17,588.26,1121.21,-
vitoria das missoes,732.63,779.92,1043.8,345.63,713.32,2113.99
westfalia,1012.11,1010.01,1711.19,854.65,1018.39,1333.93
xangri-la,1132.02,971.68,1471.6,720.01,1303.79,3800.06
