city,total,main_regular,main_irregular,other_regular,other_irregular
canoas,157013.87704635,119000.44193048,38013.43511587,119088.7805778,37925.09646854
canudos do vale,1277.65633342,243.7646707,1033.89166272,246.03264655,1031.62368687
capao bonito do sul,671.26649326,221.26313865,450.00335461,221.26313865,450.00335461
capao da canoa,20355.59463908,12167.41430761,8188.18033147,12177.03642031,8178.55821876
capao do cipo,1543.79850379,480.96822618,1062.83027761,483.13992203,1060.65858175
capao do leao,9854.43882204,6525.76577764,3328.6730444,6534.65991109,3319.77891095
capela de santana,5782.23457876,4044.00735604,1738.22722272,4054.38864505,1727.84593371
capitao,1858.45164169,919.44559864,939.00604305,926.02701666,932.42462502
capivari do sul,1928.92462438,1251.31368913,677.61093525,1251.31368913,677.61093525
caraa,3660.61440831,1538.92834613,2121.68606218,1542.01919226,2118.59521605
carazinho,28153.4362653,20281.15230133,7872.28396397,20288.69676255,7864.73950275
carlos barbosa,17174.71365875,12373.0405291,4801.67312965,12481.515898,4693.19776073
carlos gomes,1137.93965854,246.03830334,891.9013552,246.03830334,891.9013552
casca,5800.13539792,3325.74475299,2474.39064493,3325.74475299,2474.39064493
caseiros,1556.27692158,592.52627039,963.75065119,592.52627039,963.75065119
catuipe,5069.85256066,2237.50483593,2832.34772473,2242.33800777,2827.51455288
caxias do sul,245665.25231511,202314.1453963,43351.10691881,202574.2075566,43091.04475852
centenario,1903.58178008,389.35227217,1514.22950791,400.96656845,1502.61521163
cerrito,3059.90835305,1170.53203231,1889.37632074,1176.99300444,1882.91534861
cerro branco,2709.65276425,1801.59991962,908.05284463,1807.12439759,902.52836667
cerro grande,1558.14990219,613.25197837,944.89792382,619.9849712,938.16493099
cerro grande do sul,5692.89517274,2339.71501782,3353.18015492,2350.69878798,3342.19638476
cerro largo,7619.31009015,4176.59150608,3442.71858407,4181.18725401,3438.12283614
chapada,6056.16426695,3457.87405623,2598.29021072,3540.89461887,2515.26964807
charqueadas,15477.55654338,10085.74243068,5391.8141127,10098.40328311,5379.15326028
charrua,2041.62587248,381.47287062,1660.15300186,389.5853786,1652.04049388
chiapetta,1933.80280415,759.86292261,1173.93988154,763.67688339,1170.12592075
chui,2886.3607975,1152.32894186,1734.03185564,1156.61270423,1729.74809327
chuvisca,3092.02543512,1768.558503,1323.46693212,1791.40516189,1300.62027321
cidreira,5065.25187499,2637.91181524,2427.34005975,2682.15226515,2383.09960982
ciriaco,3217.0058412,1929.32719234,1287.67864886,1935.5176038,1281.4882374
colinas,1554.41435214,1083.79583051,470.61852163,1083.79583051,470.61852163
colorado,2033.05257556,1310.58552835,722.46704721,1313.55758249,719.49499307
condor,3611.66999202,2015.95889601,1595.71109601,2018.23532371,1593.43466831
constantina,5620.2755293,2496.51588929,3123.75964001,2515.50914984,3104.76637945
coqueiro baixo,826.4611046,132.13906329,694.32204131,132.13906329,694.32204131
coqueiros do sul,1777.40955409,963.10226883,814.30728526,977.70769152,799.70186256
coronel barros,1624.77598976,500.85376062,1123.92222914,517.33721443,1107.43877533
coronel bicaco,3532.77318812,1465.44522694,2067.32796118,1465.44522694,2067.32796118
coronel pilar,1408.09743025,217.52951194,1190.56791831,223.59921689,1184.49821337
cotipora,2813.30954372,1203.56128839,1609.74825533,1208.29044325,1605.01910046
coxilha,1282.96157804,774.04728012,508.91429792,774.04728012,508.91429792
crissiumal,8821.06178673,4033.01765911,4788.04412762,4047.70045334,4773.3613334
cristal,3476.4078488,2018.00264804,1458.40520076,2018.00264804,1458.40520076
cristal do sul,1917.24922112,485.10870391,1432.14051721,493.36202078,1423.88720035
cruz alta,30598.39278951,19246.34244423,11352.05034528,19325.25620915,11273.13658036
cruzaltense,1326.03860902,607.97720826,718.06140076,610.5104137,715.52819532
cruzeiro do sul,7798.08518057,4906.73867689,2891.34650368,4906.73867689,2891.34650368
david canabarro,2721.84929513,1117.92057367,1603.92872146,1122.29144417,1599.55785095
derrubadas,1677.41326926,502.60380664,1174.80946262,504.89795643,1172.51531283
dezesseis de novembro,1584.85919179,372.61830205,1212.24088974,378.29549177,1206.56370003
dilermando de aguiar,1325.82713456,639.24747751,686.57965705,639.24747751,686.57965705
dois irmaos,17759.57844895,15266.37662093,2493.20182802,15266.37662093,2493.20182802
dois irmaos das missoes,1003.97954181,344.31119983,659.66834198,344.31119983,659.66834198
dois lajeados,2376.56875703,840.79354059,1535.77521644,840.79354059,1535.77521644
dom feliciano,7339.86803345,2413.11034975,4926.7576837,2413.11034975,4926.7576837
dom pedrito,17606.43034458,11506.9772404,6099.45310418,11541.77539724,6064.65494732
dom pedro de alcantara,1410.07882077,661.9124957,748.16632507,661.9124957,748.16632507
dona francisca,1895.73766819,1089.22135431,806.51631388,1092.46454184,803.27312635
doutor mauricio cardoso,3150.00831152,1870.48545384,1279.52285768,1876.11504977,1273.89326175
doutor ricardo,1472.14472329,415.9432209,1056.20150239,422.09855039,1050.0461729
eldorado do sul,17480.98078051,11726.50385018,5754.47693033,11732.73911764,5748.24166286
encantado,12494.54678697,9244.08740882,3250.45937815,9250.9407995,3243.60598748
