city,total,suitable,semi_suitable,inappropriate
abadia dos dourados,2072,944,1000,128
abaete,6802,4156,2484,162
abre campo,3350,1155,1778,417
acaiaca,1014,400,535,79
acucena,2835,265,2241,330
agua boa,3944,322,2816,806
agua comprida,624,374,219,30
aguanil,1099,495,551,53
aguas formosas,4238,1966,1840,432
aguas vermelhas,2722,63,2446,213
aimores,7138,3294,3544,300
aiuruoca,1789,369,1303,116
alagoa,774,229,527,18
albertina,794,372,358,64
alem paraiba,9565,5741,3687,137
alfenas,18460,13528,4760,172
alfredo vasconcelos,1286,444,749,92
almenara,8750,3532,4714,503
alpercata,1786,491,1203,91
alpinopolis,4613,2947,1473,193
alterosa,3740,2061,1516,163
alto caparao,1275,509,715,50
alto jequitiba,2352,781,1425,147
alto rio doce,3467,601,2338,528
alvarenga,1359,299,889,171
alvinopolis,4047,1671,2176,200
alvorada de minas,856,20,656,180
amparo do serra,1336,391,827,118
andradas,9582,5776,3500,307
andrelandia,3440,1817,1525,98
angelandia,1600,223,1032,346
antonio carlos,2864,1012,1738,113
antonio dias,2480,440,1657,383
antonio prado de minas,515,238,244,33
aracai,581,0,549,32
aracitaba,609,275,326,8
aracuai,8279,824,6477,978
araguari,29310,18416,10258,636
arantina,845,504,326,16
araponga,1865,236,1260,369
arapora,1399,932,462,5
arapua,839,534,293,12
araujos,1742,954,748,39
araxa,22067,17674,4299,94
arceburgo,2216,1364,794,58
arcos,8841,6528,2204,109
areado,3450,2160,1115,175
argirita,867,444,373,50
aricanduva,932,88,598,246
arinos,4121,448,3194,479
astolfo dutra,3215,2121,1014,81
ataleia,4179,828,2772,578
augusto de lima,1284,26,1096,162
baependi,4576,2396,1909,271
baldim,2215,685,1411,118
bambui,7007,4897,2066,44
bandeira,1350,313,899,137
bandeira do sul,1360,700,614,47
barao de cocais,5792,2990,2703,98
barao de monte alto,1614,422,1102,90
barbacena,30820,20300,9959,561
barra longa,1969,450,1371,148
barroso,4911,3465,1349,97
bela vista de minas,2430,1286,1078,66
belmiro braga,966,419,494,53
belo horizonte,628334,475385,152342,606
belo oriente,4783,1830,2705,248
belo vale,2013,597,1250,165
berilo,2803,265,2233,305
berizal,894,78,767,49
bertopolis,976,208,657,112
betim,78479,39006,39035,439
bias fortes,1169,340,705,124
bicas,3720,2450,1212,58
biquinhas,916,0,858,58
boa esperanca,9649,5891,3420,338
bocaina de minas,1486,249,1137,99
bocaiuva,10589,4237,5869,483
bom despacho,11014,7848,3062,104
bom jardim de minas,1896,1093,743,60
bom jesus da penha,1057,583,430,44
bom jesus do amparo,1240,368,763,110
bom jesus do galho,4211,1095,2675,441
bom repouso,2853,1296,1331,226
bom sucesso,4490,2601,1694,195
bonfim,2057,392,1521,145
bonfinopolis de minas,1624,581,937,107
bonito de minas,1555,121,1127,307
borda da mata,4230,2683,1418,129
botelhos,4359,2301,1874,183
botumirim,1490,4,1228,258
bras pires,1270,247,905,118
brasilandia de minas,2823,472,2253,98
brasilia de minas,6729,2166,4036,528
brasopolis,4050,1758,2083,209
braunas,1357,183,980,194
brumadinho,7180,3493,3448,239
bueno brandao,3050,1174,1596,280
buenopolis,2677,387,2102,188
bugre,1031,5,890,137
buritis,5078,312,4502,265
buritizeiro,6024,107,5568,349
cabeceira grande,1639,4,1574,61
cabo verde,3708,1637,1671,400
cachoeira da prata,1003,721,282,0
cachoeira de minas,2759,1187,1365,207
cachoeira de pajeu,2052,194,1572,285
cachoeira dourada,639,463,176,0
caetanopolis,2299,1122,1100,77
caete,9266,5528,3514,225
caiana,1207,417,665,125
cajuri,975,177,668,129
caldas,3897,1698,1979,220
camacho,904,205,551,148
camanducaia,5679,2931,2547,202
cambui,6871,4332,2372,167
cambuquira,3535,1926,1433,176
campanario,835,247,522,65
campanha,3856,2315,1385,157
campestre,5678,2337,2894,447
campina verde,5686,3290,2183,213
campo azul,804,0,686,118
campo belo,14591,10632,3809,150
campo do meio,3033,2069,911,53
campo florido,1535,794,637,104
campos altos,3506,2389,1054,63
campos gerais,6912,3590,2907,415
cana verde,1571,544,982,44
canaa,1198,208,718,272
canapolis,2990,1825,1083,82
candeias,4276,1977,2098,201
cantagalo,886,17,695,174
caparao,1305,260,889,156
capela nova,1284,122,971,192
capelinha,7339,2286,4422,631
capetinga,2128,1159,889,79
capim branco,2051,702,1305,43
capinopolis,4265,2940,1306,20
capitao andrade,1219,433,714,72
capitao eneas,2948,375,2475,99
capitolio,2289,1543,689,58
caputira,2186,733,1142,312
carai,4693,773,2831,1089
caranaiba,811,159,551,100
carandai,5337,2027,3171,140
carangola,9395,5532,3576,287
caratinga,20889,9874,9996,1019
carbonita,2322,866,1352,105
careacu,1569,851,649,69
carlos chagas,5971,2427,3142,401
carmesia,570,73,433,63
carmo da cachoeira,2874,1400,1265,209
carmo da mata,2899,1691,1118,90
carmo de minas,3118,1349,1675,93
carmo do cajuru,4743,2722,1955,66
carmo do paranaiba,8440,5668,2542,230
carmo do rio claro,5410,3034,2102,273
carmopolis de minas,3685,1735,1727,223
carneirinho,2709,557,1998,154
carrancas,996,420,497,79
carvalhopolis,895,529,346,20
carvalhos,1315,394,835,87
casa grande,572,67,449,56
cascalho rico,838,457,355,26
cassia,5075,3307,1678,90
cataguases,18242,12859,5189,194
catas altas,1066,686,313,67
catas altas da noruega,739,78,532,129
catuji,1583,328,829,427
catuti,1222,0,994,228
caxambu,6072,4403,1644,25
cedro do abaete,387,47,333,8
central de minas,1926,841,994,90
centralina,2907,1815,1073,18
chacara,702,436,212,53
chale,1528,302,1086,140
chapada do norte,3109,353,2043,714
chapada gaucha,1472,159,1051,262
chiador,856,245,566,46
cipotanea,1585,132,1193,260
claraval,1222,433,682,106
claro dos pocoes,2039,157,1712,171
claudio,5924,3230,2544,149
coimbra,1897,904,929,64
coluna,2061,411,1268,381
comendador gomes,815,94,692,29
