city,qt
abadia dos dourados,6381
abaete,22268
abre campo,13273
acaiaca,3881
acucena,11489
agua boa,17806
agua comprida,2092
aguanil,3543
aguas formosas,17835
aguas vermelhas,11834
aimores,25028
aiuruoca,6338
alagoa,2797
albertina,2828
alem paraiba,33481
alfenas,66700
alfredo vasconcelos,5101
almenara,35317
alpercata,6846
alpinopolis,16932
alterosa,12941
alto caparao,4632
alto jequitiba,8429
alto rio doce,13787
alvarenga,5202
alvinopolis,15543
alvorada de minas,3527
amparo do serra,5477
andradas,32849
andrelandia,12243
angelandia,7461
antonio carlos,10852
antonio dias,10025
antonio prado de minas,1794
aracai,2145
aracitaba,2081
aracuai,35508
araguari,101612
arantina,2894
araponga,7904
arapora,5306
arapua,2752
araujos,6191
araxa,78792
arceburgo,7989
arcos,32647
areado,12120
argirita,3173
aricanduva,4248
arinos,17644
astolfo dutra,11745
ataleia,16734
augusto de lima,5133
baependi,17211
baldim,8111
bambui,21480
bandeira,5309
bandeira do sul,4891
barao de cocais,23349
barao de monte alto,6232
barbacena,112593
barra longa,7550
barroso,18254
bela vista de minas,9846
belmiro braga,3427
belo horizonte,2231488
belo oriente,19503
belo vale,7651
berilo,12942
berizal,3911
bertopolis,4411
betim,305931
bias fortes,4392
bicas,12758
biquinhas,2806
boa esperanca,36978
bocaina de minas,4943
bocaiuva,42616
bom despacho,39713
bom jardim de minas,6611
bom jesus da penha,3508
bom jesus do amparo,4797
bom jesus do galho,16139
bom repouso,10855
bom sucesso,17015
bonfim,6838
bonfinopolis de minas,6407
bonito de minas,7859
borda da mata,14370
botelhos,15005
botumirim,6819
bras pires,5076
brasilandia de minas,11454
brasilia de minas,31098
brasopolis,15076
braunas,5408
brumadinho,26488
bueno brandao,10903
buenopolis,10465
bugre,3949
buritis,20291
buritizeiro,25745
cabeceira grande,5920
cabo verde,13665
cachoeira da prata,3780
cachoeira de minas,10545
cachoeira de pajeu,8523
cachoeira dourada,2278
caetanopolis,8547
caete,36106
caiana,4367
cajuri,4190
caldas,12675
camacho,3533
camanducaia,20255
cambui,22834
cambuquira,12467
campanario,3398
campanha,14011
campestre,20396
campina verde,18996
campo azul,3574
campo belo,49089
campo do meio,11384
campo florido,5438
campos altos,12755
campos gerais,26381
cana verde,5641
canaa,4779
canapolis,10599
candeias,14373
cantagalo,3838
caparao,5000
capela nova,4945
capelinha,31089
capetinga,7334
capim branco,7888
capinopolis,14384
capitao andrade,4306
capitao eneas,13061
capitolio,7685
caputira,8834
carai,20954
caranaiba,3549
carandai,21019
carangola,31693
caratinga,77270
carbonita,8951
careacu,5777
carlos chagas,21849
carmesia,2244
carmo da cachoeira,11497
carmo da mata,10375
carmo de minas,12529
carmo do cajuru,17078
carmo do paranaiba,29281
carmo do rio claro,19606
carmopolis de minas,14289
carneirinho,8910
carrancas,3821
carvalhopolis,3070
carvalhos,4719
casa grande,2264
cascalho rico,2606
cassia,17134
cataguases,63787
catas altas,4230
catas altas da noruega,3288
catuji,7787
catuti,5337
caxambu,22035
cedro do abaete,1289
central de minas,6548
centralina,10049
chacara,2370
chale,5663
chapada do norte,15200
chapada gaucha,7246
chiador,3020
cipotanea,6321
claraval,4303
claro dos pocoes,8176
claudio,22411
coimbra,6502
coluna,9345
comendador gomes,2834
comercinho,10204
conceicao da aparecida,9347
conceicao da barra de minas,4003
conceicao das alagoas,17057
conceicao das pedras,2714
conceicao de ipanema,4365
conceicao do mato dentro,18546
conceicao do para,4793
conceicao do rio verde,12216
conceicao dos ouros,8887
conego marinho,6473
confins,4879
congonhal,8672
congonhas,41154
congonhas do norte,4888
conquista,5987
conselheiro lafaiete,102544
conselheiro pena,21668
consolacao,1736
contagem,536644
coqueiral,9594
coracao de jesus,25699
cordisburgo,8472
cordislandia,3340
corinto,24373
coroaci,10767
coromandel,27318
coronel fabriciano,97231
coronel murta,9128
coronel pacheco,2900
coronel xavier chaves,3185
corrego danta,3674
corrego do bom jesus,3942
corrego fundo,5179
corrego novo,3623
couto de magalhaes de minas,4000
crisolita,5298
cristais,9484
cristalia,5583
cristiano otoni,4902
cristina,10277
crucilandia,4419
cruzeiro da fortaleza,3713
cruzilia,13690
cuparaque,4362
curral de dentro,5973
curvelo,67239
datas,5036
delfim moreira,7992
delfinopolis,6533
delta,5065
descoberto,4531
desterro de entre rios,6794
desterro do melo,3266
diamantina,43921
diogo de vasconcelos,3972
dionisio,10165
divinesia,3166
divino,18368
divino das laranjeiras,4965
divinolandia de minas,6421
divinopolis,183485
divisa alegre,4795
divisa nova,5529
divisopolis,6480
dom bosco,4043
dom cavati,5467
dom joaquim,4689
dom silverio,5190
dom vicoso,3133
dona eusebia,5354
dores de campos,8336
dores de guanhaes,5373
dores do indaia,14289
dores do turvo,5099
doresopolis,1333
douradoquara,1776
durande,7005
eloi mendes,21838
engenheiro caldas,9347
engenheiro navarro,7085
entre folhas,5040
entre rios de minas,13061
ervalia,17205
esmeraldas,46957
espera feliz,20436
espinosa,30971
espirito santo do dourado,4162
estiva,10352
estrela dalva,2662
estrela do indaia,3586
estrela do sul,6851
eugenopolis,9749
ewbank da camara,3608
extrema,19024
fama,2318
faria lemos,3606
felicio dos santos,5720
felisburgo,6232
felixlandia,12690
fernandes tourinho,2560
ferros,12281
fervedouro,9658
florestal,5621
formiga,62714
formoso,6498
fortaleza de minas,3866
fortuna de minas,2437
francisco badaro,10304
francisco dumont,4478
francisco sa,23717
franciscopolis,7323
frei gaspar,6103
frei inocencio,8176
frei lagonegro,3191
fronteira,8979
fronteira dos vales,4902
fruta de leite,6777
frutal,46394
funilandia,3277
galileia,7216
gameleiras,5263
glaucilandia,2767
goiabeira,2704
goiana,3323
goncalves,4123
gonzaga,5713
gouveia,11995
governador valadares,246096
grao mogol,14164
grupiara,1376
guanhaes,27738
guape,13532
guaraciaba,10236
guaraciama,4462
guaranesia,18582
guarani,8425
guarara,4112
guarda-mor,6671
guaxupe,46788
guidoval,7547
guimarania,6376
guiricema,9318
gurinhata,6866
heliodora,5642
iapu,9694
ibertioga,5117
ibia,20965
ibiai,7251
ibiracatu,6523
ibiraci,10194
ibirite,132949
ibitiura de minas,3301
ibituruna,2738
icarai de minas,9309
igarape,24794
igaratinga,7355
iguatama,8259
ijaci,5064
ilicinea,10509
imbe de minas,5911
inconfidentes,6479
indaiabira,7411
indianopolis,5387
ingai,2488
inhapim,24813
inhauma,5187
inimutaba,6255
ipaba,14189
ipanema,16190
ipatinga,212080
ipiacu,4019
ipuiuna,8913
irai de minas,5856
itabira,98120
itabirinha de mantena,9809
itabirito,37793
itacambira,4558
itacarambi,17385
itaguara,11230
itaipe,10799
itajuba,83763
itamarandiba,29298
itamarati de minas,3791
itambacuri,22462
itambe do mato dentro,2570
itamogi,10678
itamonte,12179
itanhandu,12904
itanhomi,11568
itaobim,21271
itapagipe,11745
itapecerica,21111
itapeva,7355
itatiaiucu,8517
itau de minas,13647
itauna,76533
itaverava,6370
itinga,13894
itueta,5641
ituiutaba,88901
itumirim,6391
iturama,28689
itutinga,4140
jaboticatubas,13438
jacinto,12075
jacui,7355
jacutinga,18930
jaguaracu,2839
jaiba,27277
jampruca,4684
janauba,61424
januaria,63506
japaraiba,3473
japonvar,8121
jeceaba,6109
jenipapo de minas,6486
jequeri,13654
jequitai,8719
jequitiba,5171
jequitinhonha,22796
jesuania,4795
joaima,14658
joanesia,6802
joao monlevade,66608
joao pinheiro,41089
joaquim felicio,3861
jordania,9834
jose goncalves de minas,4696
jose raydan,3647
josenopolis,4253
juatuba,16371
juiz de fora,454499
juramento,3901
juruaia,7650
juvenilia,7132
ladainha,15826
lagamar,7641
lagoa da prata,38600
lagoa dos patos,4450
lagoa dourada,11465
lagoa formosa,16437
lagoa grande,7523
lagoa santa,37735
lajinha,19482
lambari,18109
lamim,3587
laranjal,6234
lassance,6540
lavras,78547
leandro ferreira,3155
leme do prado,4736
leopoldina,49809
liberdade,5774
lima duarte,15567
limeira do oeste,6151
lontra,7637
luisburgo,6297
luislandia,6121
luminarias,5458
luz,16742
machacalis,6894
machado,34790
madre de deus de minas,4734
malacacheta,19875
mamonas,6138
manga,21894
manhuacu,66991
manhumirim,19900
mantena,26766
mar de espanha,10529
maravilhas,6232
maria da fe,14441
mariana,46552
marilac,4416
mario campos,10535
maripa de minas,2594
marlieria,4041
marmelopolis,3286
martinho campos,11783
martins soares,5685
mata verde,7078
materlandia,4840
mateus leme,24088
mathias lobato,3642
matias barbosa,12242
matias cardoso,8578
matipo,16255
mato verde,13173
matozinhos,30080
matutina,3827
medeiros,3028
medina,21487
mendes pimentel,6286
merces,10057
mesquita,6753
minas novas,31042
minduri,3821
mirabela,12541
miradouro,9696
mirai,12421
miravania,4336
moeda,4459
moema,6477
monjolos,2561
monsenhor paulo,7602
montalvania,16018
monte alegre de minas,17935
monte azul,23782
monte belo,13050
monte carmelo,43695
monte formoso,4393
monte santo de minas,21058
monte siao,18114
montes claros,306222
montezuma,6562
morada nova de minas,7549
morro da garca,3057
morro do pilar,3735
munhoz,6650
muriae,91797
mutum,26875
muzambinho,20480
nacip raydan,3116
nanuque,41403
naque,5601
natalandia,3293
natercia,4598
nazareno,7240
nepomuceno,24619
ninheira,9356
nova belem,4489
nova era,17722
nova lima,64172
nova modica,4100
nova ponte,9419
nova porteirinha,7389
nova resende,13981
nova serrana,37416
nova uniao,5423
novo cruzeiro,30378
novo oriente de minas,9950
novorizonte,4610
olaria,2304
olhos-d'agua,4258
olimpio noronha,2247
oliveira,37121
oliveira fortes,2145
onca de pitangui,2985
oratorios,4502
orizania,6457
ouro branco,30279
ouro fino,29214
ouro preto,65982
ouro verde de minas,6212
padre carvalho,5224
padre paraiso,17462
pai pedro,5832
paineiras,4843
pains,7762
paiva,1622
palma,6548
palmopolis,8879
papagaios,12431
para de minas,72824
paracatu,74922
paraguacu,18881
paraisopolis,17377
paraopeba,20338
passa quatro,14814
passa tempo,8443
passabem,1937
passa-vinte,2164
passos,96774
patis,5164
patos de minas,123668
patrocinio,73041
patrocinio do muriae,4847
paula candido,9109
paulistas,5086
pavao,8870
pecanha,17107
pedra azul,23541
pedra bonita,7268
pedra do anta,3925
pedra do indaia,3814
pedra dourada,1814
pedralva,11950
pedras de maria da cruz,8871
pedrinopolis,3358
pedro leopoldo,53870
pedro teixeira,1787
pequeri,2945
pequi,3717
perdigao,5707
perdizes,12241
perdoes,18639
periquito,7445
pescador,3998
piau,3008
piedade de caratinga,5329
piedade de ponte nova,4013
piedade do rio grande,5063
piedade dos gerais,4254
pimenta,7775
pingo-d'agua,3810
pintopolis,6927
piracema,6469
pirajuba,2738
piranga,17175
pirangucu,4948
piranguinho,7375
pirapetinga,9976
pirapora,50101
pirauba,11108
pitangui,22180
piumhi,28547
planura,8297
poco fundo,15099
pocos de caldas,135079
pocrane,9838
pompeu,25949
ponte nova,55133
ponto chique,3651
ponto dos volantes,10509
porteirinha,37833
porto firme,9456
pote,14759
pouso alegre,106335
pouso alto,6788
prados,7662
prata,23463
pratapolis,9184
pratinha,2951
presidente bernardes,5819
presidente juscelino,4451
presidente kubitschek,2947
presidente olegario,17679
prudente de morais,8186
quartel geral,3074
queluzito,1791
raposos,14282
raul soares,24143
recreio,10170
reduto,5991
resende costa,10292
resplendor,16926
ressaquinha,4495
riachinho,7934
riacho dos machados,9358
ribeirao das neves,245211
ribeirao vermelho,3608
rio acima,7652
rio casca,15192
rio do prado,5372
rio doce,2317
rio espera,6927
rio manso,4621
rio novo,8497
rio paranaiba,11720
rio pardo de minas,27223
rio piracicaba,14091
rio pomba,16224
rio preto,5110
rio vermelho,14878
ritapolis,5413
rochedo de minas,1907
rodeiro,5375
romaria,3722
rosario da limeira,3864
rubelita,10199
rubim,9643
sabara,115217
sabinopolis,16194
sacramento,21268
salinas,36676
salto da divisa,6740
santa barbara,24140
santa barbara do leste,7343
santa barbara do monte verde,2366
santa barbara do tugurio,4827
santa cruz de minas,7042
santa cruz de salinas,4775
santa cruz do escalvado,5378
santa efigenia de minas,4924
santa fe de minas,4192
santa helena de minas,5749
santa juliana,8052
santa luzia,184605
santa margarida,13730
santa maria de itabira,10302
santa maria do salto,5438
santa maria do suacui,14182
santa rita de caldas,9419
santa rita de ibitipoca,3847
santa rita de jacutinga,5192
santa rita de minas,5767
santa rita do itueto,6061
santa rita do sapucai,31128
santa rosa da serra,3106
santa vitoria,16185
santana da vargem,7514
santana de cataguases,3360
santana de pirapama,8560
santana do deserto,3712
santana do garambeu,1975
santana do jacare,4369
santana do manhuacu,8581
santana do paraiso,18155
santana do riacho,3719
santana dos montes,3944
santo antonio do amparo,16071
santo antonio do aventureiro,3603
santo antonio do grama,4377
santo antonio do itambe,4580
santo antonio do jacinto,12136
santo antonio do monte,23372
santo antonio do retiro,6645
santo antonio do rio abaixo,1792
santo hipolito,3472
santos dumont,46712
sao bento abade,3727
sao bras do suacui,3279
sao domingos das dores,5192
sao domingos do prata,17577
sao felix de minas,3454
sao francisco,52517
sao francisco de paula,6505
sao francisco de sales,5274
sao francisco do gloria,5681
sao geraldo,7697
sao geraldo da piedade,5015
sao geraldo do baixio,2864
sao goncalo do abaete,5415
sao goncalo do para,7962
sao goncalo do rio abaixo,8462
sao goncalo do rio preto,2951
sao goncalo do sapucai,22240
sao gotardo,27526
sao joao batista do gloria,6256
sao joao da lagoa,4400
sao joao da mata,2752
sao joao da ponte,26003
sao joao das missoes,10473
sao joao del rei,78329
sao joao do manhuacu,8716
sao joao do manteninha,4406
sao joao do oriente,8492
sao joao do pacui,3664
sao joao do paraiso,20913
sao joao evangelista,15472
sao joao nepomuceno,23676
sao joaquim de bicas,18128
sao jose da barra,6032
sao jose da lapa,14991
sao jose da safira,3874
sao jose da varginha,3225
sao jose do alegre,3802
sao jose do divino,3863
sao jose do goiabal,6004
sao jose do jacuri,6781
sao jose do mantimento,2379
sao lourenco,36647
sao miguel do anta,6641
sao pedro da uniao,5585
sao pedro do suacui,6076
sao pedro dos ferros,9221
sao romao,7773
sao roque de minas,6268
sao sebastiao da bela vista,4311
sao sebastiao da vargem alegre,2627
sao sebastiao do anta,4776
sao sebastiao do maranhao,11567
sao sebastiao do oeste,4656
sao sebastiao do paraiso,58103
sao sebastiao do rio preto,1777
sao sebastiao do rio verde,1976
sao thome das letras,5975
sao tiago,10230
sao tomas de aquino,7261
sao vicente de minas,6163
sapucai-mirim,5455
sardoa,4771
sarzedo,17224
sem-peixe,3170
senador amaral,5128
senador cortes,2000
senador firmino,6560
senador jose bento,2448
