city,total,regular,military_and_gov,irregular,entrepreneur,employers
buritis,898.83,867.56,1091.17,536.32,1247.11,4130.73
buritizeiro,636.03,698.18,845.93,430.56,559.6,2069.08
cabeceira grande,799.64,762.05,1190.53,489.05,1120.87,2290.16
cabo verde,898.53,767.54,1657.9,584.44,1354.62,2389.24
cachoeira da prata,851.8,788.93,1072.11,548.71,1129.16,3253.55
cachoeira de minas,766.56,818.76,1014.23,529.78,744.11,3133.68
cachoeira de pajeu,549.82,673.59,938.41,445.52,474.73,1382.86
cachoeira dourada,971.24,1279.26,806.37,517.08,1300.46,-
caetanopolis,786.97,728.58,1318.95,475.49,1098.76,1495.42
caete,978.25,1032.26,1368.75,563.27,1054.9,2311.38
caiana,607.3,568.45,683.24,505.14,813.05,932.36
cajuri,612.15,615.01,915.81,432.28,743.43,-
caldas,857.67,850.59,929.72,572.28,994,3798.05
camacho,660.31,686.08,900.31,432.8,663.84,4588.08
camanducaia,1105.24,1039.01,1379.04,621.55,1668.15,5270.65
cambui,963.09,899,1273.37,584.05,987.13,4292.56
cambuquira,797.37,712.91,1049.58,503.48,1080.93,2311.88
campanario,679.27,712.66,932.86,622.27,653.93,2208.18
campanha,971.33,766.05,1254,540.33,1527.86,3487.83
campestre,986.36,855.78,1087.77,535.76,847.47,11767.66
campina verde,1078.55,974.93,2233.73,566.74,1485.21,3100.88
campo azul,439.2,572.64,714.85,315.46,463.4,1020
campo belo,983.77,832.03,1513.46,573.98,1500.57,2660.83
campo do meio,704.21,665.92,882.81,446.91,921.77,2560.82
campo florido,1358.58,1258.09,1294.98,702.91,2157.21,2776.19
campos altos,894.4,830.89,1146.31,648.14,1370.66,1303.43
campos gerais,751.12,756,831.19,552.4,860.36,4720.49
cana verde,674.06,617.49,1033.65,445.04,759.04,3337.4
canaa,682.24,581.78,833.62,432.66,923.62,1819.68
canapolis,1052.66,961.51,1125.67,621.74,1347.95,10969.84
candeias,786.66,774,939.84,491.64,965.52,3491.46
cantagalo,591.48,811.67,590.85,489.88,583.28,1203.19
caparao,567.58,770.42,786.59,431.86,674.93,3076.01
capela nova,521.86,706.88,934.17,354.08,432.52,1072.79
capelinha,726.78,769,1175.18,384.41,1066.95,2410.8
capetinga,814.27,753.96,938.6,576.16,1114.7,4604.63
capim branco,775.76,733.06,900.83,500.07,1085.05,1934.97
capinopolis,1463.88,1081.62,1174.99,545.75,1613.12,18680.37
capitao andrade,655.11,769.23,669.63,431.47,945.47,3132.29
capitao eneas,608.29,686.22,810.34,395.03,779.82,1001.4
capitolio,944.65,879.56,1120.68,648.63,1142.07,3320.39
caputira,507.63,592.56,877.26,369.62,491.77,1557.22
carai,492.29,603.72,1132.26,315.72,379.38,4457.64
caranaiba,604.97,673.14,723.01,483.62,657.97,-
carandai,856.47,797.61,1180.22,520.18,942.61,3014.99
carangola,858.66,811.81,1305.85,464.36,945.61,3387.33
caratinga,1029.12,853.84,1737.72,575.5,1155.42,3787.38
carbonita,618.97,735.52,825.55,329.77,711.91,1493.8
careacu,797.16,720.77,974.85,604.55,1060.8,1537.15
carlos chagas,812.08,641.77,1310.25,492.83,1203.48,4325.59
