city,total,adequada,semi_adequada,inadequada
itatiba do sul,1368,87,1099,183
ivora,653,219,431,3
ivoti,4426,3643,774,10
jaboticaba,1259,7,1121,130
jacutinga,1185,407,730,48
jaguarao,9601,6451,3002,148
jaguari,3731,559,2963,209
jaquirana,1395,482,879,34
jari,1086,13,934,139
joia,2351,49,2069,233
julio de castilhos,5813,1944,3698,171
lagoa dos tres cantos,496,36,429,32
lagoa vermelha,8912,5217,3488,207
lagoao,1678,64,1297,317
lajeado,19703,13191,6428,84
lajeado do bugre,713,0,605,107
lavras do sul,2496,1142,1302,52
liberato salzano,1797,3,1544,250
lindolfo collor,1238,771,463,4
linha nova,484,0,475,9
macambara,1404,201,1116,87
machadinho,1640,138,1390,113
mampituba,898,17,788,93
manoel viana,2017,171,1779,66
maquine,2176,0,1998,178
marata,746,0,696,50
marau,8386,4529,3700,157
marcelino ramos,1777,477,1252,48
mariana pimentel,1238,96,1052,89
mariano moro,686,188,461,37
marques de souza,1319,77,1169,72
mata,1708,22,1627,59
mato castelhano,694,0,624,71
mato leitao,967,3,950,14
maximiliano de almeida,1592,459,1092,40
minas do leao,2134,1244,870,20
miraguai,1461,55,1282,124
montauri,423,0,415,8
monte alegre dos campos,841,0,736,105
monte belo do sul,784,49,682,53
montenegro,16631,10478,6091,62
mormaco,692,0,578,114
morrinhos do sul,1079,20,1031,29
morro redondo,1908,241,1554,113
morro reuter,1439,685,754,0
mostardas,3564,899,2575,89
mucum,1497,1020,455,22
muitos capoes,854,0,782,72
muliterno,453,0,383,70
nao-me-toque,4401,828,3541,32
nicolau vergueiro,554,0,540,14
nonoai,3521,123,3009,389
nova alvorada,717,0,681,36
nova araca,905,442,463,0
nova bassano,2083,886,1142,55
nova boa vista,628,28,588,12
nova brescia,1328,366,905,58
nova candelaria,789,0,766,23
nova esperanca do sul,1159,72,1058,29
nova hartz,4371,145,4222,3
nova padua,612,139,446,27
nova palma,1594,639,883,72
nova petropolis,5118,2459,2640,18
nova prata,5340,3595,1721,24
nova ramada,766,0,657,109
nova roma do sul,816,317,499,0
nova santa rita,4544,437,3956,151
novo barreiro,1043,0,865,178
novo cabrais,1094,0,964,130
novo hamburgo,71085,43513,27513,59
novo machado,1449,0,1383,66
novo tiradentes,638,25,539,74
osorio,10818,6056,4733,30
paim filho,1315,118,1108,89
palmares do sul,3318,1048,2208,62
palmeira das missoes,10869,1530,8851,488
palmitinho,1955,312,1464,179
panambi,9746,1533,8102,110
pantano grande,3116,1715,1370,31
parai,1623,563,1013,47
paraiso do sul,2133,273,1712,148
pareci novo,983,15,951,17
parobe,13059,4830,8155,75
passa sete,1299,0,1132,167
passo do sobrado,1735,198,1406,131
passo fundo,49529,18660,30702,167
paverama,2457,143,2184,130
pedro osorio,2617,1669,910,38
pejucara,1132,4,1080,48
pelotas,99024,67404,30605,1015
picada cafe,1361,696,659,6
pinhal,666,0,634,32
pinhal grande,1206,264,810,132
pinheirinho do vale,1142,0,1047,95
pinheiro machado,4845,2706,1966,173
pirapo,976,65,898,13
piratini,6252,2184,3694,374
planalto,3104,315,2505,284
poco das antas,573,136,431,6
pontao,1048,0,965,83
ponte preta,527,0,478,49
portao,7344,1345,5999,0
porto alegre,440365,349799,90136,430
porto lucena,1971,239,1670,61
porto maua,774,8,737,29
porto vera cruz,764,12,716,36
porto xavier,3343,654,2460,228
pouso novo,604,14,525,64
presidente lucena,582,406,172,4
progresso,1767,286,1323,158
protasio alves,562,94,456,12
putinga,1278,277,937,64
quarai,7060,4401,2488,171
quevedos,792,0,678,114
quinze de novembro,1078,29,1050,0
redentora,2158,0,1629,529
relvado,698,39,612,47
restinga seca,4828,2110,2581,137
rio dos indios,1263,0,1092,171
rio grande,56781,38197,18406,178
rio pardo,11576,5213,5773,590
riozinho,1176,346,780,50
roca sales,2913,1103,1777,33
rodeio bonito,1626,325,1188,113
rolante,5405,2227,3097,82
ronda alta,2700,336,2176,187
rondinha,1579,147,1420,12
roque gonzales,2251,99,2066,86
rosario do sul,12095,2150,9620,325
sagrada familia,723,0,609,114
saldanha marinho,946,0,923,23
salto do jacui,3541,412,3039,90
salvador das missoes,758,60,694,4
salvador do sul,1924,670,1237,16
sananduva,4381,1933,2228,219
santa barbara do sul,2932,283,2567,82
santa clara do sul,1370,396,933,41
santa cruz do sul,32808,22372,10233,203
santa maria,72521,48194,23902,425
santa maria do herval,1656,396,1239,21
santa rosa,19223,5613,13395,216
santa tereza,521,4,512,5
santa vitoria do palmar,10519,5370,5010,139
santana da boa vista,2682,748,1706,229
santana do livramento,26792,14958,11457,377
santiago,15741,6286,9169,286
santo angelo,23122,5862,17041,219
santo antonio da patrulha,11514,4048,7152,314
santo antonio das missoes,3732,133,3338,261
santo antonio do palma,567,0,509,58
santo antonio do planalto,576,0,546,30
santo augusto,4250,502,3648,99
santo cristo,4231,429,3759,44
santo expedito do sul,789,60,717,12
sao borja,17981,7483,10246,253
sao domingos do sul,765,28,687,50
sao francisco de assis,6309,204,5828,278
sao francisco de paula,5907,2603,3142,163
sao gabriel,18483,6648,11381,453
sao jeronimo,5894,3161,2534,198
sao joao da urtiga,1386,280,952,154
sao joao do polesine,718,127,549,42
sao jorge,777,274,503,0
sao jose das missoes,847,0,765,82
sao jose do herval,677,96,478,103
sao jose do hortencio,947,598,349,0
sao jose do inhacora,672,0,665,7
sao jose do norte,7414,1890,5137,388
sao jose do ouro,2040,878,1133,28
sao jose dos ausentes,887,158,676,53
sao leopoldo,57661,43567,13955,138
sao lourenco do sul,11711,2330,8338,1043
sao luiz gonzaga,11781,3087,8373,321
sao marcos,5596,3759,1784,53
sao martinho,1887,28,1781,78
sao martinho da serra,1005,2,904,99
sao miguel das missoes,2188,47,1944,197
sao nicolau,1916,95,1744,77
sao paulo das missoes,1969,39,1834,96
sao pedro da serra,758,314,440,4
sao pedro do butia,816,16,800,0
sao pedro do sul,5372,1783,3355,234
sao sebastiao do cai,6007,3114,2893,0
sao sepe,7647,4013,3357,278
sao valentim,1127,197,829,102
sao valentim do sul,620,33,559,27
sao valerio do sul,665,0,627,38
sao vendelino,486,209,269,8
sao vicente do sul,2469,788,1581,101
sapiranga,20231,10511,9669,52
sapucaia do sul,36416,25301,11097,17
sarandi,5176,3046,2077,53
seberi,3347,58,2972,317
sede nova,921,55,822,44
segredo,1842,229,1358,255
selbach,1423,223,1174,26
senador salgado filho,819,19,748,51
sentinela do sul,1522,175,1153,193
serafina correa,3066,341,2673,52
serio,773,8,676,90
sertao,2149,90,1945,114
sertao santana,1587,19,1431,137
sete de setembro,683,4,641,39
severiano de almeida,1117,294,783,40
silveira martins,724,180,522,22
sinimbu,2731,433,1940,358
sobradinho,4813,1842,2727,244
soledade,8676,4281,4087,308
tabai,1141,0,1079,62
tapejara,4396,1452,2889,55
tapera,3115,1310,1777,27
tapes,5049,3051,1917,80
taquara,16236,8318,7717,201
taquari,8249,4300,3812,137
taquarucu do sul,760,9,668,83
tavares,1741,325,1365,51
tenente portela,4037,89,3595,353
terra de areia,3376,57,3175,144
teutonia,6822,1020,5759,43
tiradentes do sul,2196,0,1914,282
toropi,975,4,884,86
torres,9431,3520,5865,45
tramandai,9122,4481,4640,0
travesseiro,710,0,675,35
tres arroios,860,197,612,51
tres cachoeiras,2826,347,2398,81
tres coroas,5737,3134,2583,20
tres de maio,7237,259,6738,240
tres forquilhas,983,0,884,99
tres palmeiras,1285,0,1147,138
tres passos,7775,335,7319,121
trindade do sul,1636,15,1474,147
triunfo,6773,2305,4291,177
tucunduva,1933,43,1840,50
tunas,1159,0,1025,134
tupanci do sul,507,14,463,30
tupancireta,6428,1370,4757,301
tupandi,804,20,775,10
tuparendi,2868,28,2743,96
turucu,952,3,884,64
ubiretama,735,0,685,50
uniao da serra,497,0,479,18
unistalda,753,3,702,48
uruguaiana,34558,20305,13976,277
vacaria,16790,12130,4537,123
vale do sol,2996,373,2340,282
vale real,1237,721,509,7
vale verde,1007,5,948,54
vanini,511,5,499,7
venancio aires,18813,8963,9311,539
vera cruz,6362,3163,3157,42
veranopolis,5586,3891,1682,14
vespasiano correa,586,42,492,53
viadutos,1675,57,1523,94
viamao,65812,35290,30204,317
vicente dutra,1688,78,1349,261
victor graeff,1169,54,1039,76
vila flores,788,138,633,16
vila langaro,637,17,572,48
vila maria,1154,0,1115,39
vila nova do sul,1314,272,939,103
vista alegre,763,12,660,91
vista alegre do prata,417,80,321,15
vista gaucha,775,8,736,31
vitoria das missoes,1176,27,1103,46
xangri-la,2322,814,1508,0
