city,total,suitable,semi_suitable,inappropriate
acaua,1163,0,789,374
agricolandia,1307,4,1152,151
agua branca,3677,1181,2366,131
alagoinha do piaui,1800,4,1331,465
alegrete do piaui,1114,57,884,173
alto longa,2930,438,1710,782
altos,8813,697,6338,1778
alvorada do gurgueia,856,11,645,200
amarante,4241,918,3041,282
angical do piaui,1868,526,1297,45
anisio de abreu,1707,69,1078,560
antonio almeida,691,0,597,94
aroazes,1392,46,1051,295
arraial,1185,0,899,286
assuncao do piaui,1459,47,949,463
avelino lopes,2357,0,1983,374
baixa grande do ribeiro,1605,0,1244,361
barra d'alcantara,1003,141,692,171
barras,8968,1200,5082,2686
barreiras do piaui,644,0,443,201
barro duro,1655,201,1325,129
batalha,5403,129,3643,1631
bela vista do piaui,603,12,382,208
belem do piaui,590,0,401,189
beneditinos,2321,341,1455,525
bertolinia,1212,0,1053,159
betania do piaui,1810,0,925,885
boa hora,1058,0,691,367
bocaina,1162,144,941,77
bom jesus,3467,880,2098,489
bom principio do piaui,995,9,740,246
bonfim do piaui,1160,26,788,346
boqueirao do piaui,1265,0,951,314
brasileira,1743,57,1320,366
brejo do piaui,948,94,577,277
buriti dos lopes,4020,561,2629,830
buriti dos montes,1562,109,871,582
cabeceiras do piaui,1885,18,1175,692
cajazeiras do piaui,644,0,500,143
cajueiro da praia,1325,0,895,430
caldeirao grande do piaui,1249,0,775,474
campinas do piaui,1296,21,1004,271
campo alegre do fidalgo,1001,19,615,367
campo grande do piaui,1166,0,873,293
campo largo do piaui,1201,0,689,513
campo maior,10565,3603,5941,1022
canavieira,898,31,691,175
canto do buriti,4563,963,2699,901
capitao de campos,2365,44,1817,504
capitao gervasio oliveira,799,0,526,273
caracol,1804,53,1134,617
caraubas do piaui,1049,51,569,429
caridade do piaui,809,0,463,346
castelo do piaui,4169,1250,2118,801
caxingo,839,0,439,400
cocal,5229,608,3079,1542
cocal de telha,1072,12,834,226
cocal dos alves,1173,0,698,475
coivaras,767,0,560,207
colonia do gurgueia,1122,87,990,46
colonia do piaui,1625,0,1158,467
conceicao do caninde,1179,134,847,198
coronel jose dias,1085,0,828,257
corrente,5227,1265,2892,1069
cristalandia do piaui,1394,30,945,419
cristino castro,2003,342,1400,261
curimata,2185,533,1241,411
currais,875,9,519,348
curral novo do piaui,801,0,406,395
curralinhos,839,0,561,278
demerval lobao,3042,169,2586,287
dirceu arcoverde,1423,158,908,357
dom expedito lopes,1468,174,1232,62
dom inocencio,2046,0,1378,668
domingos mourao,886,100,544,242
elesbao veloso,3806,10,3278,517
eliseu martins,1026,244,690,93
esperantina,7859,529,5827,1503
fartura do piaui,1023,0,613,410
