city,total,suitable,semi_suitable,inappropriate
sao jose dos basilios,1568,11,997,560
sao luis,202144,67127,122688,12328
sao luis gonzaga do maranhao,5126,4,3126,1996
sao mateus do maranhao,7734,39,5843,1851
sao pedro da agua branca,2413,74,1755,584
sao pedro dos crentes,808,20,535,253
sao raimundo das mangabeiras,3188,16,2511,662
sao raimundo do doca bezerra,1289,0,672,617
sao roberto,875,7,568,299
sao vicente ferrer,3857,8,2224,1625
satubinha,2199,6,1476,717
senador alexandre costa,1995,0,1317,678
senador la rocque,3606,98,2989,519
serrano do maranhao,1997,0,1200,797
sitio novo,3061,240,1646,1174
sucupira do norte,2312,0,1583,729
sucupira do riachao,971,0,765,206
tasso fragoso,1338,175,804,359
timbiras,5800,118,3900,1782
timon,29386,7700,19349,2337
trizidela do vale,3922,359,3287,276
tufilandia,1203,0,1117,86
tuntum,7999,544,5842,1614
turiacu,6226,88,2946,3193
turilandia,3772,0,1892,1880
tutoia,6938,0,4685,2253
urbano santos,3323,50,1895,1378
vargem grande,7486,13,4801,2672
viana,9394,854,5403,3137
vila nova dos martirios,1557,3,1440,115
vitoria do mearim,6327,334,4525,1468
vitorino freire,6421,19,5006,1396
ze doca,9430,685,5841,2904
