city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
amparo de sao francisco,350,4,36,79,78,152
aquidaba,3807,26,236,937,247,2362
aracaju,121637,5078,9204,73225,12368,21762
araua,2304,40,405,747,61,1050
areia branca,2255,107,228,727,220,972
barra dos coqueiros,3734,145,285,1929,250,1126
boquim,4974,92,525,1157,272,2929
brejo grande,778,0,45,207,117,409
campo do brito,2986,0,317,898,263,1508
canhoba,891,0,16,148,96,632
caninde de sao francisco,3305,50,187,691,247,2130
capela,4686,35,473,1444,376,2357
carira,3729,0,222,649,568,2290
carmopolis,2006,33,182,938,495,359
cedro de sao joao,809,0,77,312,91,328
cristinapolis,2769,15,181,564,162,1847
cumbe,795,8,73,200,67,447
divina pastora,708,18,61,257,178,194
estancia,11294,343,1428,5170,943,3410
feira nova,1019,5,53,111,200,649
frei paulo,2897,25,247,528,275,1822
gararu,1779,5,127,341,245,1062
general maynard,508,12,23,219,48,206
gracho cardoso,1135,7,68,104,298,659
ilha das flores,921,0,112,221,145,443
indiaroba,1878,20,100,784,41,934
itabaiana,14314,219,1419,4665,951,7060
itabaianinha,8355,26,709,2490,131,4999
itabi,1027,15,34,180,23,774
itaporanga d'ajuda,5310,221,558,2069,223,2239
japaratuba,2909,126,224,1290,281,987
japoata,2498,22,174,941,154,1208
lagarto,15990,204,1808,5305,811,7861
laranjeiras,4932,71,360,2989,553,959
macambira,1256,11,153,302,199,591
malhada dos bois,595,4,36,120,124,312
malhador,2255,17,191,488,362,1197
maruim,2912,59,317,1615,222,699
moita bonita,1173,23,181,276,87,607
monte alegre de sergipe,2003,15,85,263,339,1301
muribeca,1293,8,31,430,175,650
neopolis,3350,128,288,1492,198,1243
nossa senhora aparecida,1559,0,83,345,76,1055
nossa senhora da gloria,4641,27,315,1318,423,2558
nossa senhora das dores,4199,23,495,1154,316,2211
nossa senhora de lourdes,1172,0,47,75,264,786
nossa senhora do socorro,30918,1110,2734,17926,2785,6363
pacatuba,1103,8,84,328,58,625
pedra mole,667,0,32,220,44,372
pedrinhas,1716,4,122,347,81,1162
pinhao,1064,4,50,199,109,702
pirambu,1307,28,162,311,173,634
poco redondo,2187,0,107,512,316,1252
poco verde,3823,15,390,600,432,2386
porto da folha,3363,62,317,731,202,2052
propria,4842,128,477,2111,503,1623
riachao do dantas,3057,18,227,771,59,1982
riachuelo,1703,32,115,951,297,307
ribeiropolis,2866,16,190,742,354,1564
rosario do catete,1734,10,127,944,180,473
salgado,3518,34,221,920,393,1950
santa luzia do itanhy,1433,42,108,389,126,767
santa rosa de lima,876,19,54,332,150,321
santana do sao francisco,1024,7,79,338,235,364
santo amaro das brotas,1543,41,218,642,269,373
sao cristovao,14259,685,1241,7929,1575,2828
sao domingos,1897,20,116,644,40,1078
sao francisco,557,2,49,124,93,288
sao miguel do aleixo,610,5,43,205,61,296
simao dias,4986,30,603,1263,402,2688
siriri,1588,32,108,701,114,634
telha,421,0,23,158,8,232
tobias barreto,8544,42,736,2001,600,5167
tomar do geru,2463,0,127,222,119,1996
umbauba,3875,30,404,1009,86,2346
