city,total,regular,military_and_gov,irregular,entrepreneur,employers
afonso claudio,697.13,810.86,1179.98,456.37,656.08,2703.11
agua doce do norte,675.3,833.39,1451.03,419.03,642.76,2065.32
aguia branca,787.78,853.83,1136,479.39,679.65,7833.09
alegre,1007.1,944.03,2375.85,497.86,892.75,3473.69
alfredo chaves,830.98,848.69,1309.98,566.04,746.76,5476.53
alto rio novo,718.62,746.7,3964.33,491.76,810.68,2268.4
anchieta,953.03,944.72,1335.71,668.69,910.01,2612.03
apiaca,639.95,741.36,1731.62,378.65,593.18,4470.97
aracruz,1166.72,1131.39,1333.06,741.09,1385.43,3468.75
atilio vivacqua,808.94,780.2,1180.67,510.24,917.73,1949.91
baixo guandu,864.08,920.46,1217.46,600.92,896.62,3056.76
barra de sao francisco,909.37,938.17,1583.78,530.81,838.3,9316.2
boa esperanca,751.83,733.66,1170.52,481.1,761.37,2426.43
bom jesus do norte,897.24,900.54,1381.91,612.86,827.21,5196.16
brejetuba,626.34,766.56,990.74,449.67,873,1866.51
cachoeiro de itapemirim,1246.09,1077.84,1924.13,699.01,1487.59,4950.05
cariacica,1007.62,952.4,1831.96,719.24,1225.52,2942.26
castelo,892.82,896.95,1201.65,614.3,924.02,4356.79
colatina,1110.63,928.16,2495.78,674.2,1386.33,3369.21
conceicao da barra,774.38,872.03,1043.41,486.02,717.27,2257.64
conceicao do castelo,797.83,795.87,1122.81,428.15,858.26,3800.46
divino de sao lourenco,544.46,685.65,1302.61,424.97,457.34,1680.26
domingos martins,707.29,855.92,1124.87,543.5,622.82,3191.79
dores do rio preto,644.54,721.48,1038.86,401.78,720.94,3478.46
ecoporanga,705.96,819.09,1175.73,396.59,778.95,3212.22
fundao,992.94,993.4,1475.04,713.9,963.17,3139.06
governador lindenberg,799.38,817.86,1099.91,553.3,957.98,1959.02
guacui,848.02,760.13,1751.12,515.84,894.87,2918.55
guarapari,1141.01,1006.75,1875.24,715.8,1362.26,3249.35
ibatiba,709.45,823.72,2187.56,498.82,692.77,2850.33
ibiracu,1003.24,1019.1,1049.84,575.44,1320.32,2199.22
ibitirama,555.8,783.1,934.84,403.09,599.71,1644.72
iconha,938.98,890.13,1223.17,619.51,939.17,2943.62
irupi,731.34,858.84,1092.98,451.42,1121.28,1511.98
itaguacu,711.84,756.2,1398.07,464.4,662.61,2726.33
itapemirim,764.18,722.15,970.11,568.85,862.01,3523.44
itarana,765.81,947.44,2106.86,625.99,653.68,2336.22
iuna,768.93,909.3,1770.31,512.5,694.58,3573.95
jaguare,955.24,797.1,1217.54,511.91,1136.74,3886.11
jeronimo monteiro,876.97,753.62,1497.85,480.83,870.65,3842.53
joao neiva,1474.34,1187.21,1481.25,610.49,1495.57,9478.87
laranja da terra,563.47,676.39,987.15,484.7,486.49,4295.12
linhares,1162.06,1049.85,1415.5,657.53,1518.3,3686.85
mantenopolis,764.97,802.93,1377.92,471.88,1110.61,2505.36
marataizes,909.08,922.01,1627.93,622.18,786.11,3171.49
marechal floriano,998.35,878.64,1135.8,644.94,1239.41,3495.71
marilandia,736.2,742.16,1201.81,513.7,857.55,1653.7
mimoso do sul,785.03,887.7,1249.63,476.97,773.1,2522.39
montanha,891.78,801.48,1488.12,521.97,908.45,4661.13
mucurici,642.8,617.48,1042.43,460.94,760.94,2597.25
muniz freire,700.18,757.03,1365.32,520.81,609.68,2778.01
muqui,849.38,892.85,2022.13,471.4,837.42,1932.92
nova venecia,942.64,877.6,1433.81,579.34,996.57,2866.39
pancas,800.28,963.2,1238.76,514.38,852.37,2623.27
pedro canario,840.99,853.77,1376.76,489.57,1102.22,2029.19
pinheiros,799.11,801.99,2047.65,527.81,1027.42,3417.39
piuma,924.27,922.9,1495.28,627.22,905.06,1994.29
ponto belo,803.37,719.56,937.01,436.82,662.55,5230.1
presidente kennedy,773.48,727.49,1263.78,490.49,830.78,3812.22
rio bananal,891.93,817.14,1255.42,534.82,1241.88,3470.68
rio novo do sul,918.69,966.49,1358.78,527.59,1028.91,2921.78
santa leopoldina,679.4,838.49,1722.61,502.36,538.08,2281.74
santa maria de jetiba,783.98,897.23,1446.04,494.92,722.4,3597.42
santa teresa,957.12,942.8,1403.01,597.87,1093.43,1803.64
sao domingos do norte,869.61,843.4,1462.83,585.94,630.4,4536.62
sao gabriel da palha,1074.39,1128.46,1611.81,525.48,1169.02,2202.53
sao jose do calcado,732.46,701.69,961.33,459.27,805.57,2984.79
sao mateus,1212.78,1201.56,2006.47,618.14,1162.87,6123.88
sao roque do canaa,868.16,769.24,1224.48,580.66,983.82,2395.95
serra,1161.6,1092.35,2090.43,738.74,1275.1,5345.09
sooretama,819.36,756.48,954.4,489.9,1040.65,6200.77
vargem alta,742.34,851.23,1151.4,486.69,742.47,3102.13
venda nova do imigrante,953.16,918.03,3031.58,588.57,1155.46,2187.61
viana,897.07,871.09,1379.98,600.64,1002.74,3548.58
vila pavao,696.23,912.26,1178.9,400.76,493.87,6878.47
vila valerio,925.03,711.39,1350.62,631.16,1013.61,4294.41
vila velha,1738.51,1437.03,3724.07,972.27,1867.21,5405.42
vitoria,2453.92,1944.71,4221.46,1184.02,2463.22,6893.46
