city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
dois corregos,7210,338,367,4337,216,1953
dolcinopolis,756,26,68,262,136,264
dourado,2952,112,134,2096,48,562
dracena,11743,568,1354,6110,816,2895
duartina,4001,189,407,2193,143,1070
dumont,2027,110,194,1288,28,406
echapora,2239,65,158,1304,159,553
eldorado,3023,77,233,1183,423,1108
elias fausto,4301,108,228,2263,130,1573
elisiario,886,54,49,667,6,110
embauba,742,4,26,319,165,228
embu,59838,4001,5015,35256,2056,13511
embu-guacu,15974,878,1949,8151,671,4325
emilianopolis,782,31,72,339,22,318
engenheiro coelho,3649,123,231,1554,110,1631
espirito santo do pinhal,13849,573,697,9071,314,3194
espirito santo do turvo,1242,10,95,837,29,271
estiva gerbi,2825,115,120,1781,53,756
estrela do norte,667,29,60,255,110,213
estrela d'oeste,2802,75,289,1396,231,810
euclides da cunha paulista,2524,42,204,1156,174,948
fartura,4460,177,456,1894,231,1703
fernando prestes,1609,36,110,745,66,652
fernandopolis,19534,685,1619,9203,1420,6608
fernao,407,26,9,170,41,160
ferraz de vasconcelos,39272,1043,2483,23620,2421,9704
flora rica,697,7,122,300,60,208
floreal,980,30,102,276,113,460
florida paulista,3543,63,302,1861,133,1184
florinia,854,22,59,547,68,159
franca,100384,3749,3620,59447,3544,30024
francisco morato,36245,1723,3714,20382,2258,8167
franco da rocha,29485,759,2053,16914,3570,6190
gabriel monteiro,1071,14,95,643,43,277
galia,2641,78,131,1771,172,488
garca,13966,797,747,7927,1009,3486
gastao vidigal,1240,38,163,437,186,416
gaviao peixoto,1551,58,46,1259,45,143
general salgado,3364,133,319,1607,352,954
getulina,3174,183,162,1490,385,955
glicerio,1337,49,86,751,62,388
guaicara,2896,98,187,1835,274,503
guaimbe,1517,56,60,931,59,411
guaira,10969,423,1116,5904,315,3210
guapiacu,4738,217,327,2930,290,974
guapiara,3400,82,276,1217,221,1604
guara,5879,68,607,3039,175,1990
guaracai,2566,127,285,1071,183,899
guaraci,2678,55,383,1232,337,671
guarani d'oeste,625,0,74,233,117,200
guaranta,1820,80,140,874,97,629
guararapes,9216,435,866,4705,637,2574
guararema,6417,909,842,2743,382,1541
guaratingueta,29654,1785,2150,16951,2682,6086
guarei,2776,66,257,1533,147,773
guariba,9742,261,683,6954,219,1624
guaruja,78739,4799,9771,41344,3443,19382
guarulhos,321887,6630,16319,210844,15847,72248
guatapara,1894,37,70,1249,18,519
guzolandia,1262,15,70,736,28,412
herculandia,2179,70,156,900,116,938
holambra,3082,165,115,2175,66,561
hortolandia,45828,2789,3054,29238,1724,9023
iacanga,2632,69,213,1357,129,865
iacri,1877,59,138,917,56,707
iaras,780,0,31,450,127,173
ibate,8377,307,322,6157,227,1364
ibira,3154,119,236,1690,179,930
ibirarema,1678,43,219,1008,89,320
ibitinga,15884,602,775,8905,409,5194
ibiuna,16247,2008,3005,6513,325,4396
icem,2182,84,232,1318,57,490
iepe,1893,22,266,716,310,578
igaracu do tiete,7824,159,532,5495,199,1438
igarapava,8374,278,605,5625,274,1593
igarata,2464,309,433,902,110,711
iguape,5621,224,676,2249,461,2011
ilha comprida,1219,79,159,447,165,369
ilha solteira,7249,185,599,4509,652,1304
ilhabela,6935,1092,1482,2131,377,1853
indaiatuba,47677,2153,3039,29540,2153,10792
indiana,1473,47,133,675,152,465
indiapora,1363,65,173,413,89,623
inubia paulista,1236,35,85,757,111,249
ipaussu,4226,210,402,2803,101,710
ipero,4369,224,373,2581,217,974
ipeuna,1487,58,80,1001,14,334
ipigua,1021,16,105,581,20,299
iporanga,956,22,112,402,139,281
ipua,3959,135,372,2463,85,904
iracemapolis,4986,93,385,3623,132,753
irapua,2239,29,161,1031,10,1008
irapuru,1940,39,116,599,297,890
itabera,4278,66,465,1458,318,1971
itai,6166,297,480,2736,274,2378
itajobi,4419,138,348,2039,207,1687
itaju,982,10,57,506,31,377
itanhaem,17318,1049,2619,7158,1083,5409
itaoca,425,0,36,129,54,205
itapecerica da serra,38487,2587,4112,21845,1618,8325
itapetininga,36919,2144,2730,19458,3475,9113
itapeva,20441,834,1785,10698,1242,5883
itapevi,44300,2184,3533,25804,3514,9265
itapira,21550,924,734,13716,1349,4827
itapirapua paulista,681,4,40,242,45,350
itapolis,11637,607,672,6165,461,3732
itaporanga,3553,76,420,838,314,1904
itapui,3853,143,217,2803,49,641
itapura,917,22,127,447,47,275
