city,total,regular,military_and_gov,irregular,employers,entrepreneur
adamantina,300,330,750,180,1500,350
adolfo,300,300,767,200,1500,350
aguai,309,345,500,200,2000,350
aguas da prata,326,330,570,200,1500,500
aguas de lindoia,400,400,480,300,1500,500
aguas de santa barbara,320,320,460,200,1000,320
aguas de sao pedro,500,500,575,250,2000,1200
agudos,320,350,700,200,1000,360
alambari,300,300,450,200,780,300
alfredo marcondes,300,300,798,160,1000,300
altair,300,291,800,180,5000,300
altinopolis,300,300,500,230,1500,500
alto alegre,275,290,650,151,500,300
aluminio,500,600,470,200,2500,500
alvares florence,280,290,900,200,1500,300
alvares machado,300,340,700,180,1000,350
alvaro de carvalho,151,215,700,27,250,250
alvinlandia,200,220,591,151,450,300
americana,500,500,830,300,2000,600
americo brasiliense,358,380,650,200,1500,400
americo de campos,250,290,400,180,1500,300
amparo,370,350,800,250,2000,500
analandia,350,325,450,180,1000,600
andradina,301,330,800,151,2000,400
angatuba,300,320,620,180,1300,300
anhembi,280,340,950,200,10000,450
anhumas,250,300,600,180,1000,300
aparecida,320,360,760,200,1200,400
aparecida d'oeste,235,250,589,151,1000,302
apiai,250,302,680,151,1500,240
aracariguama,390,400,580,250,450,500
aracatuba,380,380,900,200,2000,450
aracoiaba da serra,350,370,900,200,1000,500
aramina,302,360,800,160,1800,500
arandu,278,250,488,200,800,300
arapei,151,153,330,151,500,300
araraquara,450,450,950,250,1500,500
araras,450,450,600,250,1500,600
arco-iris,200,200,320,151,2000,200
arealva,300,325,704,250,1800,300
areias,200,280,900,160,350,400
areiopolis,280,300,400,180,2000,600
ariranha,300,302,420,151,1000,400
artur nogueira,360,360,400,250,2000,500
aruja,440,472,800,280,2200,500
aspasia,227,275,253,151,260,300
assis,370,370,700,200,1510,400
atibaia,400,400,980,280,2000,600
auriflama,265,288,779,180,1300,300
avai,300,302,375,200,1500,300
avanhandava,300,330,680,150,2500,300
avare,350,350,900,220,1500,400
bady bassitt,400,400,478,240,1000,500
balbinos,288,305,880,200,4000,300
balsamo,340,350,900,200,1000,500
bananal,222,226,780,151,1000,210
barao de antonina,200,400,450,151,3000,200
barbosa,250,269,430,180,800,350
bariri,327,320,950,240,1500,500
barra bonita,400,400,600,200,2000,600
barra do chapeu,151,250,600,151,600,100
barra do turvo,250,350,832,151,2000,200
barretos,350,350,780,206,1500,500
barrinha,350,380,500,170,2000,500
barueri,465,500,700,300,4500,500
bastos,280,260,1300,160,1100,450
batatais,360,370,800,200,1500,500
bauru,450,450,770,240,2000,500
bebedouro,340,350,425,200,1500,400
bento de abreu,283,300,800,151,900,400
bernardino de campos,250,280,800,151,1500,350
bertioga,400,400,800,300,1700,500
bilac,300,290,700,200,1000,300
birigui,300,300,600,240,1200,400
biritiba-mirim,300,302,680,200,1500,400
boa esperanca do sul,280,270,608,160,2000,400
bocaina,300,335,609,250,2000,480
bofete,300,302,900,200,1500,400
boituva,360,370,700,250,1200,500
bom jesus dos perdoes,360,360,700,300,2000,500
bom sucesso de itarare,260,283,445,150,900,300
bora,300,300,600,200,1200,400
boraceia,300,290,700,200,3000,400
borborema,280,300,600,200,1000,350
borebi,240,285,734,180,700,280
botucatu,400,415,970,200,1800,500
braganca paulista,400,400,890,300,2000,500
brauna,298,290,500,200,1000,300
brejo alegre,250,280,230,200,4000,300
brodowski,400,430,900,250,1000,600
brotas,350,330,969,250,2000,500
buri,290,284,800,200,1000,302
buritama,300,311,412,180,1500,350
buritizal,300,320,800,200,1000,350
cabralia paulista,280,285,490,180,1000,400
cabreuva,380,400,700,250,1200,500
cacapava,453,500,700,200,1800,500
cachoeira paulista,300,320,650,151,1200,370
caconde,250,300,850,200,1000,500
cafelandia,280,280,800,171,1500,400
caiabu,300,329,750,120,0,300
caieiras,450,500,740,300,1500,500
caiua,250,290,340,151,300,200
cajamar,420,460,525,250,2000,500
cajati,300,380,600,200,800,400
cajobi,280,285,700,160,1500,460
cajuru,320,320,900,230,2500,500
campina do monte alegre,240,280,800,160,1500,400
campinas,600,600,1000,300,2500,700
campo limpo paulista,450,500,625,270,2000,500
campos do jordao,400,400,590,300,2000,500
campos novos paulista,240,300,893,170,30000,300
cananeia,300,355,600,200,1000,300
canas,280,300,653,151,2500,300
candido mota,300,350,620,170,1500,500
candido rodrigues,300,302,650,200,500,300
canitar,250,268,183,151,2000,400
capao bonito,260,300,520,151,1000,320
capela do alto,300,315,560,200,1000,400
capivari,380,370,600,220,1500,500
caraguatatuba,380,400,700,300,1500,400
carapicuiba,450,500,650,300,1500,500
cardoso,250,300,700,160,3000,300
casa branca,360,340,700,151,1200,500
cassia dos coqueiros,250,250,680,180,2500,400
castilho,282,350,800,151,800,300
catanduva,400,400,600,232,2000,500
catigua,350,380,470,151,700,500
cedral,350,350,800,250,1500,400
cerqueira cesar,300,300,670,200,1000,400
cerquilho,400,400,760,250,2050,500
cesario lange,300,320,800,200,1000,400
charqueada,370,366,590,250,1000,500
chavantes,300,300,490,170,1600,400
clementina,250,300,700,151,1000,300
colina,300,300,474,151,3000,500
colombia,300,308,900,200,6000,400
conchal,300,300,460,200,1300,500
conchas,302,302,1000,200,1500,450
cordeiropolis,455,478,320,250,1500,600
coroados,260,260,495,200,900,350
coronel macedo,250,300,690,130,1200,310
corumbatai,327,350,600,200,1000,500
cosmopolis,450,500,700,230,1500,500
cosmorama,280,350,400,170,1200,300
cotia,450,470,650,300,2500,600
cravinhos,380,380,600,250,2000,500
cristais paulista,300,280,520,200,1000,450
cruzalia,300,300,486,151,2000,400
cruzeiro,350,400,900,151,1500,310
cubatao,400,450,800,250,1500,400
cunha,200,230,800,151,850,200
descalvado,366,361,800,219,1000,500
diadema,450,450,700,300,1500,500
dirce reis,240,336,426,150,370,300
divinolandia,300,325,700,200,800,400
dobrada,310,317,780,180,500,400
dois corregos,340,350,750,200,1000,500
dolcinopolis,240,270,260,150,2300,300
dourado,300,303,600,200,1500,480
dracena,315,350,800,170,1500,400
duartina,260,280,786,151,1500,400
dumont,450,420,700,240,1600,700
echapora,240,230,658,180,1000,400
eldorado,250,275,680,151,1500,300
elias fausto,321,350,300,250,1000,400
elisiario,321,350,500,160,800,350
embauba,240,250,265,150,1000,300
embu,400,430,500,300,1200,500
embu-guacu,400,450,730,300,1800,500
emilianopolis,230,300,302,150,200,350
engenheiro coelho,300,330,650,250,2000,500
espirito santo do pinhal,350,360,800,200,1100,500
espirito santo do turvo,300,340,616,200,2000,400
estiva gerbi,400,450,480,240,1200,500
estrela do norte,200,337,270,150,450,200
estrela d'oeste,300,330,700,170,1200,300
euclides da cunha paulista,223,280,450,150,600,200
fartura,250,300,500,151,1000,300
fernando prestes,271,300,700,170,1000,300
fernandopolis,350,372,1000,200,1500,450
fernao,210,228,401,150,750,300
ferraz de vasconcelos,400,414,700,300,1800,400
flora rica,251,281,800,151,900,291
floreal,300,321,500,190,1000,500
florida paulista,250,290,620,150,800,400
florinia,289,290,700,160,0,345
franca,350,350,812,240,1500,500
francisco morato,360,400,480,300,1000,350
franco da rocha,420,450,600,300,1500,500
gabriel monteiro,280,280,800,180,2000,310
galia,240,240,1060,151,1100,300
garca,300,300,600,180,1500,400
gastao vidigal,260,280,680,151,1499,350
gaviao peixoto,300,300,220,200,2000,500
general salgado,300,320,500,151,1500,400
getulina,280,280,800,140,1000,400
glicerio,260,280,600,180,1200,350
guaicara,300,300,506,160,2500,340
guaimbe,250,250,579,170,1000,400
guaira,350,380,770,180,2000,450
guapiacu,350,350,480,250,800,500
guapiara,200,314,750,150,1000,200
guara,300,350,800,170,2000,450
guaracai,280,290,800,180,1500,350
guaraci,300,300,600,151,1000,400
guarani d'oeste,260,300,280,151,1500,350
guaranta,230,250,480,160,1000,290
guararapes,300,336,700,151,1000,400
guararema,310,349,800,200,2000,480
guaratingueta,400,400,960,200,2000,450
guarei,270,280,890,186,1500,300
guariba,337,357,900,170,1500,400
guaruja,400,480,700,300,2000,400
guarulhos,470,500,830,300,2000,500
guatapara,300,300,350,200,0,700
guzolandia,247,280,1100,150,0,300
herculandia,250,280,700,151,2000,420
holambra,330,300,400,250,3000,700
hortolandia,400,450,700,300,2000,500
iacanga,300,311,700,200,1000,400
iacri,270,300,550,160,2000,380
iaras,302,320,470,230,600,400
ibate,360,380,850,226,1000,400
ibira,280,296,640,200,1000,500
ibirarema,300,300,600,160,1500,450
ibitinga,325,350,700,250,1200,400
ibiuna,300,310,712,200,2000,400
icem,296,320,450,150,1000,300
iepe,240,259,480,151,1000,300
igaracu do tiete,320,350,530,160,1200,500
igarapava,340,350,900,151,2000,400
igarata,300,300,800,200,2000,400
iguape,300,325,885,170,2006,300
ilha comprida,350,350,850,260,0,400
ilha solteira,400,400,730,160,1200,350
ilhabela,350,400,700,260,2000,400
indaiatuba,450,450,600,300,2000,500
indiana,280,300,760,160,2000,350
indiapora,218,290,800,150,5000,450
inubia paulista,300,300,470,151,1000,350
ipaussu,300,320,870,160,1000,450
ipero,350,370,600,250,1500,400
ipeuna,390,400,600,220,600,500
ipigua,340,350,600,250,500,500
iporanga,248,300,700,151,1000,200
ipua,330,372,900,200,2000,550
iracemapolis,400,408,650,200,2000,500
irapua,264,300,417,200,1000,400
irapuru,210,230,414,160,1000,300
itabera,210,280,650,150,1000,300
itai,300,345,557,151,800,320
itajobi,300,320,600,200,1500,400
itaju,280,300,650,170,151,450
itanhaem,330,360,800,220,1000,400
itaoca,161,360,560,65,0,200
itapecerica da serra,400,400,700,300,2000,500
itapetininga,320,350,800,180,1500,400
itapeva,300,348,740,151,1500,300
itapevi,400,400,520,300,2000,400
itapira,380,390,450,240,1500,500
itapirapua paulista,180,270,958,150,0,200
itapolis,300,300,700,200,1500,400
itaporanga,200,290,500,150,2000,300
itapui,330,340,400,200,1500,500
itapura,262,300,650,151,0,340
itaquaquecetuba,400,400,585,300,1200,355
itarare,260,300,480,151,1500,300
itariri,262,300,460,151,1500,300
itatiba,400,420,700,250,2000,500
itatinga,300,320,500,160,1500,500
itirapina,300,300,900,120,2000,600
itirapua,255,280,760,200,1000,400
itobi,250,300,660,200,1200,600
itu,400,405,800,270,2000,600
itupeva,400,400,1000,250,2500,500
ituverava,302,320,850,180,1500,500
jaborandi,280,300,350,151,800,600
jaboticabal,400,413,800,200,1800,500
jacarei,450,500,700,250,1800,500
jaci,325,329,800,250,1000,500
jacupiranga,300,320,700,180,1800,400
jaguariuna,400,417,400,300,1500,700
jales,340,360,700,200,1200,400
jambeiro,300,300,700,200,1000,400
jandira,420,470,555,300,1600,415
jardinopolis,350,390,450,200,1500,500
jarinu,300,350,790,220,1500,500
jau,400,400,700,250,1600,500
jeriquara,212,212,500,200,1000,400
joanopolis,300,300,830,200,1300,400
joao ramalho,240,250,580,151,2800,300
jose bonifacio,315,330,640,200,2000,400
julio mesquita,223,220,400,160,4000,400
jumirim,380,400,600,270,3000,400
jundiai,517,540,900,300,2000,700
junqueiropolis,280,316,800,151,1600,300
juquia,300,320,750,160,2000,300
juquitiba,300,302,270,200,2000,400
lagoinha,220,300,933,151,800,200
laranjal paulista,370,400,600,240,2200,400
lavinia,276,300,800,151,1500,300
lavrinhas,300,300,770,151,1200,300
leme,350,350,600,200,1500,500
lencois paulista,400,400,700,180,1000,500
limeira,400,420,800,250,2000,500
lindoia,375,378,400,250,1000,500
lins,360,350,700,178,1990,450
lorena,370,400,850,200,1500,400
lourdes,210,240,340,150,1000,280
louveira,400,400,590,300,1500,500
lucelia,270,300,800,151,1000,300
lucianopolis,240,240,1611,180,500,300
luis antonio,450,500,151,151,2400,500
luiziania,240,300,480,151,2000,400
lupercio,213,240,659,160,1500,350
lutecia,300,300,740,160,1500,300
macatuba,300,330,750,180,1000,500
macaubal,275,305,700,200,1500,400
macedonia,250,300,370,151,1000,300
magda,300,340,500,200,1500,400
mairinque,400,420,630,250,2000,500
mairipora,400,400,780,280,3000,500
manduri,294,300,600,180,1000,350
maraba paulista,215,260,620,151,1500,180
maracai,330,360,790,151,1500,350
marapoama,300,370,400,200,1400,300
mariapolis,280,300,700,125,600,151
marilia,400,400,750,240,2000,500
marinopolis,200,300,384,150,500,300
martinopolis,250,300,606,150,1640,300
matao,400,400,700,200,1500,500
maua,450,500,680,300,1500,500
mendonca,300,384,700,220,6800,400
meridiano,300,320,890,200,800,400
mesopolis,220,252,300,151,0,320
