city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
santa clara do sul,4.4,0.56,21.11,3.34,2.35,0.0
santa maria do herval,1.43,0.9,5.09,2.4,0.2,0.0
santana da boa vista,17.93,12.15,43.69,40.15,9.96,7.92
sao jose do ouro,9.97,3.73,24.92,8.16,2.8,1.17
sao martinho,9.18,3.69,41.22,13.23,4.9,0.62
sao miguel das missoes,16.38,12.94,36.22,17.31,7.15,2.97
sao nicolau,28.15,14.95,9.94,4.9,3.08,0.77
sao paulo das missoes,7.64,3.3,30.89,4.67,4.62,0.27
sao vicente do sul,10.95,5.38,23.17,12.37,2.66,1.08
segredo,24.23,8.53,72.58,40.65,18.88,4.9
sentinela do sul,12.09,7.59,47.75,21.95,7.58,2.44
sertao,7.66,7.22,48.05,28.89,5.11,3.61
sertao santana,11.18,6.68,52.11,11.93,6.75,1.67
tavares,17.14,10.81,15.4,7.51,3.9,1.5
terra de areia,10.67,7.0,24.32,1.98,5.25,0.13
tiradentes do sul,16.3,10.48,78.4,43.1,12.77,3.57
trindade do sul,21.11,10.17,54.76,11.35,14.6,1.89
tucunduva,7.23,7.67,15.08,0.61,1.45,0.0
tuparendi,5.54,4.71,24.87,5.71,1.68,0.0
vale real,1.43,1.42,0.48,1.14,0,0.0
viadutos,9.65,6.96,53.28,11.72,3.47,0.37
vicente dutra,14.45,10.33,65.55,16.9,10.95,3.29
de 10.001 a 20.000 ,12.41,6.93,21.92,10.25,4.42,1.46
agudo,13.04,9.69,32.77,19.57,6.4,2.8
antonio prado,8,4.8,15.27,1.87,1.96,0.0
arroio do meio,4.22,2.42,7.95,0.27,0.49,0.18
arroio do tigre,18.28,9.55,53.54,25.27,11.27,3.82
arroio dos ratos,12.7,7.39,4.55,2.92,1.37,0.29
arroio grande,16.14,8.46,12.36,8.16,3.12,0.75
arvorezinha,19.89,6.7,47.44,20.83,10.98,2.28
balneario pinhal,13.79,7.09,0.7,0.47,0,0.35
barra do ribeiro,10.2,9.46,11.74,6.61,0.94,2.75
barros cassal,25.48,13.98,72.11,58.27,19.55,9.04
bom jesus,13.16,11.53,22.74,8.03,3.71,1.13
bom principio,1.74,1.01,0.87,0.0,0.11,0.0
bom retiro do sul,7.47,1.35,9.54,0.37,1.47,0.0
cacequi,17.45,9.37,13.33,10.6,2.83,1.04
capela de santana,12.78,5.94,3.34,0.89,0.92,0.0
cerro grande do sul,19.91,10.15,54.95,36.92,14.13,5.23
cerro largo,8.7,6.9,4.44,0.89,0.36,0.22
cidreira,6.87,4.81,0.86,0.55,0.29,0.0
crissiumal,7.64,4.02,50.15,13.85,4.54,0.34
cruzeiro do sul,6.96,2.92,15.18,0.89,1.84,0.38
dom feliciano,23.85,15.75,79.31,47.4,19.45,9.55
espumoso,13.09,5.52,36.64,5.43,5.44,0.64
feliz,2.29,0.42,3.26,0.57,0.11,0.0
fontoura xavier,30.86,17.8,68.51,48.43,23.64,10.65
getulio vargas,8.86,3.93,9.13,6.1,0.72,0.2
girua,13.13,6.89,20.35,15.3,2.22,1.43
horizontina,6.55,3.02,13.36,2.01,1.04,0.08
ibiruba,6.79,2.63,24.47,10.95,1.32,0.08
imbe,5.53,3.4,0.69,0.58,0.08,0.0
ivoti,3.42,2.03,0.66,0.07,0.44,0.0
jaguari,8.72,3.09,42.55,35.91,3.75,1.2
julio de castilhos,11.29,5.64,17.7,8.52,2.11,0.81
mostardas,14.46,10.21,11.44,3.4,3.49,1.32
nao-me-toque,8.64,2.42,8.41,1.02,0.08,0.0
nonoai,26.64,12.09,36.95,8.68,15,0.93
nova hartz,6.72,2.26,1.37,0.0,0.34,0.0
nova petropolis,3.43,2.06,6.71,0.99,0.78,0.41
palmares do sul,13.82,5.97,8.82,2.44,2.27,0.27
pinheiro machado,17.25,8.04,21.58,12.46,5.18,1.47
piratini,15.31,8.21,45.89,24.93,9.7,3.77
planalto,25.29,13.39,41.79,24.22,15.26,5.27
porto xavier,15.72,8.51,22.32,3.75,6.59,0.29
redentora,38.16,24.68,64.24,19.66,30.18,5.1
restinga seca,14.79,8.27,10.87,6.0,3.16,0.49
roca sales,8.26,2.18,6.34,1.31,0.59,0.0
rolante,10.86,6.44,5.81,3.29,1.68,0.48
ronda alta,14.63,10.82,44.22,6.52,8.17,0.83
salto do jacui,15.93,8.58,13.26,10.75,2.88,0.89
sananduva,9.12,5.19,27.12,6.36,3.18,0.64
santo antonio das missoes,16.81,11.6,30.15,15.62,6.31,1.3
santo augusto,12.14,7.9,12.57,6.44,1.58,0.49
santo cristo,3.04,2.65,17.88,3.49,0.31,0.12
sao francisco de assis,13.34,9.22,28.59,17.2,3.67,1.65
sao pedro do sul,8.57,3.59,22.33,17.53,1.75,0.8
seberi,12.88,7.08,53.11,7.58,6.31,0.37
serafina correa,5.57,2.45,13.98,0.98,1.82,0.0
sinimbu,15.17,9.27,62.28,38.45,11.8,6.99
sobradinho,16.83,6.52,29.88,5.36,5.42,0.78
tapejara,7.78,2.43,20.25,0.49,2.1,0.0
tapera,8.09,4.89,9.79,2.63,1.3,0.0
tapes,14.43,7.74,8.39,5.18,1.74,0.88
tenente portela,24.96,15.99,44.45,19.07,16.5,4.54
tres cachoeiras,5.24,1.33,17.61,1.33,2.68,0.0
vale do sol,14.23,6.61,46.42,16.81,9.46,1.87
xangri-la,4.95,4.72,0.38,0.09,0,0.0
de 20.001 a 50.000 ,11.25,5.65,11.45,4.11,2.2,0.53
butia,18.19,8.38,1.94,0.06,0.74,0.0
cacapava do sul,16.7,7.03,22.76,12.42,5.86,1.46
candelaria,15.19,9.77,37.46,10.97,7.95,2.31
canela,9.21,4.46,1.75,0.53,0.47,0.09
capao da canoa,7.69,4.61,0.92,0.41,0.26,0.03
capao do leao,11.26,6.81,3.5,1.01,0.87,0.18
carlos barbosa,3.38,1.45,11.47,1.39,0.87,0.13
charqueadas,9.43,4.12,3.26,1.18,0.93,0.16
dois irmaos,3.71,1.75,0,0.0,0,0.0
dom pedrito,12.52,6.98,8.8,3.8,1.66,0.52
eldorado do sul,9.95,4.26,3.86,1.16,0.87,0.26
