city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
macambara,17.09,25.92,48.15,42.11,34.76,31.97
mampituba,0.88,19.84,51.43,76.11,47.69,4.05
marata,-,61.67,57.91,36.9,42.09,1.43
mariana pimentel,7.69,22.32,49.76,66.74,42.56,10.94
mariano moro,30.78,53.17,34.39,44.99,34.83,1.85
marques de souza,6.6,40.14,44.01,48.92,49.39,10.94
mato castelhano,-,27.86,19.05,65.42,80.95,6.72
mato leitao,0.21,75.38,85.95,24.47,13.84,0.15
mato queimado,-,16.45,-,82.1,-,1.45
maximiliano de almeida,31.47,38.58,43.36,29.88,25.17,31.54
miraguai,3.9,23.49,46.78,54.24,49.32,22.26
montauri,0.24,30.77,68.25,67.52,31.52,1.71
monte alegre dos campos,-,3.44,12.01,50.81,87.99,45.75
monte belo do sul,5.23,7.51,69.26,91.53,25.51,0.97
mormaco,-,23.32,11.32,73.61,88.68,3.07
morrinhos do sul,2.5,12.37,63.7,84.69,33.8,2.94
mucum,73.11,54.46,20.12,44.05,6.77,1.49
muitos capoes,0.11,6.9,35.52,71.2,64.37,21.91
muliterno,-,27.76,34.44,60.48,65.56,11.76
nicolau vergueiro,-,9.22,26.86,85.92,73.14,4.85
nova alvorada,0.28,5.81,57.18,89.91,42.54,4.28
nova araca,53.92,60.96,35.03,37.11,11.05,1.93
nova boa vista,8.12,24.59,84.39,73.46,7.48,1.95
nova brescia,24.42,16.95,28.85,77.9,46.73,5.14
nova candelaria,0.25,56.78,51.78,43.11,47.97,0.11
nova esperanca do sul,8.21,12.08,62.58,83.13,29.21,4.78
nova padua,21.97,49.45,33.11,48.49,44.92,2.06
nova ramada,-,2.59,24.28,78.56,75.72,18.85
nova roma do sul,38.11,35.65,55.39,57.61,6.5,6.74
novo barreiro,-,3.73,24.74,91.33,75.26,4.94
novo cabrais,-,36.13,31.55,59.27,68.45,4.6
novo machado,0.21,6.36,74.47,86.71,25.33,6.93
novo tiradentes,5.02,7.63,24.33,89.18,70.64,3.19
novo xingu,-,20.7,-,77.91,-,1.39
paim filho,10.35,26.47,44.9,66.64,44.75,6.89
pareci novo,1.63,50.81,92.47,48.68,5.9,0.51
paulo bento,-,17.74,-,59.94,-,22.32
pedras altas,-,35.22,-,41.42,-,23.35
pejucara,0.62,6.08,67.72,75.12,31.66,18.8
pinhal,0.3,50.73,77.61,48.9,22.09,0.37
pinhal da serra,-,2.82,-,81.48,-,15.7
pinhal grande,23.05,38.91,20.4,44.36,56.55,16.73
pinheirinho do vale,0.09,6.77,30.14,58.94,69.77,34.29
pirapo,10.17,27.96,83.35,69.75,6.47,2.29
poco das antas,23.29,92.61,68.48,7.39,8.23,-
pontao,-,6.51,39.2,74.49,60.8,19
ponte preta,-,16.67,29.53,74.73,70.47,8.61
porto maua,2.58,40.82,77.52,58.46,19.9,0.72
porto vera cruz,1.45,23.57,61.84,73.79,36.71,2.64
pouso novo,0.5,12.36,53.88,52.65,45.62,34.99
presidente lucena,75.65,68.27,23.14,31.35,1.21,0.38
protasio alves,19.25,49.28,24.6,48.64,56.15,2.07
putinga,23.32,40.81,31.69,44.28,44.99,14.91
quatro irmaos,-,44.48,-,38.18,-,17.34
quevedos,0.5,10.2,40.8,48.7,58.7,41.11
quinze de novembro,4.41,13.4,87.51,85.5,8.08,1.1
relvado,7.32,41.33,51.94,40.36,40.75,18.31
rio dos indios,-,0.77,18.17,43.59,81.83,55.64
riozinho,35.06,30.59,50.76,64.64,14.18,4.77
rolador,-,21.47,-,74.05,-,4.48
sagrada familia,-,9.85,26.56,81.48,73.44,8.68
saldanha marinho,0.42,6.64,67.26,87.39,32.32,5.97
salvador das missoes,9.51,39.57,88.51,60.2,1.98,0.22
santa cecilia do sul,-,9.21,-,80.83,-,9.96
santa margarida do sul,-,18.53,-,55.45,-,26.02
santa tereza,0.77,75.53,92.13,24.12,7.1,0.35
santo antonio do palma,0.18,16.79,28.85,81.53,70.97,1.68
santo antonio do planalto,0.17,11.96,59.38,81.7,40.45,6.34
santo expedito do sul,10.56,43.48,68.58,50.55,20.87,5.97
sao domingos do sul,3.23,51.53,56.07,47.52,40.7,0.95
sao joao da urtiga,22.62,30.19,18.57,56.88,58.82,12.94
sao joao do polesine,18.59,2.57,59.5,92.98,21.91,4.44
sao jorge,32.18,51.82,53.93,46.75,13.9,1.43
sao jose das missoes,-,2.21,29.79,86.93,70.21,10.85
sao jose do herval,19.04,4.37,20.78,76.02,60.17,19.61
sao jose do hortencio,71.13,83.8,27.93,15.83,0.94,0.37
sao jose do inhacora,0.15,66.8,82.82,33.07,17.03,0.13
sao jose do sul,-,53.65,-,44.92,-,1.43
sao jose dos ausentes,20.63,35.16,40.36,40.0,39.01,24.84
sao martinho da serra,0.2,0.89,18.55,55.74,81.25,43.37
sao pedro da serra,44.5,48.67,37.9,49.62,17.59,1.71
