city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
campinas do sul,7.94,4.72,1.39,1.62,5.14,2.76,25.78,12.33
campo novo,13.94,13.02,4.09,1.52,11.43,9.26,40.09,36.19
candido godoi,4.56,3.38,0.64,0.75,3.84,2.64,11.99,7.55
candiota,7.66,5.48,1.95,1.02,7.07,4.5,31.49,21.04
caraa,18.14,11.98,3.82,2.64,13.88,7.53,43.29,28.35
casca,6.62,3.88,1.13,0.23,3.99,1.94,24.02,13.09
catuipe,8.39,5.99,2.48,0.99,6.59,4.13,21.52,14.29
cerrito,16.43,12.08,2.18,1.5,13.57,8.24,39.69,29.01
chapada,6.04,4.28,1.49,0.61,5.11,3.22,15.27,10.52
chui,3.21,1.88,2.26,0.94,2.55,1.43,8.69,4.74
condor,7.18,5.4,1.53,0.82,6.97,4.27,16.76,14.12
constantina,10.21,8.26,2.95,0.88,8.07,5.84,29.28,23.31
coronel bicaco,15.03,11.28,4.76,1.17,12.9,9.14,40.27,28.62
cristal,14.51,9.5,3.17,1.74,12.74,7.13,36.31,24.95
doutor mauricio cardoso,7.41,6.29,1.53,1.72,6.23,4.4,17.48,13.72
entre-ijuis,8.51,6.09,2.13,0.31,6.83,4.13,23.7,16.31
erval grande,15.43,11.79,4.6,1.16,12.58,8.36,43.63,31.65
erval seco,14.43,11.64,4.02,3.27,12.56,9.3,37.88,27.09
estacao,4.73,3.48,1.04,1.42,3.41,2.14,15.05,9.72
faxinal do soturno,7.23,5.15,1.61,1.02,6.18,3.82,18.36,12.59
formigueiro,13.35,11.22,2.84,1.33,11.49,8.49,30.54,24.91
gaurama,6.56,4.07,1.26,1.28,4.19,2.7,19.98,9.57
general camara,11.97,9.55,3.04,2.54,10.78,7.58,26.02,20.29
glorinha,12.37,8.08,4.13,1.34,10.26,6.18,28.19,20.19
guarani das missoes,5.9,4.99,1.53,1.6,4.88,3.96,15.29,10.57
herval,12.08,7.89,3.72,1.42,10.98,5.76,25.84,18.31
hulha negra,12.3,8.69,2.83,1.38,11.19,6.47,34.29,29.07
ibiraiaras,6.64,5.98,1.67,1.81,5,3.49,23.3,18.03
independencia,8.72,7.95,1.51,1.8,7.22,5.08,22.88,19.87
ipe,10.44,6.3,1.74,0.81,6.78,3.08,30.52,18.65
irai,11.76,9.44,2.78,1.76,10.5,7.14,30.35,22.52
itaara,9.81,5.72,1.82,0.85,8.05,3.8,28.65,17.71
joia,7.73,6.26,1.71,1.66,6.1,4.75,24.91,16.31
lagoao,23.27,20.11,5.01,3.04,21.74,17.94,56.76,47.88
lavras do sul,12.16,9.18,3.05,1.56,10.27,6.78,29.4,23.17
liberato salzano,15.88,12.68,3.21,1.45,13.09,9.69,47.47,32.86
lindolfo collor,4.38,3.78,1.27,0.43,4.06,2.85,18.15,18.54
machadinho,13.37,10.55,2.01,0.99,10.21,6.9,41.3,28.53
manoel viana,11.42,9.77,2.16,1.99,10.06,7.29,30.98,25.33
maquine,11.85,7.64,4.78,1.21,9.25,5.82,29.14,17.96
