city,total,suitable,semi_suitable,inappropriate
acrelandia,1869,15,1216,638
assis brasil,783,53,542,188
brasileia,4069,230,2873,966
bujari,1355,64,791,500
capixaba,1248,0,758,490
cruzeiro do sul,13941,832,8558,4551
epitaciolandia,2739,227,1948,563
feijo,5125,24,2592,2509
jordao,716,8,150,557
mancio lima,2225,0,1171,1054
manoel urbano,1219,6,659,554
marechal thaumaturgo,1486,0,403,1083
placido de castro,3621,112,2625,884
porto acre,2781,36,1999,746
porto walter,1011,0,508,503
rio branco,64010,13008,47002,4000
rodrigues alves,1537,0,936,601
santa rosa do purus,325,0,94,231
sena madureira,6350,390,3824,2137
senador guiomard,4864,243,3556,1065
tarauaca,5103,131,2811,2161
xapuri,3016,442,1909,665
