city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
ceara,46.91,28.49,34.98,17.4,24.04,8.87
ate 5.000 ,63.9,34.56,53.83,22.41,37.63,11.9
granjeiro,62.63,41.36,81.84,30.91,55.26,17.05
guaramiranga,54.04,26.0,60.7,11.71,35.7,5.43
de 5.001 a 10.000 ,60.1,40.0,58.46,29.36,39.99,15.08
altaneira,61.03,35.51,43.23,6.05,30.06,2.23
antonina do norte,66.59,45.78,47.01,27.47,36.28,16.72
arneiroz,68.35,42.74,78.38,38.46,56.09,18.8
baixio,59.37,29.16,59.53,33.27,39.84,12.15
catunda,65.52,40.32,59.7,42.86,42.62,20.06
deputado irapuan pinheiro,62.36,36.68,74.68,26.91,50.94,13.59
erere,69.58,43.0,63.57,27.65,47.61,16.72
general sampaio,63.9,49.29,53.83,19.21,37.63,11.81
itaicaba,50.91,25.46,25.94,7.2,16.32,3.69
jati,52.94,34.9,51.26,29.77,33.73,12.61
moraujo,65.21,48.78,56.1,35.17,43.81,22.72
pacuja,59.29,36.81,45.98,27.29,33.99,13.19
palhano,53.19,33.68,45.97,26.14,28.04,10.53
penaforte,41.93,28.98,47.41,19.5,24.74,6.75
potiretama,62.52,41.14,66.13,44.36,48.59,21.11
sao joao do jaguaribe,47.24,33.2,34.68,3.3,19.47,1.65
senador sa,68.14,49.87,41.45,26.7,31.61,16.49
tarrafas,60.18,48.67,82.1,55.78,52.63,31.45
umari,60,49.85,64.29,40.98,43.16,24.01
de 10.001 a 20.000 ,62.41,40.82,58.02,31.96,40.99,16.54
abaiara,65.02,34.1,76.51,32.81,53.52,9.99
acarape,52.19,29.46,42.13,13.52,25.33,5.87
aiuaba,69.23,48.69,72.82,45.58,55.09,27.43
alcantaras,60.25,39.56,78.79,48.9,51.26,25.4
alto santo,60.42,45.28,68.95,34.13,47,19.78
apuiares,59.97,36.7,35.9,17.95,25.23,8.57
ararenda,63.64,47.5,67.69,20.02,45.37,12.66
aratuba,58.13,36.7,55.14,32.39,34.18,14.59
banabuiu,64.7,40.98,56.97,32.5,40.94,16.75
barreira,53.02,35.83,73.49,29.48,42.99,12.91
barroquinha,73.84,52.17,59.58,30.13,48.73,19.34
capistrano,60.48,42.76,63.14,39.41,43.57,19.94
carire,64.17,46.0,57.31,25.6,39.95,14.62
carius,59.06,40.65,66.24,36.07,42.47,19.16
carnaubal,60.92,39.29,45.18,29.95,33.77,16.13
catarina,60.45,38.9,61.61,49.79,44.06,24.14
chaval,65.72,49.72,76.66,27.16,57.17,17.87
choro,70.09,49.92,81.6,64.49,59.2,34.83
chorozinho,59.76,36.98,61.85,27.5,40.9,13.78
croata,68.78,45.85,60.62,5.78,46.6,4.06
farias brito,56.3,34.61,57.97,30.94,38.56,13.97
fortim,57.16,37.82,56.9,22.69,36.43,12.53
frecheirinha,69.29,46.34,52.81,29.07,43.66,18.5
graca,70.93,47.35,75.17,44.47,57.51,24.88
groairas,53.77,28.75,37.98,14.62,25.53,5.58
hidrolandia,58.32,41.09,63.1,31.89,42.5,16.82
ibaretama,66.9,50.98,79.3,64.54,56.17,34.23
ibicuitinga,55.84,39.1,49.05,22.96,33.51,11.43
icapui,55.18,36.0,15.16,6.71,10.32,3.7
ipaporanga,63.12,46.13,70.01,21.09,49.49,11.6
ipaumirim,51.79,37.58,45.31,33.3,29.28,14.91
iracema,56.84,35.32,31.67,17.5,23.84,10.12
itapiuna,61.35,44.28,46.76,43.43,32.34,23.44
itatira,67.67,50.02,78.36,47.88,55.62,27.25
jaguaretama,60.09,37.93,44.86,36.81,30.54,18.21
jaguaribara,59.4,39.79,56.05,11.26,38.1,7.37
jijoca de jericoacoara,62.4,34.5,66.7,30.29,47.96,15.14
madalena,61.22,39.99,64.74,32.96,43.98,17.33
