city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
brejo santo,27.83,56.7,36.84,26.3,35.33,17.0
campos sales,22.3,20.8,42.43,56.65,35.26,22.56
caridade,1.28,9.52,44.67,69.52,54.05,20.96
caririacu,3.45,5.19,45.13,70.65,51.42,24.16
cedro,0.28,7.82,49.16,65.72,50.56,26.46
coreau,4.67,14.7,43.72,53.25,51.61,32.05
cruz,1.46,3.72,39.23,68.2,59.3,28.08
eusebio,1.43,21.82,74.28,74.58,24.29,3.6
forquilha,32.81,62.34,36.59,31.09,30.61,6.58
guaiuba,5.57,16.04,56.64,71.24,37.79,12.72
guaraciaba do norte,2.92,6.78,37.58,67.16,59.5,26.06
ibiapina,0.33,15.66,39.33,54.62,60.34,29.72
independencia,27.32,27.68,12.22,30.64,60.46,41.68
ipu,2.06,6.26,49.58,71.18,48.36,22.56
ipueiras,5.35,16.98,32.58,67.85,62.07,15.17
iraucuba,24.65,33.67,30.77,42.3,44.59,24.02
itaitinga,41.94,5.36,51.95,92.34,6.11,2.3
itapage,12.96,25.14,54.71,55.69,32.34,19.17
itarema,2.27,6.94,29.44,50.81,68.29,42.25
jaguaribe,37.59,50.34,27.55,33.94,34.86,15.72
jaguaruana,2.92,10.41,55.65,74.75,41.43,14.84
jardim,20.29,31.44,16.67,20.23,63.04,48.33
jucas,8.74,25.52,45.35,49.45,45.91,25.03
lavras da mangabeira,3.95,23.67,48.94,44.56,47.11,31.77
marco,0.5,7.02,48.95,73.99,50.55,18.99
massape,2.16,35.62,52.4,45.81,45.44,18.57
mauriti,3.07,13.71,41.91,63.35,55.02,22.94
milagres,6.5,10.29,42.66,54.96,50.83,34.75
missao velha,1.57,8.84,41.25,66.0,57.18,25.16
mombaca,13.04,26.49,23.37,33.91,63.6,39.61
morrinhos,16.67,17.92,41.01,60.79,42.32,21.29
nova russas,3.19,20.15,68.32,66.71,28.49,13.14
novo oriente,0.23,20.17,39.7,54.54,60.06,25.29
ocara,-,5.75,18.09,57.47,81.91,36.78
oros,25.93,35.14,50.47,55.64,23.6,9.22
paracuru,8.83,13.31,50.06,71.42,41.11,15.27
paraipaba,34.6,22.83,42.96,42.91,22.44,34.26
parambu,5.95,24.49,32.09,40.33,61.96,35.18
pedra branca,23.19,33.66,25.02,39.85,51.79,26.49
pentecoste,15.38,23.4,49.64,57.1,34.99,19.5
redencao,8.3,12.87,40.72,62.72,50.98,24.42
santa quiteria,4.1,17.63,35.82,43.95,60.08,38.42
santana do acarau,21.05,30.06,27.94,32.33,51.01,37.61
sao benedito,1.58,23.78,43.06,50.93,55.36,25.29
sao goncalo do amarante,21.29,18.18,45.81,59.77,32.9,22.05
senador pompeu,12.51,29.8,44.16,47.2,43.33,23.0
tabuleiro do norte,5.81,15.77,55.23,65.63,38.96,18.61
tamboril,5.6,9.89,40.32,55.3,54.08,34.82
ubajara,0.67,7.43,49.42,65.76,49.91,26.81
varzea alegre,6.12,17.94,49.7,58.16,44.18,23.9
de 50.001 a 100.000 ,16.92,23.83,45.93,54.89,37.15,21.28
acarau,4.91,10.13,40.76,61.71,54.33,28.16
acopiara,9.82,18.56,35.01,40.41,55.16,41.04
aquiraz,6.03,12.02,62.51,68.61,31.46,19.37
aracati,1.16,4.08,67.63,77.92,31.21,18.0
barbalha,4.55,15.85,71.08,70.0,24.38,14.15
boa viagem,26.13,32.94,22.23,43.51,51.63,23.55
camocim,11.59,29.35,58.18,52.01,30.23,18.64
caninde,11.94,23.77,44.13,47.97,43.92,28.25
cascavel,0.74,9.55,52.52,61.32,46.74,29.13
crateus,34.66,45.15,27.45,30.9,37.9,23.96
granja,0.41,4.25,41.71,55.91,57.87,39.84
horizonte,0.05,10.35,65.78,83.92,34.17,5.73
ico,6.06,30.56,46.84,47.25,47.1,22.19
iguatu,10.91,26.13,66.73,63.45,22.36,10.43
limoeiro do norte,42.39,18.85,43.98,75.49,13.63,5.66
morada nova,10.47,7.79,49.44,71.44,40.09,20.77
pacajus,2.87,5.5,61.39,79.38,35.74,15.12
pacatuba,53.12,73.73,35.61,24.9,11.27,1.37
quixada,38.67,48.54,28.78,31.35,32.55,20.11
quixeramobim,22.63,37.66,30.8,42.45,46.58,19.89
russas,10.11,26.36,55.82,58.8,34.07,14.84
taua,9.16,28.21,41.99,51.35,48.85,20.44
tiangua,1.51,34.56,57.49,50.52,41,14.92
trairi,1.99,4.37,21.62,41.05,76.39,54.58
vicosa do ceara,0.89,6.11,31.99,43.42,67.12,50.46
de 100.001 a 500.000 ,41.34,50.75,47.29,41.71,11.38,7.54
caucaia,38.75,48.13,45.08,44.87,16.17,7.0
crato,31.68,42.38,47.23,47.59,21.08,10.03
itapipoca,7.6,30.85,38.28,33.81,54.11,35.34
juazeiro do norte,31.99,45.62,62,51.93,6.02,2.45
maracanau,50.23,67.07,45.21,32.37,4.56,0.56
maranguape,37.23,30.5,40.85,59.53,21.92,9.97
sobral,55.02,72.74,32.69,23.33,12.29,3.94
mais de 500.000 ,56.14,69.22,42.66,30.62,1.2,0.15
fortaleza,56.14,69.22,42.66,30.62,1.2,0.15
