city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
mato grosso do sul,17.11,9.33,17.31,10.46,5.41,2.0
ate 5.000 ,23.07,9.69,43.93,29.93,11.81,2.37
alcinopolis,22.43,8.75,43.02,28.25,7.32,3.25
corguinho,18.64,11.76,51.33,18.12,9.44,2.59
figueirao,-,10.29,-,47.43,-,4.04
jatei,24.5,10.34,57.62,44.83,17,2.65
novo horizonte do sul,24.54,9.74,48.94,34.68,11.28,1.66
rochedo,18.52,6.07,41.72,23.15,10.14,1.12
taquarussu,20.9,11.76,36.12,18.58,7.76,1.86
de 5.001 a 10.000 ,28.79,15.05,40.34,27.3,13.4,4.72
anaurilandia,23.17,12.98,31.55,41.8,6.18,4.51
angelica,17.99,11.08,31.62,12.75,5.14,0.95
antonio joao,36.85,20.88,19.62,28.41,9.36,12.22
bandeirantes,19.18,10.97,33.57,33.81,6.91,3.6
bodoquena,28.83,11.65,35.77,13.48,11.92,1.96
caracol,20.28,11.95,36.71,26.89,9.06,3.39
douradina,20.61,7.06,47.7,19.02,11.75,1.57
gloria de dourados,17.86,5.8,26.53,19.37,4.76,1.19
inocencia,17.76,9.08,47.15,39.43,7.61,4.02
japora,52.9,33.97,57.85,18.63,35.39,7.35
jaraguari,18.23,8.47,69.79,50.0,13.46,4.34
juti,34.56,22.41,40.03,38.13,18.61,12.04
laguna carapa,32.68,20.98,57.85,35.01,23.74,5.59
pedro gomes,29.5,16.3,27.7,23.98,9.1,4.39
rio negro,26.4,11.75,27.55,19.5,7.9,2.25
santa rita do pardo,28.14,10.68,47.67,39.55,13.72,4.96
selviria,21.3,8.55,32.01,22.27,6.75,1.19
vicentina,18.79,10.8,37.78,20.69,7.27,1.84
de 10.001 a 20.000 ,22.78,13.97,29.02,18.26,8.98,3.85
agua clara,20.89,11.12,38.1,25.61,8.41,3.19
aral moreira,35.96,23.93,41.54,28.73,16.33,8.61
bataguassu,20.76,8.51,22.72,9.98,6.55,1.48
bataypora,22.98,9.68,29.22,22.29,7.32,2.44
bonito,20.93,11.57,21.83,10.83,6.02,2.23
brasilandia,19.46,6.96,33.22,20.1,6.85,1.8
camapua,14.95,8.8,35.43,21.3,6.47,2.02
chapadao do sul,8.97,6.24,24.49,7.53,2.7,0.7
coronel sapucaia,43.28,28.25,41.82,11.64,27.83,4.33
costa rica,18.74,6.81,23.71,5.81,4.2,0.66
deodapolis,22.32,10.54,23.57,12.78,5.29,0.93
dois irmaos do buriti,28.28,11.73,60.59,13.89,17.31,2.58
eldorado,24.5,13.47,26.33,14.76,10.31,3.94
fatima do sul,15.85,8.2,15.05,7.91,2.87,1.01
guia lopes da laguna,26.18,15.46,21.47,9.11,6.76,1.94
iguatemi,22.99,14.37,25.31,20.98,6.53,4.53
itaquirai,27.14,16.24,54.88,43.25,16.85,8.55
ladario,14.92,10.92,9.24,3.58,3.11,0.87
mundo novo,23.23,13.68,11.81,8.04,5.17,1.55
nioaque,24.02,11.93,50.44,26.54,15.5,5.14
nova alvorada do sul,19.2,10.11,30.43,12.39,6.32,1.41
paranhos,40.35,26.96,41.55,60.87,22.82,19.27
porto murtinho,32.88,16.51,34.62,9.11,15.36,2.32
rio verde de mato grosso,21.02,12.89,18.46,14.64,3.99,2.22
sete quedas,33.25,26.02,21.49,17.57,9.49,6.02
sonora,25.42,14.82,14.44,8.17,3.25,1.52
tacuru,47.56,28.31,59.04,43.31,35.45,13.09
terenos,19.14,9.04,42.92,26.83,9.97,2.24
de 20.001 a 50.000 ,21.56,11.83,21.27,13.99,6.76,2.53
amambai,32.03,18.82,38.25,25.02,20.34,8.06
anastacio,21.89,12.72,25.79,10.53,7.91,1.79
aparecida do taboado,18.81,9.65,17.25,8.89,5.09,1.46
aquidauana,22.28,12.4,21.62,17.24,8.11,3.42
bela vista,23.39,16.1,23.49,19.57,8.23,6.26
caarapo,30.66,16.23,30.77,21.34,13.19,4.77
cassilandia,15.81,7.93,12.53,10.34,2.53,0.7
coxim,20.6,9.78,14.05,7.64,4,0.94
itapora,26.93,19.25,31.55,10.22,14.45,1.84
ivinhema,17.03,8.09,22.24,15.34,3.64,0.95
jardim,19.46,10.72,9.95,7.42,2.74,1.09
maracaju,18.85,9.58,19.22,9.38,5.39,1.56
miranda,27.55,17.58,20.5,16.39,5.48,4.38
navirai,20.99,9.77,11.69,6.49,3.17,0.81
nova andradina,14.34,8.93,13.62,11.47,2.21,1.46
paranaiba,19.26,10.11,20.87,11.16,5.25,1.05
ribas do rio pardo,21.54,11.44,43.52,22.55,8.72,2.42
rio brilhante,21.38,10.01,22.8,12.0,5.81,1.65
sao gabriel do oeste,13.38,5.79,20.92,12.55,2.4,0.51
sidrolandia,16.69,9.49,31.57,18.76,6.07,2.37
de 50.001 a 100.000 ,16.19,13.32,13.73,17.4,4.88,3.79
ponta pora,17.7,13.32,21.72,17.4,7.9,3.79
de 100.001 a 500.000 ,12.32,7.3,11.94,5.68,3.03,1.27
corumba,16.74,9.97,11.6,9.1,5,2.91
dourados,12.32,6.27,11.94,5.52,3.03,0.84
tres lagoas,13.93,6.29,9.6,2.08,1.92,0.25
mais de 500.000 ,8.38,3.91,2.1,0.64,0.48,0.09
campo grande,8.38,3.91,2.1,0.64,0.48,0.09
