city,total,married,separated,divorced,widow,single
taboleiro grande,1636,711,38,0,81,807
taipu,8702,2577,88,34,370,5633
tangara,9313,3281,43,18,363,5608
tenente ananias,7328,3263,99,41,237,3688
tenente laurentino cruz,3477,1210,18,6,99,2144
tibau,2551,1016,38,30,84,1383
tibau do sul,5960,1663,69,61,258,3910
timbauba dos batistas,1833,877,4,5,105,842
touros,20924,7043,185,175,614,12908
triunfo potiguar,2887,703,12,9,85,2077
umarizal,8923,3684,75,71,408,4685
upanema,8736,3284,108,39,309,4995
varzea,6508,2292,83,51,358,3724
venha-ver,2573,1153,64,4,75,1277
vera cruz,6570,1941,25,29,180,4395
vicosa,1197,552,10,3,38,594
vila flor,1838,519,6,21,55,1236
