city,total,main_regular,main_irregular,other_regular,other_irregular
divinopolis de goias,1620.43857454,623.10771015,997.33086439,623.10771015,997.33086439
doverlandia,3939.20147295,1497.77162842,2441.42984453,1501.81692414,2437.38454882
edealina,1934.73096773,703.12548775,1231.60547998,703.12548775,1231.60547998
edeia,6026.04544059,2945.76440805,3080.28103254,2961.0513417,3064.9940989
estrela do norte,1689.278902,844.10331047,845.17559153,844.10331047,845.17559153
faina,3381.74797494,1047.33637111,2334.41160383,1053.01445757,2328.73351737
fazenda nova,2898.34527629,1236.00344836,1662.34182793,1236.00344836,1662.34182793
firminopolis,5103.16314104,2304.71493653,2798.44820451,2304.71493653,2798.44820451
flores de goias,3912.22956398,1189.7174093,2722.51215468,1207.04643722,2705.18312677
formosa,48529.6750657,25625.18622926,22904.48883644,25645.3479505,22884.32711518
formoso,1980.2141054,728.7957384,1251.418367,741.44820039,1238.76590501
gameleira de goias,1734.47596958,584.7538889,1149.72208068,587.93322255,1146.54274703
goianapolis,4852.18424432,1646.79587913,3205.38836519,1670.8584802,3181.32576411
goiandira,2386.41410079,1424.55053706,961.86356373,1427.8480765,958.56602429
goianesia,30457.36764928,18774.80269471,11682.56495457,18861.18518883,11596.18246044
goiania,708550.2825071,458027.96068498,250522.32182212,459312.99412254,249237.28838455
goianira,16564.68273034,10036.59910437,6528.08362597,10036.59910437,6528.08362597
goias,11560.86439312,5462.70319314,6098.16119998,5482.57146327,6078.29292986
goiatuba,16563.79827438,8397.56051102,8166.23776336,8397.56051102,8166.23776336
gouvelandia,2367.59624015,1269.09747195,1098.4987682,1269.09747195,1098.4987682
guapo,6705.37548263,3052.01575595,3653.35972668,3058.60012726,3646.77535537
guaraita,1076.33928308,444.41813453,631.92114855,446.53459598,629.80468709
guarani de goias,1457.03046668,488.16090842,968.86955826,488.16090842,968.86955826
guarinos,1045.76723934,293.89497116,751.87226818,295.9502933,749.81694605
heitorai,1590.43345996,579.04526108,1011.38819888,579.04526108,1011.38819888
hidrolandia,8697.23923426,4699.55457802,3997.68465624,4708.45792445,3988.78130982
hidrolina,1798.3513605,624.59539555,1173.75596495,627.84647612,1170.50488437
iaciara,4688.80021903,1687.43551136,3001.36470767,1687.43551136,3001.36470767
inaciolandia,2616.3559314,1535.83889777,1080.51703363,1535.83889777,1080.51703363
indiara,6210.02389487,3491.8647058,2718.15918907,3506.80174267,2703.2221522
inhumas,24822.49351762,12968.91814089,11853.57537673,12979.60477884,11842.88873878
ipameri,11201.54990024,6105.40797422,5096.14192602,6105.40797422,5096.14192602
ipiranga de goias,1473.51798957,557.11342042,916.40456915,560.00095504,913.51703453
ipora,15674.34121015,6548.83688169,9125.50432846,6600.68777147,9073.65343867
israelandia,1338.41469711,587.84695391,750.5677432,587.84695391,750.5677432
itaberai,18164.92034385,9075.13410153,9089.78624232,9075.13410153,9089.78624232
itaguari,2523.60218858,724.15535801,1799.44683057,730.52385593,1793.07833264
itaguaru,2651.33491081,890.88743716,1760.44747365,893.36736022,1757.96755059
itaja,2554.10441785,1246.64042111,1307.46399674,1249.82383873,1304.28057912
itapaci,8619.25847581,4892.7312654,3726.52721041,4897.32891972,3721.92955609
itapirapua,3663.57247426,1619.1927774,2044.37969686,1621.88879172,2041.68368255
itapuranga,12942.74245475,5571.44659922,7371.29585553,5589.94351249,7352.79894226
itaruma,3420.45110078,1710.81533234,1709.63576844,1714.14342247,1706.3076783
itaucu,4531.93842753,2118.0871688,2413.85125873,2118.0871688,2413.85125873
itumbiara,47143.0210485,31204.62654714,15938.39450136,31296.5828248,15846.43822373
ivolandia,1195.30883463,425.1222826,770.18655203,425.1222826,770.18655203
jandaia,3006.44143862,1205.62676799,1800.81467063,1220.71473093,1785.7267077
jaragua,21639.86409595,7936.58721658,13703.27687937,7959.78064504,13680.08345091
jatai,44846.10422097,26540.29989506,18305.80432591,26603.19143652,18242.91278445
jaupaci,1396.99925027,569.81971641,827.17953386,569.81971641,827.17953386
jesupolis,985.4480754,344.07487177,641.37320363,344.07487177,641.37320363
joviania,3678.47084257,1845.71489316,1832.75594941,1845.71489316,1832.75594941
jussara,9479.38572582,4170.38352967,5309.00219615,4186.61106289,5292.77466294
lagoa santa,634.65654494,301.23330889,333.42323605,309.15625386,325.50029107
leopoldo de bulhoes,3664.41018818,1649.89955977,2014.51062841,1654.17058247,2010.23960571
luziania,77240.1626226,47673.39882316,29566.76379944,47696.69255762,29543.47006498
mairipotaba,1058.63903308,374.58442083,684.05461225,374.58442083,684.05461225
mambai,2407.94607566,1159.95460985,1247.99146581,1162.89928252,1245.04679314
mara rosa,5109.96984233,1912.66295012,3197.30689221,1917.45211843,3192.5177239
marzagao,943.91412827,527.4660108,416.44811747,527.4660108,416.44811747
matrincha,2131.65954698,889.11508025,1242.54446673,889.11508025,1242.54446673
maurilandia,5357.07074897,3690.79323483,1666.27751414,3690.79323483,1666.27751414
mimoso de goias,1022.44230847,441.76813991,580.67416856,441.76813991,580.67416856
minacu,12765.43411409,6413.41322729,6352.0208868,6413.41322729,6352.0208868
mineiros,27223.38874242,17746.7904684,9476.59827402,17773.97017916,9449.41856326
moipora,768.63831885,379.03605351,389.60226534,382.81057769,385.82774114
monte alegre de goias,2833.59495393,723.15099001,2110.44396392,723.15099001,2110.44396392
montes claros de goias,4403.79311789,1909.63643047,2494.15668742,1920.88160921,2482.91150868
