city,total,suitable,semi_suitable,inappropriate
serra redonda,2014,339,1333,342
serraria,1540,61,1104,375
sertaozinho,915,86,750,79
sobrado,1644,0,1186,459
solanea,7502,472,5998,1032
soledade,2964,686,1993,284
sossego,649,0,548,101
sousa,15328,6080,8259,989
sume,4207,198,3704,305
taperoa,3267,1356,1458,453
tavares,3070,258,2272,540
teixeira,2911,52,2325,534
tenorio,554,0,377,177
triunfo,2144,67,1631,445
uirauna,3407,843,2121,442
umbuzeiro,2133,192,1456,486
varzea,549,222,266,61
vieiropolis,1133,6,856,271
vista serrana,682,33,419,231
zabele,505,145,324,36
