city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
brotas de macaubas,12.82,21.79,50.15,26.91,37.03,51.3
buerarema,48.84,58.74,31.4,27.75,19.76,13.52
buritirama,1.16,1.63,34.84,46.53,64,51.83
caatiba,28.23,57.05,8.13,8.76,63.64,34.2
cabaceiras do paraguacu,1.21,4.01,28.39,42.66,70.4,53.34
caem,7.48,6.57,35.3,61.6,57.22,31.83
caetanos,0.31,1.84,19.33,29.03,80.36,69.14
cafarnaum,0.93,3.57,61.07,78.19,38,18.25
cairu,27.17,41.87,57.03,56.46,15.8,1.67
caldeirao grande,28.78,7.21,32.89,68.65,38.33,24.14
candiba,0.41,0.44,64.34,72.05,35.25,27.51
canudos,3.34,14.75,53.48,53.63,43.19,31.62
capela do alto alegre,21.8,30.01,39.54,51.32,38.66,18.67
caraibas,0.14,3.65,11.27,29.89,88.59,66.46
central,0.35,6.03,64.46,82.32,35.19,11.64
chorrocho,0.09,24.94,45.62,29.21,54.29,45.86
cipo,0.06,5.75,73.19,75.7,26.75,18.55
cocos,0.22,0.43,49.18,59.69,50.6,39.88
conceicao do almeida,2.91,19.33,40.38,47.75,56.71,32.92
condeuba,0.95,5.17,39.44,60.7,59.61,34.13
coribe,0.71,1.21,63.07,79.82,36.22,18.97
coronel joao sa,4.58,26.73,30.04,30.77,65.38,42.5
cotegipe,0.11,0.64,55.86,63.39,44.03,35.96
cristopolis,0.32,4.7,65.58,80.59,34.1,14.72
dario meira,19.15,38.54,28.33,31.17,52.52,30.29
dom basilio,0.13,0.07,48.95,59.31,50.92,40.63
erico cardoso,1.03,0.26,58.53,77.15,40.44,22.59
fatima,17.89,37.78,30.08,44.33,52.02,17.89
filadelfia,1,8.5,45.94,72.35,53.06,19.15
floresta azul,51.27,67.43,23.82,17.19,24.91,15.38
gentio do ouro,0.17,0.17,73.26,77.45,26.57,22.38
gloria,12.2,14.55,46.76,47.29,41.05,38.16
governador mangabeira,0.7,5.74,39.65,50.96,59.65,43.3
guajeru,0.15,0.49,18.04,47.88,81.81,51.63
heliopolis,0.37,6.45,63.41,81.01,36.22,12.54
ibiassuce,0.21,2.22,55.68,86.28,44.11,11.51
ibicoara,14.25,16.61,31.44,67.8,54.31,15.59
ibicui,47.83,56.05,25.84,20.4,26.33,23.56
ibipeba,0.4,4.53,77.84,82.23,21.76,13.24
ibipitanga,0.03,1,34.43,54.56,65.54,44.44
ibirataia,43.95,66.37,27.88,19.03,28.17,14.6
ibitiara,6.08,11.61,41.78,59.07,52.14,29.32
ibitita,0.14,1.23,76.03,92.41,23.83,6.36
igapora,15.86,19.41,49.86,48.32,34.28,32.27
igrapiuna,14.91,15.45,17.14,38.15,67.95,46.4
ipecaeta,0.1,0.99,28.83,57.04,71.06,41.97
iramaia,3.08,1.17,42.87,62.03,54.05,36.8
itaete,10.47,7.61,49.8,73.72,39.74,18.67
itagi,42.24,50.88,26.41,31.08,31.35,18.04
itagiba,36.63,60.62,21.35,16.87,42.03,22.5
itaguacu da bahia,-,0.77,57.01,81.41,42.99,17.82
itape,32.92,54.56,41.82,29.38,25.27,16.06
itapebi,3.96,3.27,71.12,80.17,24.92,16.56
itapitanga,51.67,74.24,27.24,9.12,21.09,16.64
