city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
bahia,41,24.84,30.43,16.48,19.55,7.8
ate 5.000 ,49.12,35.85,49.91,31.68,28.35,15.0
aiquara,55.39,31.74,46.63,27.17,27.78,10.96
catolandia,61.36,39.92,39.2,25.0,26.14,12.5
contendas do sincora,44.42,37.41,26.56,27.63,15.18,12.22
dom macedo costa,43.14,33.33,70.87,45.21,30.53,17.82
gaviao,42.06,35.65,51.39,30.14,28.77,13.91
ibiquera,56.15,41.31,59.08,46.42,40,24.34
lafaiete coutinho,48.89,30.07,48.61,17.57,28.89,8.45
lajedao,47.22,24.56,37.5,8.77,17.5,2.34
lajedinho,49.83,45.78,60.17,48.34,33.62,27.11
de 5.001 a 10.000 ,51.13,34.06,43.03,25.53,26.44,11.55
abaira,30.91,22.78,10.83,10.68,3.42,2.85
almadina,54.01,44.81,31.18,14.81,18.37,6.11
apuarema,60.28,40.14,49.08,25.34,33.95,11.64
aratuipe,58.47,34.18,52.16,32.78,37.04,16.39
barra do rocha,67.75,38.18,64.9,27.88,48.97,14.09
barro preto,52.96,38.4,36.5,24.3,23.05,13.36
canapolis,55.43,38.86,38.05,16.48,26.52,9.05
candeal,53.66,35.21,60.55,51.23,39.36,21.36
cardeal da silva,54.47,33.47,37.09,26.19,26.55,14.26
caturama,51.13,30.96,57.21,39.89,32.78,14.09
cordeiros,57.92,33.56,45.21,26.64,29.9,11.25
cravolandia,54.82,36.25,38.39,20.21,26.96,12.08
elisio medrado,44.65,25.65,36.23,14.13,18.98,4.92
feira da mata,43.93,28.41,48.58,35.06,22.22,10.33
firmino alves,54.95,27.68,19.79,6.26,10.6,2.02
gongogi,56.78,42.93,39.16,24.35,26.81,12.96
ibirapua,44.44,27.19,42.12,26.13,18.48,8.49
ichu,32.32,17.91,31.87,23.36,15.63,4.99
ipupiara,25.22,16.21,18.42,15.02,5.8,2.24
irajuba,53.2,36.19,52.84,34.76,30.59,13.59
itagimirim,52.23,33.58,16.21,12.09,11.86,5.67
itaju do colonia,54.73,37.44,35.13,21.95,23.16,9.15
itamari,57.2,40.34,67.54,17.84,44.93,7.63
itanagra,55.63,37.11,54.85,31.32,38.25,19.61
itaquara,58.95,46.31,36.13,18.68,20.42,12.24
jaborandi,58.43,23.0,55.51,21.71,38.74,5.86
jussari,45.5,41.83,21.53,18.17,13.98,9.5
jussiape,39.74,27.32,33.12,12.39,18.18,5.46
lajedo do tabocal,52.95,35.26,27.85,13.29,15.24,5.53
lamarao,61.39,51.1,78.68,64.69,52.83,36.84
macurure,48.62,39.35,63.84,46.8,34.08,23.4
maetinga,66.78,43.19,81.83,46.64,58.58,27.04
maiquinique,48.9,30.73,22.8,20.76,12.78,8.26
malhada de pedras,51.96,29.07,74.46,48.31,41.55,17.98
morpara,51.57,31.43,26.67,26.62,16.14,10.26
muniz ferreira,52.04,27.73,58.37,24.87,35.7,11.76
nova fatima,41.03,22.22,36.86,8.75,20.15,3.54
nova ibia,58.38,37.94,61.2,57.79,40.68,25.0
nova itarana,55.9,41.54,54.5,12.85,36.9,7.08
nova redencao,57.46,31.98,43.69,16.62,29.51,8.94
ouricangas,59.25,35.3,46.2,6.2,32.8,2.95
palmeiras,36.83,21.24,38.1,12.58,19.78,4.83
pedrao,43.76,30.24,76.58,60.81,35.79,21.62
pirai do norte,58.96,37.39,80.15,44.58,49.73,19.89
planaltino,64.9,44.12,69.55,52.16,48.27,24.94
potiragua,67.08,30.7,36.02,8.01,28.16,2.39
quixabeira,46.19,31.82,53.24,22.73,28.3,10.32
ribeirao do largo,67.04,40.74,67.58,38.16,47.31,18.97
rodelas,47.94,36.96,7.4,2.61,6.58,2.28
santa cruz da vitoria,58.17,36.58,36.78,12.79,22.48,5.41
santa teresinha,56.52,27.59,46.49,27.85,31.27,9.49
santanopolis,52.19,36.16,89.34,44.87,49.6,20.41
sao domingos,38.8,25.19,31.9,11.95,18.33,4.5
sao jose da vitoria,56.48,37.63,24.74,4.64,17.27,2.23
tanquinho,41.1,36.79,24.03,11.71,12.95,5.86
teodoro sampaio,48.7,33.03,26.55,18.65,15.53,9.79
varzea do poco,42.73,26.52,31.02,13.26,17.5,5.95
varzedo,44.68,35.32,53.13,26.81,28.29,14.04
vereda,58.79,37.46,42.73,33.22,27.87,12.88
wagner,51.16,30.8,35.84,14.76,22.43,9.11
de 10.001 a 20.000 ,53.72,34.73,47.94,28.25,31.02,13.23
abare,57.12,39.08,55.76,18.14,38.25,11.23
acajutiba,51.29,32.3,45.38,22.74,30.29,11.11
adustina,71.7,51.14,73.22,49.64,57.27,29.69
agua fria,62.96,33.13,55.04,41.03,37.59,17.48
america dourada,52.44,39.18,29.83,17.49,19.89,8.01
andarai,54.83,38.09,53.09,25.0,33.21,12.81
andorinha,55.47,30.8,69.94,42.04,45.7,17.46
angical,54.04,35.55,73.22,38.67,44.86,18.67
anguera,46.75,33.77,50.87,36.73,30.84,17.3
antas,52.73,38.39,21,11.5,14.88,6.47
antonio cardoso,58.37,45.49,72.59,41.56,45.18,23.53
antonio goncalves,42.53,26.92,38.19,15.55,16.81,6.64
apora,63.3,39.1,54.94,18.58,42.06,10.32
aracas,51.65,32.89,53.77,25.41,34,12.58
aracatu,67.6,41.65,77.18,68.38,57.34,32.82
aramari,50.66,31.36,48.27,28.99,32.43,16.57
arataca,61.1,40.59,38.21,31.18,27.1,15.31
