city,total
acorizal,2172
agua boa,7287
alta floresta,20728
alto araguaia,4763
alto boa vista,2744
alto garcas,3498
alto paraguai,3199
alto taquari,2010
apiacas,2612
araguaiana,1553
araguainha,534
araputanga,5956
arenapolis,4678
aripuana,11638
barao de melgaco,2922
barra do bugres,11260
barra do garcas,20837
brasnorte,4301
caceres,34598
campinapolis,4961
campo novo do parecis,7444
campo verde,7497
campos de julio,1363
canabrava do norte,1863
canarana,6809
carlinda,5385
castanheira,3551
chapada dos guimaraes,6103
claudia,4579
cocalinho,2256
colider,12531
comodoro,6470
confresa,7667
cotriguacu,3562
cuiaba,182771
denise,3318
diamantino,7352
dom aquino,3433
feliz natal,2867
figueiropolis d'oeste,1923
gaucha do norte,2056
general carneiro,1756
gloria d'oeste,1609
guaranta do norte,12311
guiratinga,5015
indiavai,870
itauba,3825
itiquira,4198
jaciara,10069
jangada,2711
jauru,5082
juara,13388
juina,16246
juruena,2395
juscimeira,5111
lambari d'oeste,2107
lucas do rio verde,8987
luciara,820
marcelandia,6407
matupa,4969
mirassol d'oeste,10080
nobres,5710
nortelandia,2580
nossa senhora do livramento,4687
nova bandeirantes,3104
nova brasilandia,2222
nova canaa do norte,5041
nova guarita,2556
nova lacerda,1645
nova marilandia,1048
nova maringa,1744
nova monte verde,3056
nova mutum,6800
nova olimpia,5985
nova ubirata,2459
nova xavantina,7270
novo horizonte do norte,1518
novo mundo,1963
novo sao joaquim,4337
paranaita,4449
paranatinga,6388
pedra preta,6211
peixoto de azevedo,10177
planalto da serra,1254
pocone,11253
pontal do araguaia,1741
ponte branca,903
pontes e lacerda,18373
porto alegre do norte,3362
porto dos gauchos,2617
porto esperidiao,4475
porto estrela,1867
poxoreo,7648
primavera do leste,17493
querencia,3274
reserva do cabacal,1019
ribeirao cascalheira,3792
ribeiraozinho,908
rio branco,2197
rondonopolis,62083
rosario oeste,6877
salto do ceu,2075
santa carmem,1606
santa terezinha,2324
santo afonso,1173
santo antonio do leverger,6357
sao felix do araguaia,3986
sao jose do povo,1412
sao jose do rio claro,5357
sao jose do xingu,2462
sao jose dos quatro marcos,8955
sao pedro da cipa,1463
sapezal,3649
sinop,33632
sorriso,16370
tabapora,4936
tangara da serra,25154
tapurah,5233
terra nova do norte,6283
tesouro,1219
torixoreu,1997
uniao do sul,1844
varzea grande,85989
vera,4104
vila bela da santissima trindade,5063
vila rica,6682
