city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
itabirinha,25.49,20.45,5.4,2.69,24.68,15.66,65.96,59.07
itacarambi,25.68,17.7,7.8,2.89,28.09,16.12,66.54,55.11
itaguara,11.57,8.15,2.97,1.28,9.99,5.85,31.29,24.26
itaipe,36.6,24.97,15.39,4.41,40.75,25.49,78.09,66.73
itamogi,12.2,10.72,2.4,1.68,10.92,8.77,34.69,28.86
itamonte,9.86,6.03,2.07,0.96,8.76,4.84,28.48,18.09
itanhandu,7.35,4.66,1.8,0.92,6.34,3.48,22.22,14.13
itanhomi,23.91,17.47,4.21,1.98,23.65,13.78,54.84,46.27
itapagipe,10.26,6.52,2.99,1.3,8.28,4.16,30.55,22.76
itau de minas,7.01,4.96,0.99,0.5,4.58,2.62,30.37,19.57
itinga,31.02,22.18,9.84,3.5,30.89,18.49,71.27,58.19
jaboticatubas,16.49,10.85,4.16,1.76,15.88,8.86,40.06,27.29
jacinto,32.7,27.49,8.82,4.11,33.54,22.5,71.96,67.01
jequeri,23.89,16.19,6.4,2.27,25.49,13.1,48.57,39.95
joaima,35.51,28.6,9.77,4.18,39.2,26.04,72.36,67.89
jordania,30.16,24.28,6.57,3.46,30.98,20.59,68.17,63.14
ladainha,39.44,29.69,17.7,6.56,44.24,31.79,73.07,63.5
lagoa dourada,7.99,5.87,2.01,0.8,7.39,3.94,24.06,21.55
lagoa formosa,13.35,10.95,1.55,1.09,10.71,7.27,45.12,34.37
lajinha,21.12,17.13,7.07,2.43,21.73,16.06,49.43,43.57
lambari,9.56,7.5,2.63,1.43,8.29,5.66,24.94,19.94
lima duarte,14.53,11.01,3.9,1.96,12.52,7.93,37.09,30.31
luz,10.33,8.07,2.72,1.03,9.26,6.24,29.65,23.38
malacacheta,31.88,25.22,9.84,3.79,34.4,23.56,67.47,61.1
manga,28.13,23.37,8.63,4.11,31.79,22.76,67.67,59.08
mar de espanha,12.94,8.04,5.25,1.3,11.07,6.41,29.18,21.06
maria da fe,12.81,7.79,3.56,1.1,11.84,6.74,37.52,22.01
mario campos,12.13,8.12,2.61,1.02,11.74,6.72,43.62,32.14
martinho campos,12.55,8.94,3.14,1.65,10.54,6.31,35.17,27.16
matias barbosa,9.09,6.56,2.26,0.96,7.32,4.38,28.26,21.09
matipo,19.39,14.91,5.74,2.16,20.48,14.47,47.41,39.99
mato verde,27.06,21.34,8.75,2.59,28.31,20.07,63.85,53.39
merces,19.84,14.13,4.26,2.11,19.21,11.0,42.78,35.34
mirabela,25.82,17.39,8.34,3.33,26.44,14.87,63.57,47.5
miradouro,21.26,13.71,5.36,1.95,20.2,11.8,51.77,35.76
mirai,15.46,11.33,5.92,2.51,14.6,9.72,33.57,27.86
montalvania,29.51,21.78,5.63,2.46,31.85,18.96,73.82,56.76
monte alegre de minas,12.59,11.34,3.89,1.59,10.74,8.61,33.99,31.15
monte belo,16.24,10.71,3.95,1.71,13.7,7.98,45.43,30.9
nova era,9.59,6.83,1.9,0.73,9.08,5.24,29.79,21.79
nova ponte,12.04,8.85,4.8,1.57,10.69,8.24,38.14,28.48
nova resende,14.16,8.05,3.29,0.98,12.33,5.58,45.56,29.75
novo oriente de minas,42.64,31.23,13.79,3.75,47.76,29.25,80.07,72.67
padre paraiso,30.08,22.68,8.04,2.88,31.84,18.63,68.49,62.03
papagaios,15.02,9.28,7.5,1.56,14.31,8.92,37.61,28.07
paraisopolis,11.48,8.35,2.27,1.09,9.35,5.16,34.78,28.36
passa quatro,8.3,5.76,2.37,1.16,7.32,4.53,23.84,16.34
pecanha,27.16,19.73,8,4.01,28.91,17.25,56.55,51.31
pedralva,13.6,8.87,2.94,1.35,12.13,6.36,39.71,27.07
pedras de maria da cruz,30.57,22.96,6.87,3.9,35.56,22.01,74,64.66
perdizes,12.37,8.18,3.33,1.94,11.69,6.67,40.18,28.84
piranga,20.67,11.63,6.66,1.81,20.26,10.03,46.16,30.47
pirapetinga,12.41,8.64,2.93,1.49,10.99,6.65,35.42,25.58
pirauba,12.2,9.62,2.29,1.68,10.21,5.97,34.74,29.77
planura,10.95,8.41,2.96,1.76,10.21,7.57,35.1,25.64
poco fundo,10.48,6.95,2.16,0.65,8.57,4.76,32.35,21.1
ponto dos volantes,38.04,27.82,10.4,3.12,41.72,24.7,76.01,68.05
porto firme,20.79,13.46,6.15,1.55,20.89,11.28,47.88,34.91
pote,32.48,25.48,10.18,4.26,34.1,23.05,65.22,57.94
presidente olegario,14.79,10.76,2.12,0.87,12.82,6.65,50.97,38.17
raposos,8.5,5.01,1.97,1,8.08,3.27,31.2,20.71
recreio,15.55,11.38,3.64,2.76,12.83,8.46,37.5,25.35
resende costa,9.33,5.93,2.95,1.25,7.55,4.64,25.24,15.62
resplendor,19.59,14.77,3.53,1.78,18.53,10.75,47.02,38.84
rio casca,16.09,11.19,4.57,1.82,14.32,8.11,43.15,32.48
rio paranaiba,10.45,8.74,2.61,0.88,9.12,7.04,35.23,28.48
rio piracicaba,11.66,8.54,3.31,1.16,10.65,6.62,32.26,23.94
rio pomba,13.74,9.03,3.58,1.03,11.66,6.57,33.49,25.5
rio vermelho,31.48,26.9,7.62,4.1,32.24,24.13,71.77,66.83
sabinopolis,25.13,17.69,7.99,2.35,24.83,15.25,54.44,44.68
santa juliana,10.9,7.21,3.66,2.12,9.35,6.53,35.8,20.39
santa margarida,14.84,12.05,5.36,3.11,14.36,10.6,40.12,33.12
