city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
santo antonio do monte,77.23,84.45,7.82,6.64,14.95,8.91
santos dumont,69.8,68.49,20.35,27.01,9.85,4.5
sao goncalo do sapucai,72.36,77.38,14.14,15.5,13.5,7.12
sao gotardo,73.99,78.36,15.85,16.33,10.16,5.31
sao joao da ponte,0.13,0.71,74.15,86.79,25.72,12.49
sao joao do paraiso,0.96,17.64,52.51,56.97,46.53,25.39
sao joao nepomuceno,85.85,87.7,7.97,8.71,6.18,3.58
sao joaquim de bicas,38.46,58.91,41.43,38.81,20.11,2.28
sao lourenco,92.56,95.47,6.55,4.19,0.89,0.34
sarzedo,57.59,82.67,37.93,16.66,4.48,0.67
serro,22.4,36.1,42.49,31.41,35.11,32.49
taiobeiras,0.37,14.48,84.62,74.81,15.01,10.71
tres marias,72.8,82.52,20.03,11.96,7.17,5.52
tupaciguara,77.7,87.75,11.08,7.03,11.22,5.22
varzea da palma,2.44,11.6,88.96,80.27,8.6,8.13
visconde do rio branco,75.23,81.96,12.02,10.07,12.75,7.97
de 50.001 a 100.000 ,72.97,77.25,18.82,17.62,8.21,5.14
alfenas,91.33,93.3,3.46,4.21,5.21,2.5
araxa,93.47,95.64,4.22,2.97,2.31,1.39
campo belo,86.53,92.57,7.95,4.42,5.52,3.01
caratinga,56.01,65.24,22.88,22.38,21.11,12.38
cataguases,84.54,84.99,10.73,11.73,4.73,3.28
curvelo,59.14,78.65,29.97,14.02,10.89,7.33
esmeraldas,12.82,21.75,46.23,67.44,40.94,10.81
formiga,79.89,86.21,10.27,9.1,9.84,4.69
frutal,77.59,82.06,11.85,9.74,10.55,8.2
itajuba,86.97,89.56,10.11,9.96,2.92,0.48
itauna,91.01,94.62,4.35,4.24,4.64,1.15
ituiutaba,83.78,92.54,11.11,3.32,5.11,4.14
janauba,1.52,15.96,87.74,78.17,10.74,5.87
januaria,22.62,27.91,36.77,50.4,40.62,21.69
joao monlevade,88.8,91.67,10.25,8.11,0.95,0.23
lagoa santa,22.42,52.97,73.17,45.81,4.41,1.22
lavras,88.15,92.57,7.5,4.78,4.36,2.65
leopoldina,80.21,82.99,10,10.94,9.78,6.07
manhuacu,62.16,69.13,19.88,21.06,17.97,9.81
mariana,64.81,73.53,25.61,22.22,9.59,4.25
nova lima,81.91,87.68,17.14,12.2,0.94,0.12
nova serrana,82.35,90.42,13.23,7.95,4.42,1.63
ouro preto,70.58,71.96,21.15,23.14,8.27,4.9
para de minas,85.83,91.22,10.37,7.39,3.8,1.39
paracatu,59.75,72.31,27.07,20.39,13.18,7.3
patrocinio,77.93,81.77,9.99,10.04,12.09,8.18
pedro leopoldo,60.21,66.29,35.94,31.61,3.86,2.1
pirapora,4.38,18.67,93.16,79.44,2.46,1.89
ponte nova,76.52,82.08,14.54,11.53,8.94,6.39
sao francisco,0.61,14.11,65.25,60.56,34.14,25.33
sao joao del rei,72.96,81.23,21.39,16.68,5.65,2.09
sao sebastiao do paraiso,88.39,92.06,6.36,5.91,5.25,2.04
timoteo,84.74,89.57,13.62,9.89,1.64,0.55
tres coracoes,85.3,87.58,8.17,8.42,6.53,4
tres pontas,78.86,86.44,4.44,2.89,16.7,10.67
unai,58.4,73.27,23.61,14.3,17.99,12.43
vicosa,75.19,84.23,17.95,12.74,6.86,3.02
de 100.001 a 500.000 ,79.43,87.25,16.9,10.47,3.67,2.27
araguari,72.84,83.62,18.54,10.64,8.61,5.74
barbacena,79.53,83.69,12.97,11.56,7.5,4.76
betim,68.85,85.25,29.72,14.28,1.43,0.47
conselheiro lafaiete,82.58,88.64,13.24,10.16,4.18,1.2
coronel fabriciano,67.66,78.43,30.63,20.9,1.71,0.67
divinopolis,81.31,89.0,15.38,9.79,3.3,1.21
governador valadares,81.99,91.29,13.9,5.79,4.11,2.92
ibirite,51.22,82.87,48.03,16.96,0.75,0.17
ipatinga,79.4,88.56,20.12,11.34,0.48,0.1
itabira,81.58,87.74,10.19,8.24,8.23,4.02
montes claros,83.34,88.88,11.96,6.82,4.7,4.3
muriae,83.46,86.53,9.09,9.1,7.44,4.37
passos,91.09,94.43,4.11,3.68,4.79,1.89
patos de minas,85.54,89.62,6.2,3.52,8.26,6.86
pocos de caldas,93.53,96.67,4.33,2.78,2.13,0.55
pouso alegre,87.15,88.91,7.58,8.9,5.27,2.19
