city,total,suitable,semi_suitable,inappropriate
amparo de sao francisco,539,23,472,43
aquidaba,4724,825,3714,185
aracaju,116632,74588,41318,726
araua,2156,13,1866,276
areia branca,3419,9,3044,367
barra dos coqueiros,4360,834,3374,153
boquim,5737,13,5100,624
brejo grande,1613,20,1385,208
campo do brito,4165,356,3364,444
canhoba,888,5,786,97
caninde de sao francisco,3868,892,2573,403
capela,6353,38,5719,596
carira,4674,120,3938,616
carmopolis,2285,699,1569,16
cedro de sao joao,1423,280,1102,41
cristinapolis,3122,57,2413,652
cumbe,910,0,862,48
divina pastora,773,193,509,71
estancia,14260,868,12411,980
feira nova,1225,47,1060,117
frei paulo,3012,25,2769,218
gararu,2646,218,1995,433
general maynard,625,0,596,29
gracho cardoso,1393,150,1135,108
ilha das flores,1851,14,1673,163
indiaroba,2801,7,2293,500
itabaiana,20015,9108,9707,1199
itabaianinha,8020,1771,4744,1505
itabi,1384,171,1179,35
itaporanga d'ajuda,5779,798,3867,1113
japaratuba,3511,43,3140,328
japoata,2942,13,2542,387
lagarto,20805,1216,17294,2296
laranjeiras,5380,1312,3578,491
macambira,1511,128,1168,215
malhada dos bois,765,4,750,11
malhador,2854,37,2504,314
maruim,3602,1047,2303,252
moita bonita,2786,682,1747,357
monte alegre de sergipe,2685,800,1501,384
muribeca,1658,9,1454,195
neopolis,4269,242,3646,380
nossa senhora aparecida,2117,498,1416,203
nossa senhora da gloria,6436,826,5106,504
nossa senhora das dores,5573,78,4794,700
nossa senhora de lourdes,1448,56,1319,74
nossa senhora do socorro,32657,13613,18323,721
pacatuba,2576,67,2087,423
pedra mole,684,143,504,38
pedrinhas,1814,14,1574,225
pinhao,1335,4,1164,167
pirambu,1683,35,1542,107
poco redondo,5487,283,4194,1010
poco verde,5063,987,3385,691
porto da folha,5825,1207,3816,802
propria,6742,3411,3039,292
riachao do dantas,4324,9,3310,1005
riachuelo,1897,805,1028,65
ribeiropolis,4083,1540,2219,323
rosario do catete,1705,789,877,38
salgado,4437,37,3421,979
santa luzia do itanhy,2999,20,2158,821
santa rosa de lima,879,259,535,86
santana do sao francisco,1341,6,1264,70
santo amaro das brotas,2531,10,2324,196
sao cristovao,15830,4531,10480,819
sao domingos,2398,25,2156,217
sao francisco,670,10,627,33
sao miguel do aleixo,865,158,556,151
simao dias,9442,2511,5439,1492
siriri,1644,0,1371,274
telha,621,0,614,7
tobias barreto,10882,4302,5452,1127
tomar do geru,2865,12,2140,713
umbauba,4445,15,3745,685
