city,total,regular,military_and_gov,irregular,entrepreneur,employers
nilo pecanha,405.04,700.56,1612.88,328.93,373.53,1413.78
nordestina,403.78,746.99,458.5,273.5,381.65,1000
nova canaa,444.54,647.15,580.25,391.92,366.71,1585.5
nova fatima,494.79,674.83,766.53,331.54,590.68,1453.15
nova ibia,643.5,630.16,971.86,417.86,965.94,2505.21
nova itarana,453.48,588.5,729.87,321,388.61,6028.39
nova redencao,446.27,644.36,466.96,375.93,393.1,1129.18
nova soure,518.49,861.81,1041.16,312.25,426.51,2000
nova vicosa,972.99,871.77,999.76,442.89,809.95,16996.47
novo horizonte,582.01,689.82,1166.63,406.39,691.43,-
novo triunfo,459.23,669.55,737.56,376.07,319.85,2110.79
olindina,507.29,811.34,1031.96,304.93,397.04,340.21
oliveira dos brejinhos,562.73,736.44,1041.36,448.85,513.08,1461.94
ouricangas,501.68,626.26,902.81,330.54,371.95,4349.2
ourolandia,436.47,634.98,739.2,281.65,416.58,9826.9
palmas de monte alto,473.48,724.23,837.24,396.34,345.31,872.05
palmeiras,632.57,857.59,1605.8,331.69,548.92,1933.37
paramirim,626.29,931.35,1194.53,519.38,451.98,1986.87
paratinga,517.13,650.67,613.38,441.3,481.95,1519.74
paripiranga,554.44,992.51,1322.58,350.47,496.99,2839.9
pau brasil,610.4,666.58,894.27,408.44,654.44,2083.35
paulo afonso,972.63,1107.52,1663.37,527.81,900.75,2930.07
pe de serra,467.02,731.32,693.04,323.99,380.64,2760.3
pedrao,417.87,640.02,665.29,402.7,279.45,-
pedro alexandre,379.99,574.16,727.74,312.19,348.01,309.14
piata,515.74,667.69,782.23,389.3,429,3621.03
pilao arcado,479.19,1019.38,775.75,347.66,393.55,457.19
pindai,487.78,731.75,1169.18,368.75,271.96,1261.99
pindobacu,384.02,698.18,515.84,274.78,328.58,2306.07
pintadas,557.22,839.72,722.64,402.41,429.21,510
pirai do norte,471.74,712.15,572.02,401.48,443.78,1839
piripa,496.3,698.25,728.85,427.84,483.58,1736.42
piritiba,478.61,920.87,992.87,332.61,336.28,1142.89
planaltino,449.07,652.51,676.24,328.86,453,1325.34
planalto,483.04,652.65,899.37,324.8,570.77,1077.22
pocoes,591.38,727.63,1404.51,340.68,721.14,1091.78
pojuca,891.55,1075.76,969.55,540.74,729.92,3351.06
ponto novo,453.96,608.27,599.33,273.86,431.11,1285.61
porto seguro,930.74,841.28,1654.69,563.01,1088.04,2759
potiragua,616.46,609.27,1782.6,428.49,837.25,2290.61
prado,709.48,751.84,1174.13,470.14,719.59,2616.55
presidente dutra,500.36,1069.58,1208.39,342.65,696.12,171.34
presidente janio quadros,376.74,772.76,550.71,354.36,300.49,1279.83
presidente tancredo neves,468.04,700.97,612.63,391.33,396.06,2854.96
queimadas,448.28,674.46,1083.91,291.79,414.45,925.53
quijingue,536.24,716.24,1183.51,346.34,543.29,3288.26
quixabeira,390.56,656.85,579.21,328.43,284.51,1346.34
rafael jambeiro,492.02,674.25,740.78,391.38,463.41,-
remanso,515.73,771.85,946.9,370.61,414.54,2010.51
retirolandia,476.14,624.91,808.46,371.9,376.8,1344.59
riachao das neves,551.01,653.94,720.83,444.65,585.92,400
riachao do jacuipe,553.59,739.88,1197.58,365.22,506.18,2788.07
riacho de santana,568.98,758.02,1210.48,377.01,625.49,3896.87
