city,total,has_children,children_born,children_borned_live,children_borned_dead
duartina,5431,3416,12090,11546,544
dumont,2569,1621,5163,4983,180
echapora,2786,1878,7421,7129,292
eldorado,5110,3235,13559,12545,1014
elias fausto,5455,3489,12722,11945,777
elisiario,1040,734,2378,2249,129
embauba,1012,726,2368,2282,85
embu,84240,49670,156207,146702,9505
embu-guacu,22716,14143,45533,43020,2513
emilianopolis,1217,779,2866,2703,163
engenheiro coelho,3915,2352,7528,7270,258
espirito santo do pinhal,17246,10884,33846,32090,1755
espirito santo do turvo,1415,937,3266,3009,257
estiva gerbi,3477,2275,7748,7251,497
estrela do norte,1036,661,2958,2910,48
estrela d'oeste,3465,2373,8127,7903,224
euclides da cunha paulista,3939,2544,10808,10233,575
fartura,6239,3968,14532,13458,1074
fernando prestes,2374,1612,4830,4620,210
fernandopolis,26891,17965,56180,53811,2369
fernao,577,370,1308,1239,69
ferraz de vasconcelos,56889,35220,116332,109108,7224
flora rica,914,648,2595,2465,130
floreal,1412,1022,3363,3234,129
florida paulista,4629,3122,11738,10944,794
florinia,1306,884,2982,2815,167
franca,120102,76603,239093,227940,11153
francisco morato,51763,32365,109767,103916,5851
franco da rocha,42008,25655,82973,77889,5084
gabriel monteiro,1135,753,2637,2517,120
galia,3199,2108,7772,7362,410
garca,18447,11872,41834,39870,1963
gastao vidigal,1525,1029,3415,3346,69
gaviao peixoto,1581,1028,3478,3236,242
general salgado,4517,3040,10231,9701,530
getulina,3942,2620,9347,8900,447
glicerio,1792,1235,4448,4235,214
guaicara,3745,2496,8503,8144,360
guaimbe,2138,1434,5499,5241,258
guaira,14455,9541,29896,28692,1204
guapiacu,5862,3930,12150,11513,637
guapiara,7448,4547,19843,18458,1385
guara,7657,5128,16260,15501,759
guaracai,3714,2506,8548,8278,271
guaraci,3579,2445,8151,7881,271
guarani d'oeste,837,598,2222,2171,50
guaranta,2467,1713,6348,6109,239
guararapes,12382,8258,27786,26480,1305
guararema,8763,5571,19572,18625,947
guaratingueta,44819,28099,89954,85464,4490
guarei,3894,2598,8981,8414,567
guariba,12457,8202,28429,27380,1050
guaruja,108568,68621,216616,206881,9735
guarulhos,441264,270472,827147,779208,47939
guatapara,2456,1672,5815,5499,316
guzolandia,1707,1158,4548,4379,168
herculandia,3215,2164,7325,7179,147
holambra,2910,1767,5633,5442,191
hortolandia,61024,39330,125617,119083,6534
iacanga,3465,2261,7852,7520,332
iacri,2829,1861,6950,6750,200
iaras,1099,734,2799,2668,131
ibate,10479,6916,23149,21822,1327
ibira,4109,2691,8415,8123,292
ibirarema,2326,1638,5212,5042,170
ibitinga,20041,12926,39386,37469,1917
ibiuna,24888,16013,56603,52302,4301
icem,2773,1884,6256,6006,250
iepe,3026,1975,7362,7046,317
igaracu do tiete,9273,6174,18995,18188,807
igarapava,11096,7263,23365,21935,1431
igarata,3204,2061,7485,6746,738
iguape,10845,7081,26829,25217,1611
ilha comprida,2710,1671,5472,4979,493
ilha solteira,10402,6583,20366,19275,1090
ilhabela,8088,5046,16196,15493,703
indaiatuba,61285,38969,119261,113740,5521
indiana,2050,1330,4690,4483,207
indiapora,1746,1159,4092,3929,163
inubia paulista,1365,921,3335,3225,110
ipaussu,5190,3469,11593,10980,613
ipero,6853,4446,15168,14516,652
ipeuna,1699,1091,3255,3062,193
ipigua,1389,986,3334,3186,149
iporanga,1664,1023,4841,4598,243
ipua,4774,3195,10591,9961,630
iracemapolis,6450,4259,13793,13073,721
irapua,2732,1876,6331,6211,120
irapuru,3175,2112,7835,7461,373
itabera,7388,4949,17534,16362,1172
itai,8253,5431,20474,19239,1236
itajobi,6114,4120,11804,11420,385
itaju,1064,718,2267,2223,45
itanhaem,29386,19354,65267,61331,3936
itaoca,1226,776,3830,3497,333
itapecerica da serra,51915,31649,102997,97399,5598
itapetininga,51262,32575,109814,103910,5904
itapeva,33230,21308,79529,74149,5380
itapevi,63919,39941,134197,127123,7073
itapira,26699,16953,53398,51204,2194
itapirapua paulista,1277,870,4169,3901,268
itapolis,16008,10665,33159,31722,1437
itaporanga,5839,3710,14129,13091,1038
itapui,4176,2734,9170,8695,476
itapura,1485,1051,4228,3982,247
itaquaquecetuba,106006,66204,222869,209751,13118
itarare,18690,12081,44714,42642,2072
itariri,5386,3363,13208,12477,731
itatiba,34158,21399,64005,61013,2992
itatinga,5938,3906,13667,12864,803
itirapina,4660,2934,10522,9833,689
itirapua,2076,1380,5333,4942,391
itobi,2956,1909,6802,6634,168
itu,55967,35095,113825,106794,7031
itupeva,10373,6646,20584,19757,827
ituverava,15509,10202,31520,30012,1508
jaborandi,2608,1722,5967,5603,364
jaboticabal,28995,18486,56913,54065,2847
jacarei,80170,50763,160012,150892,9119
jaci,1724,1115,3436,3254,183
jacupiranga,6593,4150,15949,15247,702
jaguariuna,12215,7788,23888,22982,906
jales,20110,13255,41857,39835,2022
jambeiro,1551,1031,3557,3397,160
jandira,36837,22561,70880,67897,2984
jardinopolis,12581,8084,24811,23661,1150
jarinu,6616,4214,15142,14220,922
jau,48193,30751,94663,91023,3640
jeriquara,1217,780,3230,2978,251
joanopolis,4290,2775,9789,9171,617
joao ramalho,1552,1025,3561,3383,178
jose bonifacio,11949,8106,26190,25235,955
julio mesquita,1709,1048,4357,3976,381
jumirim,860,555,1705,1694,11
jundiai,141240,87300,253037,241335,11702
junqueiropolis,6984,4864,17731,16744,987
juquia,7843,5077,21119,20112,1007
juquitiba,10220,6667,23475,22153,1323
lagoinha,1964,1260,5553,5304,249
laranjal paulista,9323,6136,19622,18623,999
lavinia,2106,1419,5320,5135,185
lavrinhas,2312,1420,5353,5164,190
leme,32705,21197,68987,65999,2988
lencois paulista,22592,14737,48433,46495,1937
limeira,105017,66477,204057,194758,9300
lindoia,2230,1400,4581,4421,160
lins,29059,18898,60246,58017,2229
lorena,33261,20769,69084,65578,3506
lourdes,823,588,1852,1795,57
louveira,9696,5896,18105,17320,785
lucelia,7464,4990,17151,16189,962
lucianopolis,872,623,2545,2313,232
luis antonio,2767,1852,5655,5456,199
luiziania,1771,1217,5032,4783,249
lupercio,1636,1077,4062,3736,326
lutecia,1201,831,2924,2767,158
macatuba,6310,4075,13610,13011,599
macaubal,3167,2210,7027,6841,186
macedonia,1638,1128,3758,3659,98
magda,1464,951,3141,2953,188
mairinque,16153,10290,32142,30615,1527
mairipora,24369,15366,49008,45980,3028
manduri,3377,2317,7371,7113,258
maraba paulista,1516,1041,3891,3671,220
maracai,5321,3468,12565,11740,825
marapoama,932,630,1989,1868,121
mariapolis,1558,1066,4360,4158,202
marilia,84970,53950,175583,167652,7930
marinopolis,879,630,2146,2055,92
martinopolis,9105,6052,22159,20703,1456
matao,29986,19369,61330,58620,2709
maua,149638,91666,286627,272960,13667
mendonca,1586,1108,3604,3424,181
meridiano,1654,1124,3843,3737,105
mesopolis,782,540,2085,2052,34
miguelopolis,7728,5068,16342,15644,698
mineiros do tiete,4628,3130,10908,10468,440
mira estrela,1061,764,2331,2258,73
miracatu,8276,5315,21388,20203,1185
mirandopolis,10375,6965,25091,24287,804
mirante do paranapanema,6535,4368,17453,16859,593
mirassol,20789,13967,40885,39037,1848
mirassolandia,1535,1043,3311,3080,231
mococa,27345,17195,59059,56213,2846
mogi guacu,51518,32678,106498,100764,5734
moji das cruzes,136902,85048,275929,262896,13034
moji-mirim,34424,21319,65043,62516,2527
mombuca,1214,790,2954,2635,319
moncoes,885,636,1963,1853,110
mongagua,13924,9299,29750,28210,1540
monte alegre do sul,2649,1732,5547,5277,270
monte alto,18504,12327,35899,34734,1166
monte aprazivel,8142,5320,16264,15597,667
monte azul paulista,8067,5226,18109,17351,758
monte castelo,1728,1194,4415,4262,154
monte mor,14911,9262,30975,28957,2018
monteiro lobato,1450,903,3856,3557,299
morro agudo,10039,6427,21628,20344,1284
morungaba,4019,2606,8149,7845,304
motuca,1532,998,3381,3335,45
murutinga do sul,1679,1183,4024,3924,100
nantes,894,560,2476,2346,130
narandiba,1481,946,3465,3345,120
natividade da serra,2624,1714,7434,6881,552
nazare paulista,5712,3596,13202,12400,802
neves paulista,3857,2658,7922,7650,272
nhandeara,4569,3023,8977,8651,325
nipoa,1356,889,2960,2819,140
nova alianca,2044,1339,4608,4255,353
nova campina,2579,1650,7412,7070,342
nova canaa paulista,1033,691,2837,2669,168
