city,total
nova granada,7632
nova guataporanga,1027
nova independencia,909
nova luzitania,1238
nova odessa,19347
novais,1461
novo horizonte,15526
nuporanga,2862
ocaucu,1898
oleo,1460
olimpia,20693
onda verde,1637
oriente,2537
orindiuva,1943
orlandia,15804
osasco,269399
oscar bressane,1235
osvaldo cruz,13837
ourinhos,40524
ouro verde,3194
ouroeste,2874
pacaembu,5622
palestina,4457
palmares paulista,3874
palmeira d'oeste,5018
palmital,9638
panorama,6034
paraguacu paulista,17398
paraibuna,6854
paraiso,2642
paranapanema,6785
paranapua,1662
parapua,5239
pardinho,2227
pariquera-acu,7262
parisi,1003
patrocinio paulista,4959
pauliceia,2343
paulinia,22402
paulistania,892
paulo de faria,3679
pederneiras,16470
pedra bela,2484
pedranopolis,1390
pedregulho,6275
pedreira,15779
pedrinhas paulista,1363
pedro de toledo,3724
penapolis,24387
pereira barreto,10862
pereiras,2779
peruibe,21475
piacatu,2176
piedade,21171
pilar do sul,10422
pindamonhangaba,51433
pindorama,6208
pinhalzinho,4952
piquerobi,1630
piquete,6025
piracaia,9580
piracicaba,144326
piraju,11855
pirajui,7893
pirangi,4925
pirapora do bom jesus,5116
pirapozinho,10046
pirassununga,28328
piratininga,4450
pitangueiras,13518
planalto,1677
platina,1340
poa,38977
poloni,2320
pompeia,7993
pongai,1780
pontal,12649
pontalinda,1528
pontes gestal,1245
populina,2200
porangaba,3214
porto feliz,20571
porto ferreira,20892
potim,5244
potirendaba,7003
pracinha,549
pradopolis,5780
praia grande,81458
pratania,1712
presidente alves,1837
presidente bernardes,6595
presidente epitacio,16699
presidente prudente,83138
presidente venceslau,15800
promissao,13524
quadra,1272
quata,5251
queiroz,950
queluz,3513
quintana,2476
rafard,3720
rancharia,12510
redencao da serra,1718
regente feijo,7902
reginopolis,2150
registro,20732
restinga,2304
ribeira,1453
ribeirao bonito,4850
ribeirao branco,8343
ribeirao corrente,1673
ribeirao do sul,1916
ribeirao dos indios,1095
ribeirao grande,3005
ribeirao pires,44461
ribeirao preto,211527
rifaina,1477
rincao,4394
rinopolis,4868
rio claro,74431
rio das pedras,10540
rio grande da serra,15151
riolandia,3301
riversul,2930
rosana,10875
roseira,3386
rubiacea,994
rubineia,1360
sabino,2396
sagres,1062
sales,2063
sales oliveira,4374
salesopolis,5879
salmourao,2075
saltinho,2958
salto,41004
salto de pirapora,14587
salto grande,3629
sandovalina,1315
santa adelia,6530
santa albertina,2770
santa barbara d'oeste,77592
santa branca,5334
santa clara d'oeste,1084
santa cruz da conceicao,1679
santa cruz da esperanca,805
santa cruz das palmeiras,11440
santa cruz do rio pardo,18824
santa ernestina,2405
santa fe do sul,12266
santa gertrudes,7208
santa isabel,17850
santa lucia,3348
santa maria da serra,2110
santa mercedes,1264
santa rita do passa quatro,12124
santa rita d'oeste,1435
santa rosa de viterbo,9001
santa salete,665
santana da ponte pensa,980
santana de parnaiba,31698
santo anastacio,9510
santo andre,280622
santo antonio da alegria,2405
santo antonio de posse,7964
santo antonio do aracangua,3187
santo antonio do jardim,2829
santo antonio do pinhal,2705
santo expedito,1119
santopolis do aguapei,1485
santos,173105
sao bento do sapucai,4390
sao bernardo do campo,300301
sao caetano do sul,60876
sao carlos,85906
sao francisco,1511
sao joao da boa vista,33592
sao joao das duas pontes,1290
sao joao de iracema,793
sao joao do pau d'alho,1055
sao joaquim da barra,18072
sao jose da bela vista,3214
sao jose do barreiro,1448
sao jose do rio pardo,21802
sao jose do rio preto,161090
sao jose dos campos,223700
sao lourenco da serra,4955
sao luis do paraitinga,4388
sao manuel,15584
sao miguel arcanjo,12820
sao paulo,4204442
sao pedro,12680
sao pedro do turvo,3063
sao roque,28802
sao sebastiao,23919
sao sebastiao da grama,5433
sao simao,5691
sao vicente,120726
sarapui,3422
sarutaia,1535
sebastianopolis do sul,1296
serra azul,3119
serra negra,10817
serrana,13517
sertaozinho,41257
sete barras,5474
severinia,6077
silveiras,2196
socorro,14752
sorocaba,209445
sud mennucci,3519
sumare,87204
suzanapolis,1260
suzano,93611
tabapua,5268
tabatinga,6015
taboao da serra,78127
taciba,2192
taguai,3248
taiacu,2601
taiuva,2517
tambau,9572
tanabi,10924
tapirai,3561
tapiratiba,5606
taquaral,1181
taquaritinga,23497
taquarituba,9434
taquarivai,1778
tarabai,2390
taruma,4815
tatui,41050
taubate,99234
tejupa,2338
teodoro sampaio,8605
terra roxa,3362
tiete,14048
timburi,1110
torre de pedra,965
torrinha,4061
trabiju,662
tremembe,13231
tres fronteiras,2508
tuiuti,2310
tupa,27836
tupi paulista,6195
turiuba,959
turmalina,1234
ubarana,2004
ubatuba,27387
ubirajara,1932
uchoa,4446
uniao paulista,634
urania,4212
uru,648
urupes,6049
valentim gentil,4217
valinhos,38859
valparaiso,7812
vargem,3197
vargem grande do sul,16267
vargem grande paulista,13769
varzea paulista,39809
vera cruz,4759
vinhedo,21519
viradouro,6954
vista alegre do alto,2471
vitoria brasil,835
votorantim,41184
votuporanga,35663
zacarias,963
