city,total,suitable,semi_suitable,inappropriate
buritis,6830.23113514,1696.77491039,4900.34138118,233.11484357
buritizeiro,7423.88757538,190.75964599,7045.44414641,187.68378298
cabeceira grande,2135.0,180.75785924,1931.05497694,23.18716382
cabo verde,4188.71720264,2220.71192479,1922.23251915,45.7727587
cachoeira da prata,1116.00000001,958.63159982,157.36840019,-
cachoeira de minas,3435.99999998,1983.92575969,1419.10506307,32.96917722
cachoeira de pajeu,2545.68215069,415.43308684,1948.56987896,181.67918489
cachoeira dourada,780.0,626.97638165,153.02361835,-
caetanopolis,3190.99999999,2019.9922134,1065.04191155,105.96587504
caete,11819.0,7948.88881248,3683.49722607,186.61396145
caiana,1573.25963384,587.33439094,953.03574692,32.88949598
cajuri,1199.0,579.84804128,592.57187221,26.58008651
caldas,4727.24197552,2252.913877,2406.61264543,67.71545309
camacho,986.20439263,450.00603211,532.58939442,3.6089661
camanducaia,6905.7276098,3465.87504539,3396.15315308,43.69941133
cambui,9017.77517716,6522.38450589,2484.74436833,10.64630294
cambuquira,4006.83747402,2588.85640743,1378.41908919,39.5619774
campanario,1032.05692559,526.05904278,463.33826584,42.65961697
campanha,4735.99999998,3109.56459934,1581.33546096,45.09993968
campestre,6679.99999997,3349.60850037,3177.51266145,152.87883815
campina verde,6560.47763871,4591.48200193,1882.68475197,86.31088481
campo azul,1023.50020216,43.59942492,917.64402833,62.25674891
campo belo,17172.99999999,14377.81852544,2766.75349978,28.42797477
campo do meio,3565.52199442,2818.15576043,692.22712717,55.13910682
campo florido,2167.06717079,1325.24898746,755.53460462,86.28357871
campos altos,4324.86701359,3451.47419583,859.37966638,14.01315138
campos gerais,8564.99999999,5116.61626757,3205.99035044,242.39338198
cana verde,1818.31948039,1187.40395016,627.56614083,3.3493894
canaa,1442.50765611,409.61604318,982.3292411,50.56237183
canapolis,3692.19888973,2843.87642705,808.92838849,39.39407419
candeias,4998.99999999,3132.93168194,1802.28598419,63.78233386
cantagalo,1186.72330759,233.32403792,875.92044645,77.47882322
caparao,1587.87045337,402.17859847,1136.92983433,48.76202057
capela nova,1448.99999998,472.39202013,934.00769674,42.60028311
capelinha,9846.00000003,4984.45274597,4489.6194163,371.92783776
capetinga,2249.00000001,1644.55834021,602.85209302,1.58956678
capim branco,2648.99999999,530.52103277,2118.47896722,-
capinopolis,4986.00000001,3899.12577988,1071.04597379,15.82824634
capitao andrade,1579.00000001,855.65862219,687.8935604,35.44781742
capitao eneas,3665.08126353,622.36008795,2889.4805793,153.24059628
capitolio,2731.66449744,1996.56495944,714.09449808,21.00503992
caputira,2648.99999998,1093.74244809,1428.0375791,127.21997279
carai,5871.00000001,1208.50926773,3967.44762545,695.04310683
caranaiba,909.0,277.4030789,593.18403937,38.41288173
carandai,6847.02401596,4074.1641074,2671.08263012,101.77727844
carangola,10946.0,7053.45519722,3717.99868925,174.54611353
caratinga,26660.33944427,15743.10253671,10639.21140898,278.02549858
carbonita,2983.99999999,1685.84172079,1240.00528109,58.15299811
careacu,1952.81948862,1279.85565249,661.50960516,11.45423097
carlos chagas,6243.00000001,3309.23382495,2736.3988111,197.36736396
carmesia,747.72709506,330.23125152,395.1047616,22.39108194
carmo da cachoeira,3356.00000001,2141.31470021,1100.07755885,114.60774095
carmo da mata,3511.90594057,2605.37366404,868.59624146,37.93603507
carmo de minas,3899.26289793,2203.57970958,1641.11409914,54.56908921
carmo do cajuru,6308.0,4947.29262635,1353.82286762,6.88450603
carmo do paranaiba,9792.25789125,7393.00527102,2357.46500632,41.78761391
carmo do rio claro,6562.99999999,4385.4166138,2110.66610767,66.91727852
carmopolis de minas,4978.0,3261.31568255,1685.95650325,30.7278142
carneirinho,3251.99999998,1718.76125725,1522.77013828,10.46860445
carrancas,1205.25442029,660.96025255,536.63152404,7.6626437
carvalhopolis,1088.0,735.23676005,352.76323995,-
carvalhos,1512.56604687,594.61275701,900.03004527,17.92324459
casa grande,615.0,271.10980355,328.71090224,15.17929421
cascalho rico,1040.06186178,382.45256925,635.5580955,22.05119703
cassia,5730.00000002,4166.44433341,1499.74841077,63.80725584
cataguases,23002.13200162,17771.88720168,5164.58073814,65.6640618
catas altas,1426.99999999,1085.47876275,335.75058017,5.77065707
catas altas da noruega,906.97090776,314.23502208,528.89281982,63.84306586
catuji,1783.874528,381.03439768,1161.56185262,241.2782777
catuti,1481.14329987,14.59809063,1456.35134128,10.19386796
caxambu,7009.38318609,5920.15927892,1076.07849879,13.14540838
cedro do abaete,445.0,104.59356466,331.86963833,8.53679701
central de minas,2330.0,1429.30278059,884.31990593,16.37731348
centralina,3237.25524973,1015.21119735,2194.588336,27.45571638
chacara,964.99999998,560.95946218,389.80661063,14.23392717
chale,1778.00000001,652.45720467,1050.90350361,74.63929173
chapada do norte,3705.0,619.75510041,2724.69404886,360.55085073
chapada gaucha,2519.25688201,322.47293213,1902.30204844,294.48190144
chiador,878.58872454,483.97881982,377.71081896,16.89908576
cipotanea,1821.00000001,622.54957187,1005.39842963,193.05199851
claraval,1433.0,557.27447145,835.63139808,40.09413047
claro dos pocoes,2420.00000001,533.66851848,1842.20774758,44.12373395
claudio,7586.52544419,5504.53978168,2081.98566251,-
coimbra,2335.64550156,1042.22383793,1259.65200404,33.76965959
coluna,2487.08124847,865.58159174,1380.66685983,240.8327969
comendador gomes,1002.00000003,336.03085953,648.43307731,17.53606319
comercinho,2399.0,469.30051462,1751.63394813,178.06553725
conceicao da aparecida,3174.0,1839.24084967,1237.75240273,97.0067476
conceicao da barra de minas,1191.52221339,429.18510991,733.53631482,28.80078866
conceicao das alagoas,6944.4771067,4907.10416063,2025.1687385000002,12.20420757
conceicao das pedras,855.0,478.67782631,374.82088032,1.50129337
conceicao de ipanema,1455.01497963,476.83266063,943.37405893,34.80826007
conceicao do mato dentro,5088.03784138,1783.49559155,3078.0683572,226.47389263
conceicao do para,1646.5229953,734.67820089,890.6504195,21.19437491
conceicao do rio verde,3939.46074718,2789.78498817,1126.87062956,22.80512945
conceicao dos ouros,3189.00000001,2120.40070676,1068.59929325,-
conego marinho,1829.00000002,3.06561052,1680.69060619,145.24378331
confins,1690.08416813,14.62774232,1668.79702055,6.65940526
congonhal,3370.77041875,2225.79164622,1086.87307328,58.10569925
congonhas,14075.99999999,9389.87183716,4644.46912826,41.65903457
congonhas do norte,1443.04814215,328.57464383,1056.92609036,57.54740796
conquista,2085.0,1542.34172935,536.01708709,6.64118356
conselheiro lafaiete,35170.98386338,28146.7122978,6988.00689118,36.2646744
conselheiro pena,7390.99999999,4926.92234926,2409.81342085,54.26422988
consolacao,558.3316262,273.33517623,281.00571601,3.99073396
contagem,184908.59906218,148600.94840082,36291.37223791,16.27842345
coqueiral,2863.0,1815.23205868,972.6461472999999,75.12179402
coracao de jesus,7684.00000001,1208.90138477,5967.47422525,507.62438999
cordisburgo,2688.99999999,651.6065307,1989.95685341,47.43661588
cordislandia,1057.06429136,765.87804385,278.66747706,12.51877045
corinto,7289.0,4579.94317948,2637.73637142,71.3204491
coroaci,2991.15719526,956.6960956,1812.34645382,222.11464584
coromandel,9565.02241453,6253.19192645,3151.20781198,160.6226761
coronel fabriciano,31635.18896723,21839.28140996,9782.668956200001,13.23860107
coronel murta,2536.49999998,916.63782561,1527.49971719,92.36245718
coronel pacheco,924.4285672,516.14861258,395.21824937,13.06170525
coronel xavier chaves,996.99999999,452.10185029,541.47838804,3.41976166
corrego danta,1203.1613264,657.70672012,513.15593861,32.29866767
corrego do bom jesus,1293.99999999,516.34870097,766.89028441,10.76101461
corrego fundo,1795.69615255,455.1563922,1319.76494135,20.774819
corrego novo,997.99999998,551.50089796,429.95925586,16.53984616
couto de magalhaes de minas,1219.00000002,731.26666303,469.18059787,18.55273912
crisolita,1756.99999998,647.97267725,1019.09748125,89.92984148
