city,total,suitable,semi_suitable,inappropriate
jaicos,5050.71803382,89.20229173,4257.35730942,704.15843267
jardim do mulato,1235.00000001,-,1198.92102063,36.07897938
jatoba do piaui,1296.35339708,43.70697064,1132.85270067,119.79372577
jerumenha,1231.83844446,101.23460613,1071.31707577,59.28676256
joao costa,813.96265934,7.56103131,705.17041027,101.23121776
joaquim pires,3401.33486821,151.65466781,2825.8268873,423.8533131
joca marques,1267.77954785,37.93541762,1049.39260132,180.45152891
jose de freitas,9214.06354466,902.7731235,7325.56897724,985.72144392
juazeiro do piaui,1233.83091654,45.11476171,1060.90949743,127.8066574
julio borges,1361.00000001,-,1213.80324666,147.19675335
jurema,1265.0,107.76006797,1034.80280621,122.43712582
lagoa alegre,1951.0604034000007,210.44397172,1398.74129296,341.87513872
lagoa de sao francisco,1659.30649924,3.60509549,1455.09530153,200.60610222
lagoa do barro do piaui,1164.00000001,5.63914893,826.81686319,331.54398789
lagoa do piaui,1059.10602768,-,932.15959452,126.94643316
lagoa do sitio,1462.99999999,19.24279283,1379.14593374,64.61127342
lagoinha do piaui,775.00000001,10.00659974,761.47207334,3.52132693
landri sales,1575.79999998,17.89309849,1515.28707788,42.61982361
luis correia,7024.05411535,360.73444866,5587.15982923,1076.15983746
luzilandia,6499.61604632,512.393996,5341.79781548,645.42423484
madeiro,1828.00000002,183.23353341,1495.72168436,149.04478225
manoel emidio,1390.301326,3.39652441,1312.70025267,74.20454892
marcolandia,2196.50760158,-,2053.71623443,142.79136715
marcos parente,1255.21641682,42.42115109,1172.5356960000001,40.25956973
massape do piaui,1638.99999998,-,1254.63098297,384.36901701
matias olimpio,2690.0,202.35251881,2221.40456474,266.24291645
miguel alves,7699.94965297,461.02874819,5517.74971638,1721.1711884
miguel leao,334.44135391,-,298.73099182,35.71036209
milton brandao,1712.99999997,11.88035512,1488.17392792,212.94571693
monsenhor gil,2855.99999998,366.47994135,2423.21188081,66.30817782
monsenhor hipolito,2140.12709202,278.68904281,1631.0935875999999,230.34446161
monte alegre do piaui,2434.28204805,-,2183.68503459,250.59701346
morro cabeca no tempo,980.27131492,7.52825088,846.74333592,125.99972812
morro do chapeu do piaui,1671.63678384,224.10693817,1248.31434635,199.21549932
murici dos portelas,2064.02548282,-,1627.76755532,436.25792750000005
nazare do piaui,2100.99999998,10.16716683,1880.3454542,210.48737895
nazaria,2193.04613645,125.92411058,1866.41657787,200.705448
nossa senhora de nazare,1230.99999999,57.88055833,1030.28546071,142.83398095
nossa senhora dos remedios,2065.99999996,259.81930654,1377.63117201,428.54952141
nova santa rita,1136.0,173.52287979,844.98683888,117.49028133
novo oriente do piaui,1931.35352443,160.60966421,1677.24517488,93.49868534
novo santo antonio,914.0,5.61362944,805.41540287,102.97096769
oeiras,10423.55782909,1546.19829145,8231.812173999999,645.54736364
olho d'agua do piaui,756.0,209.67683606,535.43758196,10.88558198
padre marcos,2002.99603341,308.88558924,1479.84022784,214.27021633
paes landim,1079.99999999,33.05530488,955.12365283,91.82104228
pajeu do piaui,1028.95874207,139.79525879,830.63028337,58.53319991
palmeira do piaui,1309.99999999,61.27679275,1094.86955245,153.85365479
palmeirais,3777.99999997,186.52974908,3339.08676948,252.38348141
paqueta,1167.99999999,41.73612379,1020.16821193,106.09566427
parnagua,2465.72791066,45.79643328,1967.74182618,452.1896512
parnaiba,38674.50697717,7297.18940206,30467.16743107,910.15014404
passagem franca do piaui,1107.67237868,69.72220066,875.84050792,162.1096701
patos do piaui,1825.85423349,222.14164827,1408.39488637,195.31769885
pau d'arco do piaui,1029.00230934,-,828.69385844,200.3084509
