city,total,regular,military_and_gov,irregular,employers,entrepreneur
abdon batista,200,300,500,130,0,200
abelardo luz,300,302,350,151,2000,400
agrolandia,270,300,430,151,500,200
agronomica,370,340,400,151,1500,500
agua doce,280,290,310,151,1400,400
aguas de chapeco,290,260,695,100,1500,400
aguas frias,250,170,500,200,0,300
aguas mornas,302,340,300,300,1200,302
alfredo wagner,300,300,340,200,2000,350
alto bela vista,300,350,1000,180,0,300
anchieta,225,270,370,120,500,200
angelina,250,330,370,200,3000,200
anita garibaldi,170,275,302,150,1300,151
anitapolis,225,350,540,220,3000,151
antonio carlos,400,387,400,250,1000,500
apiuna,300,300,302,200,1300,300
arabuta,300,300,430,200,800,350
araquari,300,350,520,200,1500,350
ararangua,300,320,716,190,1500,302
armazem,300,280,660,240,1000,400
arroio trinta,300,302,750,151,500,250
arvoredo,200,285,320,151,1000,200
ascurra,320,320,380,280,800,400
atalanta,300,300,360,151,1500,400
aurora,380,300,430,200,10000,500
balneario arroio do silva,300,400,600,200,900,300
balneario barra do sul,302,339,700,200,1000,378
balneario camboriu,470,400,800,300,1750,600
balneario gaivota,300,300,500,200,453,300
bandeirante,200,300,245,100,29000,200
barra bonita,200,300,1300,180,2000,170
barra velha,300,315,534,220,1500,400
bela vista do toldo,200,252,240,120,0,200
belmonte,201,330,450,151,600,232
benedito novo,300,300,380,250,750,350
biguacu,400,400,600,250,1800,500
blumenau,400,400,700,300,1500,600
bocaina do sul,200,240,180,151,100,151
bom jardim da serra,200,185,550,151,1500,200
bom jesus,300,350,150,200,500,420
bom jesus do oeste,150,250,550,150,0,150
bom retiro,225,250,360,151,2000,330
bombinhas,400,350,350,300,1500,500
botuvera,350,350,400,250,1500,250
braco do norte,302,310,540,160,1500,400
braco do trombudo,329,380,407,180,1600,250
brunopolis,200,200,300,151,0,250
brusque,412,400,480,300,1500,520
cacador,300,310,543,200,2000,350
caibi,300,300,501,151,1000,300
calmon,205,237,284,150,700,151
camboriu,350,350,350,250,1500,400
campo alegre,300,300,306,200,1000,250
campo belo do sul,165,225,330,150,1500,150
campo ere,250,300,400,151,1000,300
campos novos,300,312,438,151,1000,350
canelinha,300,320,442,220,1000,350
canoinhas,290,300,700,151,1000,300
capao alto,200,250,200,151,71,185
capinzal,300,320,650,140,1500,340
capivari de baixo,300,304,380,200,1000,400
catanduvas,300,286,458,151,1400,380
caxambu do sul,300,300,350,100,500,335
celso ramos,151,300,270,150,800,100
cerro negro,180,250,440,151,100,150
chapadao do lageado,300,220,229,90,0,300
chapeco,330,350,600,151,1500,400
cocal do sul,400,430,452,200,1000,400
concordia,340,342,430,180,1000,400
cordilheira alta,290,300,391,151,1500,300
coronel freitas,300,302,468,151,700,300
coronel martins,350,300,550,151,0,400
correia pinto,300,350,230,180,1500,300
corupa,350,354,500,200,1000,450
criciuma,400,400,587,250,1500,500
cunha pora,245,302,350,151,1200,215
cunhatai,300,170,550,151,0,400
curitibanos,300,300,600,151,1500,400
descanso,250,300,400,150,800,300
dionisio cerqueira,200,280,700,151,1000,200
dona emma,275,280,280,240,13000,300
doutor pedrinho,300,300,600,240,1000,420
entre rios,200,200,450,151,0,200
ermo,300,300,275,160,400,300
erval velho,280,300,300,151,480,300
faxinal dos guedes,302,336,380,150,1000,500
flor do sertao,150,350,218,150,3500,150
florianopolis,500,500,1050,300,2000,600
formosa do sul,270,300,600,100,10000,250
forquilhinha,350,350,620,200,2000,480
fraiburgo,250,270,301,151,1000,280
frei rogerio,170,236,413,170,0,151
galvao,240,258,400,151,3000,300
garopaba,300,300,600,200,1000,350
garuva,300,300,500,200,2000,302
gaspar,380,380,500,280,1500,500
governador celso ramos,320,352,330,200,1300,380
grao para,302,302,300,200,3000,400
gravatal,300,300,450,220,822,300
guabiruba,400,400,400,250,1500,400
guaraciaba,300,250,500,151,600,300
guaramirim,380,400,350,250,1000,430
guaruja do sul,225,272,390,151,2000,220
guatambu,250,300,480,150,500,200
herval d'oeste,306,340,600,151,1700,400
ibiam,200,300,385,150,500,200
ibicare,350,302,800,151,1100,500
ibirama,300,300,600,250,800,350
icara,320,360,450,230,1000,300
ilhota,302,350,340,250,1200,400
imarui,210,250,240,151,1000,200
imbituba,300,400,600,170,1000,350
imbuia,399,300,430,200,1200,500
indaial,350,350,500,280,1500,450
iomere,333,302,252,180,1000,400
ipira,301,350,673,151,450,300
ipora do oeste,260,302,375,151,800,300
ipuacu,243,300,299,150,1000,260
ipumirim,300,280,543,150,1000,300
iraceminha,200,200,380,100,1000,200
irani,280,300,310,130,1000,300
irati,300,250,430,230,0,300
irineopolis,260,300,230,151,1000,300
ita,300,400,360,151,800,300
itaiopolis,200,260,236,151,500,151
itajai,400,400,600,280,1500,500
itapema,400,380,380,300,1500,500
itapiranga,280,298,450,150,800,300
itapoa,300,360,670,200,1200,375
ituporanga,340,302,480,200,1000,500
jabora,302,360,420,150,500,400
jacinto machado,270,300,400,151,600,300
jaguaruna,300,300,450,200,1000,300
jaragua do sul,440,430,490,250,1200,500
jardinopolis,240,290,371,90,1200,300
joacaba,400,400,780,200,1500,400
joinville,450,450,700,250,1500,500
jose boiteux,350,300,300,250,1200,500
jupia,200,330,310,80,3300,300
lacerdopolis,450,330,380,170,1600,1200
lages,305,339,520,180,1600,400
laguna,300,300,600,200,1000,300
lajeado grande,300,209,500,150,1500,600
laurentino,350,330,420,200,1500,400
lauro muller,350,380,468,200,1000,395
