city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
monte carlo,2370,8,47,1586,172,558
monte castelo,1777,27,121,806,156,667
morro da fumaca,4618,108,146,3353,79,932
morro grande,573,4,55,232,34,249
navegantes,10507,134,689,5833,696,3154
nova erechim,946,16,83,548,111,188
nova itaberaba,453,0,6,128,116,203
nova trento,2913,75,86,2088,145,519
nova veneza,3684,141,156,2532,68,786
novo horizonte,289,5,45,57,65,116
orleans,5876,147,271,3920,145,1393
otacilio costa,4069,35,343,2684,249,759
ouro,1698,30,143,1193,89,243
ouro verde,396,0,61,224,62,49
paial,179,0,23,26,31,99
painel,492,9,18,255,75,136
palhoca,30613,1748,1757,17957,2886,6265
palma sola,1463,9,159,787,160,348
palmeira,550,0,18,293,57,183
palmitos,2900,44,232,1397,116,1111
papanduva,3469,117,265,1793,193,1101
paraiso,526,10,69,174,103,170
passo de torres,975,40,105,363,119,347
passos maia,1082,11,49,482,209,332
paulo lopes,1527,83,70,756,201,417
pedras grandes,934,17,32,495,30,360
penha,4599,182,279,2726,77,1335
peritiba,551,21,33,285,38,173
petrolandia,965,14,57,389,176,330
picarras,2688,82,272,1323,204,806
pinhalzinho,3658,79,408,2403,286,481
pinheiro preto,947,15,63,460,58,350
piratuba,2049,19,53,1712,30,235
planalto alegre,416,0,14,249,51,102
pomerode,8878,203,176,7333,298,868
ponte alta,1174,10,63,666,130,305
ponte alta do norte,898,3,21,715,42,117
ponte serrada,2788,39,202,1718,262,567
porto belo,2915,66,198,1570,254,827
porto uniao,8658,379,552,5484,540,1703
pouso redondo,2763,71,156,1778,121,636
praia grande,1494,26,134,664,222,448
presidente castelo branco,311,8,38,101,21,141
presidente getulio,4065,84,180,3003,314,484
presidente nereu,324,0,26,101,57,140
princesa,175,0,21,47,5,102
quilombo,2234,25,197,1069,322,620
rancho queimado,553,54,60,179,80,180
rio das antas,1414,22,129,605,226,433
rio do campo,1379,28,92,684,141,435
rio do oeste,1292,23,51,723,154,341
rio do sul,16948,557,729,12554,732,2375
rio dos cedros,2612,55,63,2183,4,307
rio fortuna,703,25,19,447,91,121
rio negrinho,12022,308,386,9569,423,1335
rio rufino,463,3,76,112,81,192
riqueza,754,7,65,390,84,208
rodeio,4026,33,60,3534,108,290
romelandia,694,5,92,303,125,169
salete,1972,28,59,1438,160,287
saltinho,520,6,61,191,43,220
salto veloso,1160,3,69,759,49,280
sangao,2256,19,54,1367,28,787
santa cecilia,4375,71,252,2496,355,1200
santa helena,289,0,36,112,69,72
santa rosa de lima,287,17,13,122,25,111
santa rosa do sul,1573,8,117,554,157,737
santa terezinha,832,19,110,330,155,219
santa terezinha do progresso,207,0,32,73,27,75
santiago do sul,177,0,32,58,15,72
santo amaro da imperatriz,4670,262,356,2520,369,1163
sao bento do sul,23473,328,1020,18731,981,2414
sao bernardino,268,8,30,105,47,78
sao bonifacio,564,13,56,273,76,145
sao carlos,2018,34,184,885,189,726
sao cristovao do sul,1232,2,53,786,80,310
sao domingos,2001,30,295,819,229,627
sao francisco do sul,8434,250,673,4836,599,2077
sao joao batista,5080,42,210,2945,285,1598
sao joao do itaperiu,693,7,78,342,36,230
sao joao do oeste,654,26,28,353,117,129
sao joao do sul,1061,18,62,322,107,552
sao joaquim,6369,209,633,3429,482,1616
sao jose,57929,2112,2103,37354,6540,9819
sao jose do cedro,3057,46,318,1402,498,792
sao jose do cerrito,1923,23,171,669,201,858
sao lourenco do oeste,5368,101,513,3132,328,1293
sao ludgero,2745,53,123,2078,137,354
sao martinho,516,5,12,283,29,186
sao miguel da boa vista,134,0,32,9,72,20
sao miguel do oeste,9982,354,858,5522,1090,2157
sao pedro de alcantara,1086,90,67,569,193,168
saudades,1729,48,114,1075,142,350
schroeder,4045,69,118,3452,76,330
seara,4827,86,172,3279,387,902
serra alta,660,12,112,313,99,124
sideropolis,3537,56,183,2303,144,851
sombrio,6643,121,356,3421,271,2475
sul brasil,222,8,12,104,39,59
taio,4255,74,341,2577,497,766
tangara,1832,47,104,976,290,415
tigrinhos,219,0,19,7,68,125
tijucas,6497,131,374,4127,390,1474
timbe do sul,1138,16,95,335,195,496
timbo,11334,298,263,9271,307,1195
timbo grande,1470,19,69,751,190,441
tres barras,4246,69,479,2928,166,604
treviso,895,9,53,655,0,178
treze de maio,1718,12,51,1079,45,530
treze tilias,1371,55,116,873,28,298
trombudo central,1510,70,117,958,88,277
tubarao,27111,780,1151,17278,1636,6266
tunapolis,1136,9,76,279,148,623
turvo,2839,65,233,1463,199,879
uniao do oeste,516,0,25,199,125,166
urubici,2310,35,258,723,321,973
urupema,349,0,20,81,116,132
urussanga,5721,112,237,3638,352,1382
vargeao,883,11,89,422,65,295
vargem,408,4,18,198,38,149
vargem bonita,1470,11,74,1021,73,291
vidal ramos,923,32,79,299,142,371
videira,14457,513,773,10672,452,2047
vitor meireles,880,11,44,375,151,300
witmarsum,562,0,59,256,39,209
xanxere,11385,468,1082,6405,817,2614
xavantina,644,15,81,167,134,247
xaxim,6674,119,469,4339,345,1403
zortea,920,0,51,686,34,149
