city,total
abaira,3394
abare,4829
acajutiba,4795
adustina,5409
agua fria,4346
aiquara,1729
alagoinhas,44335
alcobaca,7631
almadina,2582
amargosa,10617
amelia rodrigues,7903
america dourada,5987
anage,11609
andarai,4320
andorinha,6144
angical,5287
anguera,2715
antas,5838
antonio cardoso,3807
antonio goncalves,3527
apora,6166
apuarema,2566
aracas,3417
aracatu,5795
araci,16470
aramari,2828
arataca,3847
aratuipe,2664
aurelino leal,5287
baianopolis,4657
baixa grande,6713
banzae,4147
barra,14540
barra da estiva,8716
barra do choca,15113
barra do mendes,4822
barra do rocha,2826
barreiras,49664
barro alto,4769
barro preto,2848
belmonte,6808
belo campo,6580
biritinga,4598
boa nova,7653
boa vista do tupim,6332
bom jesus da lapa,18951
bom jesus da serra,3642
boninal,4196
bonito,4414
boquira,7662
botupora,4372
brejoes,4995
brejolandia,3594
brotas de macaubas,4597
brumado,24155
buerarema,6549
buritirama,6363
caatiba,5964
cabaceiras do paraguacu,4768
cachoeira,9685
cacule,7777
caem,4662
caetanos,4726
caetite,16780
cafarnaum,6064
cairu,3931
caldeirao grande,4174
camacan,10618
camacari,58171
camamu,11009
campo alegre de lourdes,11168
campo formoso,23419
canapolis,3649
canarana,8773
canavieiras,11753
candeal,3217
candeias,26999
candiba,4880
candido sales,11325
cansancao,11995
canudos,5113
capela do alto alegre,4720
capim grosso,9054
caraibas,6167
caravelas,7516
cardeal da silva,2310
carinhanha,9346
casa nova,20774
castro alves,8049
catolandia,1136
catu,16122
caturama,3163
central,6429
chorrocho,3654
cicero dantas,12666
cipo,4821
coaraci,8942
cocos,6749
conceicao da feira,5375
conceicao do almeida,6273
conceicao do coite,21252
conceicao do jacuipe,8574
conde,6463
condeuba,6909
contendas do sincora,1429
coracao de maria,7040
cordeiros,3082
coribe,5985
coronel joao sa,7643
correntina,11202
cotegipe,4652
cravolandia,1641
crisopolis,7057
cristopolis,4563
cruz das almas,17515
curaca,10203
dario meira,5081
dias d'avila,16019
dom basilio,4131
dom macedo costa,1255
elisio medrado,2861
encruzilhada,12971
entre rios,12477
erico cardoso,4417
esplanada,8381
euclides da cunha,19430
eunapolis,30275
fatima,7515
feira da mata,2439
feira de santana,167915
filadelfia,6187
firmino alves,1830
floresta azul,4046
formosa do rio preto,5527
gandu,9571
gaviao,1737
gentio do ouro,3800
gloria,5598
gongogi,3323
governador mangabeira,5271
guajeru,5100
guanambi,27473
guaratinga,9044
heliopolis,5033
iacu,9070
ibiassuce,5096
ibicarai,10140
ibicoara,5131
ibicui,5240
ibipeba,6150
ibipitanga,4784
ibiquera,1567
ibirapitanga,7046
ibirapua,2679
ibirataia,8545
ibitiara,5153
ibitita,7348
ibotirama,8431
ichu,1968
igapora,5691
igrapiuna,4937
iguai,9922
ilheus,77115
inhambupe,9600
ipecaeta,6287
ipiau,14917
ipira,21076
ipupiara,3200
irajuba,2133
iramaia,5504
iraquara,6254
irara,7364
irece,22299
itabela,9236
itaberaba,20427
itabuna,68445
itacare,6030
itaete,4510
itagi,4979
itagiba,5952
itagimirim,2849
itaguacu da bahia,4045
itaju do colonia,3026
itajuipe,7684
itamaraju,23460
itamari,2909
itambe,10880
itanagra,1973
itanhem,8131
itaparica,6273
itape,4987
itapebi,3887
itapetinga,20858
itapicuru,9181
itapitanga,3529
itaquara,2860
itarantim,6145
itatim,4654
itirucu,4440
itiuba,12588
itororo,7337
ituacu,6255
itubera,7959
iuiu,3780
jaborandi,3803
jacaraci,5355
jacobina,28261
jaguaquara,16591
jaguarari,10965
jaguaripe,4330
jandaira,3197
jequie,51113
jeremoabo,13121
jiquirica,4898
jitauna,7531
joao dourado,6838
juazeiro,64578
jucurucu,4465
jussara,5901
jussari,2668
jussiape,3356
lafaiete coutinho,1562
lagoa real,4496
laje,6942
lajedao,1332
lajedinho,1515
lajedo do tabocal,2795
lamarao,2733
lapao,9582
lauro de freitas,41690
lencois,2630
licinio de almeida,4735
livramento de nossa senhora,14520
macajuba,3586
macarani,5055
macaubas,15623
macurure,3021
madre de deus,4426
maetinga,5118
maiquinique,2858
mairi,7244
malhada,5078
malhada de pedras,3388
manoel vitorino,6084
mansidao,3632
maracas,10591
maragogipe,13042
marau,6588
marcionilio souza,3641
mascote,5460
mata de sao joao,10556
matina,3754
medeiros neto,7973
miguel calmon,9713
milagres,3904
mirangaba,5061
mirante,4610
monte santo,20238
morpara,3109
morro do chapeu,12313
mortugaba,4866
mucuge,4283
mucuri,10679
mulungu do morro,5319
mundo novo,7411
muniz ferreira,2322
muquem de sao francisco,3142
muritiba,9830
mutuipe,7422
nazare,8422
nilo pecanha,3965
nordestina,4004
nova canaa,6139
nova fatima,3037
nova ibia,2858
nova itarana,2123
nova redencao,2925
nova soure,8405
nova vicosa,11907
novo horizonte,3403
novo triunfo,5920
olindina,8661
oliveira dos brejinhos,7128
ouricangas,2273
ourolandia,5853
palmas de monte alto,7360
palmeiras,2499
paramirim,7185
paratinga,9098
paripiranga,10677
pau brasil,4419
paulo afonso,37224
pe de serra,5056
pedrao,2038
pedro alexandre,6066
piata,7024
pilao arcado,11152
pindai,5861
pindobacu,7528
pintadas,4034
pirai do norte,3739
piripa,5587
piritiba,6648
planaltino,2881
planalto,8044
pocoes,16390
pojuca,8772
ponto novo,5977
porto seguro,36056
potiragua,4373
prado,9757
presidente dutra,5602
presidente janio quadros,6418
presidente tancredo neves,6880
queimadas,9009
quijingue,9655
quixabeira,3834
rafael jambeiro,7623
remanso,13746
retirolandia,4219
riachao das neves,7592
riachao do jacuipe,12023
riacho de santana,10649
ribeira do amparo,4702
ribeira do pombal,16902
ribeirao do largo,5656
rio de contas,5324
rio do antonio,5871
rio do pires,4688
rio real,11774
rodelas,2424
ruy barbosa,9350
salinas da margarida,3194
salvador,845218
santa barbara,5683
santa brigida,6076
santa cruz cabralia,9064
santa cruz da vitoria,2512
santa ines,3711
santa luzia,5295
santa maria da vitoria,14808
santa rita de cassia,7970
santa teresinha,2938
santaluz,11249
santana,9244
santanopolis,2660
santo amaro,18504
santo antonio de jesus,27643
santo estevao,13318
sao desiderio,6812
sao domingos,3537
sao felipe,6603
sao felix,4455
sao felix do coribe,4389
sao francisco do conde,8290
sao gabriel,7002
sao goncalo dos campos,8510
sao jose da vitoria,2084
sao jose do jacuipe,3404
sao miguel das matas,3626
sao sebastiao do passe,13174
sapeacu,5175
satiro dias,6292
saubara,3507
saude,4269
seabra,14562
sebastiao laranjeiras,3551
senhor do bonfim,24912
sento se,11897
serra do ramalho,11723
serra dourada,6758
serra preta,5912
serrinha,28822
serrolandia,4948
simoes filho,32933
sitio do mato,3873
sitio do quinto,7223
sobradinho,7538
souto soares,5517
tabocas do brejo velho,4761
tanhacu,7562
tanque novo,6650
tanquinho,2407
taperoa,5417
tapiramuta,5660
teixeira de freitas,40845
teodoro sampaio,2478
teofilandia,6620
teolandia,4417
terra nova,3893
tremedal,7858
tucano,17637
uaua,9935
ubaira,7505
ubaitaba,7278
ubata,6934
uibai,5167
umburanas,5368
una,11631
urandi,5839
urucuca,6745
utinga,5720
valenca,27779
valente,7739
varzea da roca,5133
varzea do poco,3111
varzea nova,5069
varzedo,3157
vera cruz,10261
vereda,2863
vitoria da conquista,98814
wagner,2995
wanderley,5064
wenceslau guimaraes,8056
xique-xique,14623
