city,quantity
afonso claudio,7895
agua doce do norte,3810
aguia branca,2461
alegre,9328
alfredo chaves,3532
alto rio novo,1979
anchieta,6920
apiaca,2107
aracruz,23049
atilio vivacqua,2436
baixo guandu,7851
barra de sao francisco,10418
boa esperanca,4326
bom jesus do norte,2833
brejetuba,2427
cachoeiro de itapemirim,50791
cariacica,98714
castelo,8392
colatina,31718
conceicao da barra,9613
conceicao do castelo,2832
divino de sao lourenco,1108
domingos martins,6967
dores do rio preto,1590
ecoporanga,7754
fundao,3915
guacui,7034
guarapari,26662
ibatiba,4575
ibiracu,3414
ibitirama,2054
iconha,2990
irupi,2371
itaguacu,3808
itapemirim,7430
itarana,2801
iuna,6005
jaguare,5698
jeronimo monteiro,2780
joao neiva,4779
laranja da terra,2532
linhares,37756
mantenopolis,3173
marataizes,8604
marechal floriano,3119
marilandia,2482
mimoso do sul,7305
montanha,5342
mucurici,1948
muniz freire,5033
muqui,4022
nova venecia,13087
pancas,4989
pedro canario,7170
pinheiros,6693
piuma,4503
ponto belo,2053
presidente kennedy,2896
rio bananal,4079
rio novo do sul,2977
santa leopoldina,2994
santa maria de jetiba,6033
santa teresa,5383
sao domingos do norte,2018
sao gabriel da palha,6745
sao jose do calcado,2951
sao mateus,30515
sao roque do canaa,2688
serra,107215
sooretama,5320
vargem alta,4285
venda nova do imigrante,4725
viana,16781
vila pavao,2268
vila valerio,3366
vila velha,108823
vitoria,103374
