city,total,adequada,semi_adequada,inadequada
porto esperidiao,3186.28977487,81.00645339,2844.04494308,261.2383784
porto estrela,1119,174.3785516,875.59849197,69.02295643
poxoreo,5646.89010755,1549.56445726,3922.72507098,174.60057931
primavera do leste,15666.87099121,4367.31422703,11194.86608268,104.6906815
querencia,3660.00000001,50.50905738,3391.01982854,218.47111409
reserva do cabacal,821.59940318,79.9411085,705.21748701,36.44080767
ribeirao cascalheira,2688.90174902,658.55378282,1927.1124339,103.2355323
ribeiraozinho,742.19900102,215.19805324,519.99825924,7.00268854
rio branco,1684.29058263,24.00953627,1634.9338474,25.34719896
rondolandia,971.50031163,-,797.69123056,173.80908107
rondonopolis,61400.83197023,25126.62812305,36084.60197102,189.60187616
rosario oeste,5184.2638943,530.44094763,4261.77715208,392.04579459
salto do ceu,1284.66609232,11.18791922,1194.87096681,78.60720629
santa carmem,1173.26537646,44.8987252,1108.87668525,19.48996601
santa cruz do xingu,606.00000001,141.65439184,429.16104677,35.1845614
santa rita do trivelato,716.00000002,14.61665162,664.67975727,36.70359113
santa terezinha,2034.7049895,516.67747905,1358.35644659,159.67106386
santo afonso,1009.69832598,80.93841869,871.75555139,57.0043559
santo antonio do leste,1015.62208169,21.58557513,910.54650488,83.49000168
santo antonio do leverger,5565.11551796,379.48237524,4579.41509825,606.21804447
sao felix do araguaia,3296.00000001,342.94579887,2680.65664418,272.39755696
sao jose do povo,1151.67656081,66.3914319,1058.3681389,26.91699001
sao jose do rio claro,4930.2453173,79.11809035,4669.2848881,181.84233885
sao jose do xingu,1518.76678913,23.01412786,1439.52656675,56.22609452
sao jose dos quatro marcos,6111.99999999,986.23890445,4997.22900298,128.53209256
sao pedro da cipa,1294.02882987,45.45404922,1237.66370935,10.9110713
sapezal,5375.69024018,1338.39433403,3985.92862659,51.36727956
serra nova dourada,438.99999999,30.99423769,378.99417796,29.01158434
sinop,33994.51774551,2638.20634174,31145.57321957,210.7381842
sorriso,19872.12533837,1963.6315688,17803.60328659,104.89048298
tabapora,3080.09799395,113.23400847,2886.44983114,80.41415434
tangara da serra,25581.29957354,8335.05470293,16890.27236883,355.97250178
tapurah,2610.6372071,426.38965434,2065.50391695,118.74363581
terra nova do norte,3568.38093242,170.54033833,3278.67407639,119.1665177
tesouro,1125.00000003,78.93849406,980.94056361,65.12094236
torixoreu,1448.14515172,297.88424144,1133.90633499,16.35457529
uniao do sul,1148.99999999,5.98795143,1114.99973372,28.01231484
vale de sao domingos,961.99999999,1.68396487,895.04035317,65.27568195
varzea grande,74591.77378607,24919.93152511,49285.98363308,385.85862788
vera,2981.60706108,40.00891547,2774.41053349,167.18761212
vila bela da santissima trindade,3997.48165016,79.28692345,3318.36071099,599.83401572
vila rica,6090.94824345,153.90220568,5671.61824873,265.42778904
