city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
fartura do piaui,35.04,33.07,16.1,7.27,39.19,35.92,62.53,66.67
francinopolis,44.02,34.26,22.26,6.54,45.61,32.02,79.25,74.34
francisco santos,35.84,27.99,16.89,5.98,40.09,28.35,65.24,61.26
geminiano,46.24,34.95,24.46,5.86,50.49,36.64,75.76,74.88
ilha grande,36.77,26.74,17.3,7.97,39.55,25.44,67.6,60.95
ipiranga do piaui,31.41,22.68,10.49,3.59,33.45,20.85,67.07,56.82
isaias coelho,39.45,34.79,19.88,10.41,45.76,37.66,62.07,68.15
jacobina do piaui,44.82,36.28,27.53,9.89,49.1,41.37,68.17,66.67
joca marques,46.38,38.44,30.19,10.45,49.56,44.62,79.82,81.92
julio borges,22.57,18.16,7.96,4.34,21.28,16.94,61.72,46.32
lagoa alegre,43.5,31.89,16.71,5.76,50.25,33.55,79.64,71.95
lagoa de sao francisco,45.85,33.64,26.08,6.77,51.16,35.63,74.39,71.82
landri sales,29.05,26.59,12.88,8.04,29.45,23.96,59.03,55.85
madeiro,47.4,33.11,29.48,7.59,52.15,38.44,81.12,76.87
manoel emidio,35.84,24.18,17.83,4.39,38.54,23.06,70.81,60.99
marcolandia,41.43,34.12,26.6,12.72,43.5,36.38,72.63,73.31
massape do piaui,55.12,43.42,36.03,11.41,61.95,46.58,74.96,74.49
milton brandao,50.92,37.21,26.69,7.7,58.87,42.88,77.37,72.12
monsenhor hipolito,42.28,34.83,21.8,9.1,46.85,36.38,72.73,67.42
morro do chapeu do piaui,46.8,35.48,26.11,6.88,54.32,40.54,81.36,77.54
murici dos portelas,54.41,39.4,33.55,11.38,63.67,45.33,81.34,75.38
nazare do piaui,37.94,31.15,17.31,5.15,40.31,30.48,70.53,66.89
nazaria,-,30.57,-,5.33,-,31.74,-,68.32
nossa senhora dos remedios,46.85,36.1,26.2,8.56,53.76,41.71,76.06,74.9
novo oriente do piaui,37.9,32.84,18.55,7.7,39.49,30.69,70.72,68.72
padre marcos,47.28,41.09,26.09,6.58,52.02,44.44,72.29,76.69
patos do piaui,48.83,39.39,22.39,8.87,55.33,40.89,72.63,71.69
queimada nova,40.09,31.3,17.48,6.55,44.13,33.31,70.39,66.87
redencao do gurgueia,31.7,21.78,12.33,3.28,37.89,22.99,71.71,58.55
ribeiro goncalves,27.97,22.83,13.79,7.75,28.79,24.35,62.99,51.83
rio grande do piaui,35.26,29.77,21.47,7.03,34.51,29.49,68.24,60.35
santa cruz do piaui,36.43,35.88,16.51,9.6,39.4,35.09,69.93,71.46
santa filomena,35.01,24.39,18.51,6.99,38.92,26.6,65.02,56.67
santa luz,30.74,26.42,12.58,4.43,34.44,26.69,68.48,62.89
santa rosa do piaui,35.44,31.65,13.23,6.56,39.65,31.16,71.82,69.45
santo antonio de lisboa,33.81,28.57,18.91,8.52,34.48,28.19,60.66,56.74
sao francisco de assis do piaui,43.9,38.95,25.65,12.59,48.55,42.8,71.38,72.68
sao francisco do piaui,38.92,32.1,17.9,5.42,41.03,31.06,71.45,69.93
sao joao da fronteira,47.41,36.99,27.09,8.69,52.36,39.15,76.19,77.5
sao joao da serra,44.03,38.26,20.84,10.31,49.45,37.86,75.23,71.72
sao joao do arraial,44.68,36.29,24.16,8.84,52.07,41.27,67.46,70.8
sao jose do divino,43.42,36.09,25.1,9.63,48.82,40.81,69.92,74.05
sao jose do piaui,43.89,37.91,24.43,11.79,47.87,38.51,73.84,69.72
sao juliao,43.92,38.71,21.01,11.69,47.71,39.57,74.65,71.54
sigefredo pacheco,41.92,33.77,18.21,6.88,45.73,34.73,80.31,69.17
sussuapara,37.72,30.36,18.26,5.45,39.33,28.19,69.16,68.03
de 10.001 a 20.000 ,37.86,29.4,19.91,7.06,40.54,30.3,68.78,63.21
agua branca,30.7,24.14,11.42,5.44,31.58,21.16,65.86,59.52
alto longa,45.91,32.83,22.76,4.94,50.93,33.71,75.17,67.68
amarante,35.35,27.95,18.32,6.83,36.97,26.78,64.03,58.65
avelino lopes,30.26,23.12,15.21,6.71,31.49,22.87,62.27,48.62
baixa grande do ribeiro,37.22,20.62,21.08,5.36,40.04,22.22,78.34,62.87
buriti dos lopes,40.84,29.63,21.65,6.78,46.34,31.86,67.87,64.46
capitao de campos,38.37,31.42,19.59,5.83,41.79,32.65,69.86,68.35
caracol,42.07,35.33,27.98,11.73,45.85,40.44,66.52,65.91
castelo do piaui,39.02,28.43,18.57,5.74,41.25,27.47,73.37,63.19
curimata,22.46,18.46,10.19,4.02,22.93,18.33,51.19,45.57
demerval lobao,33.5,25.45,12.6,5.88,35.42,22.33,73.67,64.63
elesbao veloso,39.57,35.87,16.49,7.3,41.48,33.83,73.36,74.68
fronteiras,39.7,29.05,19.09,6.03,42.25,29.91,71.47,62.91
gilbues,30.71,23.0,16.31,7.24,32.69,23.89,62.03,53.56
guadalupe,24.14,18.79,11.24,4.68,23.57,17.51,57.21,48.77
inhuma,36.01,27.35,18.13,4.23,37.92,27.96,66,57.21
itainopolis,45.04,37.54,23.98,5.95,48.91,39.35,68.95,67.31
itaueira,33.6,27.8,18.08,7.21,34.75,27.15,65.22,58.75
jaicos,46.88,38.67,29,12.06,52.15,41.39,69.29,70.79
joaquim pires,47.2,36.31,28.6,8.93,52.55,41.38,76.59,74.93
matias olimpio,46.34,34.28,29.43,10.48,51.32,38.4,69.48,67.32
monsenhor gil,33.68,24.74,9.89,3.25,37.03,21.85,74.37,63.91
monte alegre do piaui,34.84,23.7,18.6,5.08,37.56,25.82,68.21,57.38
palmeirais,41.21,31.85,24.03,8.29,43.28,32.86,67.53,65.06
parnagua,31.55,25.96,16.11,7.05,34.6,29.02,63.96,59.75
paulistana,40.02,30.1,24.27,9.25,43.73,32.41,64.9,57.83
pimenteiras,45.71,34.71,27.18,9.05,49.21,35.36,77.11,70.64
pio ix,46.01,31.2,27.48,6.51,49.57,33.86,72.95,67.08
