city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
piaui,49.46,33.78,42.31,25.81,28.74,13.85
ate 5.000 ,58.16,39.12,64.39,36.25,41.78,18.06
antonio almeida,39.72,33.45,34.72,18.51,18.89,9.61
aroeiras do itaim,-,54.39,-,30.99,-,16.96
arraial,61.22,41.63,66.34,29.19,48.75,14.25
barra d'alcantara,60.54,36.87,48.94,7.26,31.33,4.19
barreiras do piaui,33.91,36.06,55.87,21.21,23.91,12.42
bela vista do piaui,30.3,32.4,70.86,8.1,26.57,5.31
belem do piaui,66.77,40.68,77.1,27.46,55.81,17.97
bocaina,45.06,29.81,37.35,5.13,21.93,1.92
brejo do piaui,64.3,41.71,71.23,57.51,49.74,29.53
cajazeiras do piaui,60.06,38.3,63.96,29.82,44.14,13.74
campo alegre do fidalgo,63.33,44.53,87.24,71.26,60.42,39.68
canavieira,45.94,35.04,40.4,35.52,22.97,17.27
capitao gervasio oliveira,56.7,42.34,93.06,61.0,54.31,33.73
caridade do piaui,62.61,42.67,86.77,48.57,55.91,26.1
cocal de telha,60.3,44.79,57.09,26.63,35.92,16.22
coivaras,61.29,42.56,63.82,44.62,44.47,23.33
conceicao do caninde,57.9,40.05,40.28,33.93,29.65,18.62
coronel jose dias,54.42,29.19,83.39,44.67,50.35,17.26
currais,60.92,41.0,78.84,40.33,50.34,18.17
curral novo do piaui,71.6,54.25,99.4,64.22,71.15,41.67
curralinhos,60.76,40.38,69.01,14.74,44.27,8.12
domingos mourao,64.28,47.49,70.28,44.29,48.76,26.03
eliseu martins,45.09,26.65,31.03,13.67,17.19,4.33
flores do piaui,58.48,37.02,56.71,26.6,39.58,12.77
floresta do piaui,64.34,50.78,75.87,25.91,51.05,17.1
francisco ayres,57.97,39.66,60.69,24.76,38.95,11.06
francisco macedo,65.79,41.47,82.89,48.45,58.88,22.87
guaribas,84.8,43.15,99.43,50.4,84.23,27.42
hugo napoleao,56.96,39.89,14.55,11.24,10.4,3.65
jardim do mulato,53.12,40.09,53.12,17.02,32.8,7.69
jatoba do piaui,53.59,47.12,78.27,49.04,45.99,26.68
jerumenha,41.3,34.4,49,26.54,27.42,14.25
joao costa,51.37,32.99,85.71,55.56,46.5,25.35
juazeiro do piaui,63.02,38.34,92.45,32.02,60.25,16.4
jurema,60.08,41.94,91.7,43.44,57.51,20.0
lagoa do barro do piaui,56.78,35.19,88.98,79.63,54.07,33.56
lagoa do piaui,54.07,37.66,81.54,48.85,47.25,21.63
lagoa do sitio,62.96,45.61,39.96,21.44,29.63,11.5
lagoinha do piaui,46.73,34.22,27.45,1.52,15.69,0.38
marcos parente,46.34,33.26,23.26,7.94,16.32,2.79
miguel leao,46.79,43.07,57.8,28.47,30.73,11.68
morro cabeca no tempo,45.98,40.13,99.44,51.63,45.84,24.3
nossa senhora de nazare,49.04,38.3,57.45,49.61,30.05,23.65
nova santa rita,60.5,36.67,84.88,44.56,53.38,20.9
novo santo antonio,63.94,45.17,92.58,48.62,61.13,28.97
olho d'agua do piaui,56.03,31.19,32.47,7.12,19.83,4.07
paes landim,54.61,41.1,50.28,33.7,32.02,16.71
pajeu do piaui,50.84,38.38,63.76,35.35,37.36,22.56
palmeira do piaui,56.74,30.25,54.51,34.78,35.48,13.77
paqueta,71.13,50.15,44.89,27.33,34.86,14.11
passagem franca do piaui,68.58,60.56,57.64,45.27,44.27,35.21
pau d'arco do piaui,-,47.85,-,70.89,-,40.76
pavussu,64.92,43.31,62.39,48.59,46.47,28.52
pedro laurentino,35.85,25.25,77.74,7.87,31.32,4.26
porto alegre do piaui,46.31,37.32,46.61,16.55,24.19,9.86
prata do piaui,60.49,45.36,43.66,16.07,29.02,10.36
riacho frio,48.41,27.97,62.65,45.21,36.35,18.58
ribeira do piaui,68.88,38.0,67.45,20.67,49.28,9.33
santa cruz dos milagres,47.93,41.78,48.18,28.98,26.76,13.32
santana do piaui,61.17,35.27,17.48,3.94,15.73,2.09
santo antonio dos milagres,53.26,28.06,21.01,53.75,13.04,18.97
santo inacio do piaui,54.86,27.39,52.12,10.56,34.66,4.95
sao braz do piaui,53.22,29.81,96.87,74.53,52.3,27.1
sao felix do piaui,50.15,34.82,34.12,29.15,21.66,17.41
sao goncalo do gurgueia,48.03,37.62,61.15,45.45,30.97,21.0
sao goncalo do piaui,44.39,36.75,5.61,3.82,3.47,1.41
sao joao da canabrava,60.18,43.61,45.32,10.53,30.83,6.77
sao joao da varjota,65.02,44.6,44.03,62.67,30.72,33.99
sao jose do peixe,53.62,39.14,52.25,29.76,33.66,17.16
sao lourenco do piaui,41,28.73,95.61,68.51,41,23.48
sao luis do piaui,70.28,43.93,61.61,3.35,47.99,2.51
sao miguel da baixa grande,67.09,48.3,50,35.8,41.03,25.0
sao miguel do fidalgo,56.7,49.11,65.63,35.21,41.74,20.71
sebastiao barros,46.94,33.93,87.28,61.83,43.8,24.55
sebastiao leal,45.06,26.74,71.19,26.97,35.39,7.87
socorro do piaui,59.41,35.19,68,43.06,46.22,20.14
tamboril do piaui,62.43,35.99,52.82,42.56,39.27,20.07
tanque do piaui,53.29,32.68,79.24,5.06,44.98,0.39
varzea branca,61.25,39.69,99.87,77.8,61.25,35.36
varzea grande,53.01,36.96,37.03,13.59,25.19,4.35
vera mendes,73.03,42.31,78.48,29.23,61.52,14.62
vila nova do piaui,52.96,38.74,79.15,40.54,45.35,14.86
wall ferraz,63.23,42.79,66.45,70.02,45.59,31.58
de 5.001 a 10.000 ,59.26,43.3,62.68,37.91,42.66,20.71
acaua,49.72,36.36,85.36,73.79,43.92,31.82
agricolandia,48.85,30.82,31.15,3.02,16.79,1.72
alagoinha do piaui,69.52,52.19,73.8,52.66,58.11,31.35
alegrete do piaui,69.59,44.38,52.73,9.41,40.99,6.34
alvorada do gurgueia,58.19,28.13,52.99,18.75,35.68,6.58
angical do piaui,39.04,28.52,6.4,5.17,2.71,2.67
anisio de abreu,57.45,34.64,80,35.05,50.71,15.91
aroazes,58.83,36.94,60,34.33,40.44,17.16
assuncao do piaui,71.1,56.12,65.78,25.9,48.53,16.47
barro duro,56.7,36.25,21.82,12.39,15.68,6.65
beneditinos,61.37,43.93,57.65,34.83,41.14,18.09
bertolinia,50.36,30.71,37.91,30.71,26.9,14.76
betania do piaui,72.49,54.75,99.49,70.33,72.2,45.55
boa hora,75.54,50.89,77.11,47.06,59.23,26.54
bom principio do piaui,68.14,49.22,60.47,37.79,46.61,22.09
bonfim do piaui,62.29,43.4,79.39,70.55,52.98,35.76
boqueirao do piaui,63.2,43.12,56.74,18.46,43.68,7.72
brasileira,62.09,47.91,62.09,27.65,47.36,16.62
buriti dos montes,68.38,46.68,76.44,27.72,57.13,16.05
cabeceiras do piaui,67.46,46.72,84.35,49.32,58.87,23.87
cajueiro da praia,62.35,47.86,93.71,51.84,59.56,30.34
caldeirao grande do piaui,65.86,49.83,79.86,73.28,57.9,41.9
