city,qt
nazare,27175
nilo pecanha,12488.91784516
nordestina,12359.66087661
nova canaa,16620.50972442
nova fatima,7550.43152402
nova ibia,6592.02177823
nova itarana,7431.17606015
nova redencao,8026
nova soure,24019.45852176
nova vicosa,38451.38398655
novo horizonte,10557.53466652
novo triunfo,15051
olindina,24847.27057862
oliveira dos brejinhos,21718.42268994
ouricangas,8298
ourolandia,16403.77428321
palmas de monte alto,20743.78029682
palmeiras,8284.86066957
paramirim,20947.24686966
paratinga,29492.21488268
paripiranga,27704.19224627
pau brasil,10755.87915572
paulo afonso,107867.73332938
pe de serra,13726.1417473
pedrao,6872.97833664
pedro alexandre,16650.90091034
piata,17969.12044592
pilao arcado,32845
pindai,15599.91391289
pindobacu,20056.58259295
pintadas,10314.88138108
pirai do norte,9725.6162599
piripa,12709.59996277
piritiba,22363
planaltino,8737.59348919
planalto,24463
pocoes,44625.48272585
pojuca,33029
ponto novo,15702.78163479
porto seguro,126040.68171104
potiragua,9778.23802895
prado,27365.76924669
presidente dutra,13673.11845812
presidente janio quadros,13639
presidente tancredo neves,23663.78926521
queimadas,24555
quijingue,26849.22673407
quixabeira,9533.5490444
rafael jambeiro,22817.44469635
remanso,38930.23986955
retirolandia,12031.49321588
riachao das neves,21847.04538864
riachao do jacuipe,33161.22223045
riacho de santana,30627
ribeira do amparo,14223.45455373
ribeira do pombal,47465.51018773
ribeirao do largo,8585.06734332
rio de contas,13007
rio do antonio,14815
rio do pires,11918
rio real,37049.65073837
rodelas,7737.26140442
ruy barbosa,29808.4630311
salinas da margarida,13451
salvador,2662845.41709831
santa barbara,19064
santa brigida,15031.90378679
santa cruz cabralia,26086.72367417
santa cruz da vitoria,6673
santa ines,10348.29797992
santa luzia,13234.51551335
santa maria da vitoria,40229.75111211
santa rita de cassia,26236.21976622
santa teresinha,9642.29489202
santaluz,33815.91435554
santana,24640.92269633
santanopolis,8771.77579599
santo amaro,57512.16093007
santo antonio de jesus,90765.51616295
santo estevao,47805.83045043
sao desiderio,27099.49753432
sao domingos,9226
sao felipe,20305
sao felix,14098
sao felix do coribe,12964.52391253
sao francisco do conde,32952.61583924
sao gabriel,18297.37081447
sao goncalo dos campos,33232.5312486
sao jose da vitoria,5693.5717184
sao jose do jacuipe,10172.38041634
sao miguel das matas,10371.13730686
sao sebastiao do passe,42083.19505372
sapeacu,16539.64355427
satiro dias,18948.93576597
saubara,11134.51329642
saude,11829.71251775
seabra,41613.46142626
sebastiao laranjeiras,10350.55614068
senhor do bonfim,74318.83523703
sento se,37391.56847903
serra do ramalho,31527.01595012
serra dourada,18087.55749795
serra preta,15395.51683949
serrinha,76186.44687923
serrolandia,12307.14898114
simoes filho,117324.46319116
sitio do mato,12050
sitio do quinto,12574.61158059
sobradinho,21823.91023102
souto soares,15857.2095992
tabocas do brejo velho,11426
tanhacu,20013
tanque novo,16112.51529882
tanquinho,8004.78003856
taperoa,18742.20692199
tapiramuta,16448.66418766
teixeira de freitas,136878.40156102
teodoro sampaio,7838.99692519
teofilandia,21428.56104227
teolandia,14786.58516663
terra nova,12803
tremedal,17029
