city,total,suitable,semi_suitable,inappropriate
afonso claudio,8479,2523,4854,1102
agua doce do norte,3337,447,2529,361
aguia branca,2485,353,1818,314
alegre,8611,3547,4339,724
alfredo chaves,3671,1122,2418,131
alto rio novo,1851,449,1126,277
anchieta,4963,1995,2795,174
apiaca,2098,1041,875,182
aracruz,16127,8406,7358,363
atilio vivacqua,2244,770,1350,124
baixo guandu,7600,3541,3642,416
barra de sao francisco,10192,3563,5697,933
boa esperanca,3541,1312,2075,155
bom jesus do norte,2727,1646,1020,61
brejetuba,2765,166,1987,611
cachoeiro de itapemirim,48505,30603,17154,747
cariacica,88038,41350,46303,384
castelo,8907,4127,4344,436
colatina,31218,18761,11608,849
conceicao da barra,6691,409,5900,382
conceicao do castelo,2817,508,2082,227
divino de sao lourenco,1296,251,862,183
domingos martins,7875,1354,5617,904
dores do rio preto,1743,711,840,192
ecoporanga,6581,1669,4421,491
fundao,3574,1055,2378,141
guacui,6777,3857,2586,334
guarapari,24544,9599,14499,447
ibatiba,5066,1658,2976,432
ibiracu,2623,1349,1204,69
ibitirama,2288,423,1519,346
iconha,3114,987,1962,165
irupi,2612,700,1555,356
itaguacu,3945,818,2887,239
itapemirim,7364,2433,4482,449
itarana,2944,863,1805,276
iuna,7045,2895,3388,762
jaguare,4825,1235,3172,418
jeronimo monteiro,2837,1344,1342,151
joao neiva,4062,2533,1458,70
laranja da terra,2966,424,2156,386
linhares,28957,12661,14950,1346
mantenopolis,3334,1190,1783,361
marataizes,8386,4434,3771,181
marechal floriano,3251,560,2515,176
marilandia,2677,821,1662,193
mimoso do sul,7220,1997,4534,690
montanha,4658,2074,2409,174
mucurici,1556,340,1073,143
muniz freire,5056,1286,3083,688
muqui,3535,1123,2099,313
nova venecia,11523,4788,5958,777
pancas,5243,1569,2993,681
pedro canario,5588,1012,4450,127
pinheiros,5762,2808,2645,309
piuma,4114,2169,1916,29
ponto belo,1718,486,1136,96
presidente kennedy,2591,356,1864,370
rio bananal,4122,640,2818,664
rio novo do sul,3042,993,1858,191
santa leopoldina,3249,180,2483,586
santa maria de jetiba,7125,690,5307,1128
santa teresa,5419,1454,3580,385
sao domingos do norte,1994,440,1351,203
sao gabriel da palha,7174,3649,3222,303
sao jose do calcado,3128,1631,1288,209
sao mateus,23181,10537,11348,1297
sao roque do canaa,2720,483,1993,244
serra,85829,46093,39530,206
sooretama,4573,646,3590,338
vargem alta,4419,113,3928,378
venda nova do imigrante,4246,1792,2377,77
viana,14190,5608,8242,340
vila pavao,2218,275,1658,285
vila valerio,3614,435,2681,498
vila velha,98968,71581,27122,264
vitoria,85514,70007,15488,19
