folder;file_name;number_of_words;pct_pol_neg;pct_pol_pos;pct_pol_neu;pct_pol_missing
ciclo_3;8998-Santo Antônio de Jesus-BA.pdf;45543;0.015062559095806673;0.03230204279086131;0.006420828110913211;0.9476658530685842
ciclo_3;9024-Ulianópolis-PA.pdf;17432;0.018944830357655432;0.022159710660772707;0.0038463746483724665;0.9557953958321372
ciclo_3;9010-Aldeias Altas-MA.pdf;59605;0.02276277991499655;0.024140306079594134;0.012968904866699143;0.9414383389050347
ciclo_3;9034-Paraíba do Sul-RJ.pdf;15486;0.0143420117578655;0.029007041798565787;0.004393048646553393;0.952710123392984
ciclo_3;9045-Governador Celso Ramos-SC.pdf;5177;0.011985308331722401;0.025130485211676008;0.0034796056446936012;0.9601778465107287
ciclo_3;9016-Pirajuba-MG.pdf;13512;0.0176741422842715;0.026808257834546274;0.009059854448240015;0.9498737561265409
ciclo_3;9018-Naviraí-MS.pdf;40637;0.014626445995609604;0.029104900969341197;0.006782921836075277;0.9518042572083961
ciclo_3;9015-Nova Lima-MG.pdf;22943;0.012481997119539127;0.024222057347357395;0.006284641906341377;0.9583206040239165
ciclo_3;9014-Fronteira-MG.pdf;9080;0.015764524308235037;0.022819975746885678;0.0054018300077169;0.9570058427957228
ciclo_3;9019-Paranhos-MS.pdf;28350;0.013242460625750409;0.024754573063069427;0.005720742990324176;0.9574122466275865
ciclo_3;9033-São José dos Pinhais-PR.pdf;45624;0.01606425702811245;0.03563982706783418;0.007768780038185529;0.9417780411262536
ciclo_3;9025-Pedras de Fogo-PB.pdf;38710;0.014631750381304447;0.031279890391127885;0.005635550500219735;0.9491507897526045
ciclo_3;9013-Florestal-MG.pdf;18035;0.016150516150516155;0.030636030636030636;0.006327006327006328;0.9478299478299478
ciclo_3;9002-Paramoti-CE.pdf;11670;0.013637533236126596;0.026331589330131237;0.0058324041512994255;0.9551419504245647
ciclo_3;9021-RESERVA DO CABAÇAL-MT.pdf;30454;0.014328436688685137;0.025009037431397683;0.00502809819580006;0.9564560123566336
ciclo_3;9006-Abadiânia-GO.pdf;31389;0.016281445536968454;0.02461371472353467;0.007342612693142639;0.9538373132422424
ciclo_3;9048-Barra dos Coqueiros-SE.pdf;9586;0.014830287206266318;0.02600522193211488;0.007310704960835509;0.9530026109660574
ciclo_3;8997-Nilo Peçanha-BA.pdf;22840;0.014996711247533434;0.03073887305415479;0.007147555360666521;0.9486516114887085
ciclo_3;9029-Ilha de Itamaracá-PE.pdf;37716;0.014648515245601465;0.02828861820980283;0.005466656051800546;0.9524719369476953
ciclo_3;9037-Poço Branco-RN.pdf;37426;0.016805373437876314;0.02571650298375659;0.007626642404131767;0.9513768096550616
ciclo_3;9044-Putinga-RS.pdf;12146;0.011626948132266841;0.03133503751958439;0.0048651768780407344;0.9537395893460872
ciclo_3;9028-Belém de Maria-PE.pdf;40084;0.009511921108475842;0.02539008862813631;0.0061665210335788275;0.95965547372363
ciclo_3;9052-Guararema-SP.pdf;7458;0.008459782462736673;0.0268564522626561;0.004699879145964817;0.9614609910030885
ciclo_3;9047-Navegantes-SC.pdf;6405;0.014082303238929745;0.023939915506180565;0.007667031763417305;0.9565013299953059
ciclo_3;9023-Santa Luzia do Pará-PA.pdf;11319;0.011583694402688123;0.03731541250331593;0.006101335219736492;0.9458838093553807
ciclo_3;9009-Valparaíso de Goiás-GO.pdf;22731;0.014632641368063819;0.02970602494600908;0.008241879324782937;0.9492705716426463
ciclo_3;8996-Madre de Deus-BA.pdf;7414;0.011744060475161988;0.028347732181425483;0.004049676025917926;0.9566684665226781
ciclo_3;9046-Ibicaré-SC.pdf;3050;0.012483574244415242;0.028909329829172138;0.006570302233902759;0.9540078843626807
ciclo_3;9026-Sobrado-PB.pdf;61093;0.013950819672131149;0.025934426229508197;0.006491803278688524;0.9551475409836065
ciclo_3;9012-Humberto de Campos-MA.pdf;40702;0.020872304814413704;0.028576351284828192;0.00817170424337895;0.9442010436152406
ciclo_3;8994-Macapá-AP.pdf;25614;0.011292591434823383;0.022936855267271024;0.00722882150672085;0.9594013754298218
ciclo_3;9050-Porto da Folha-SE.pdf;35122;0.018444083354713647;0.024459078080903102;0.006043501810199834;0.9522791413666296
ciclo_3;9031-Adrianópolis-PR.pdf;17001;0.017845573944284116;0.026444431356381422;0.0048294952588491665;0.9521762176806643
ciclo_3;9035-São Gonçalo-RJ.pdf;23128;0.013770406616723685;0.025159139133070624;0.005282986186290218;0.9573030788550643
ciclo_3;9008-Monte Alegre de Goiás-GO.pdf;19755;0.01895686552790308;0.03086826499062294;0.0064879111967154944;0.9450048152465913
ciclo_3;9043-Pinhal da Serra-RS.pdf;10845;0.01623616236162361;0.024169741697416976;0.0019372693726937272;0.9581180811808118
ciclo_3;9049-Maruim-SE.pdf;26165;0.015992654091900368;0.024027241075869454;0.006504189463213069;0.9545471936335463
ciclo_3;9040-Encantado-RS.pdf;36981;0.012208111429741911;0.033729345896490515;0.013846784104875054;0.9502116618872047
ciclo_3;9056-Santa Maria do Tocantins-TO.pdf;8489;0.01391345360216956;0.030656762174271896;0.005188067444876782;0.9511850017686594
ciclo_3;9039-Normandia-RR.pdf;23678;0.013696313831586067;0.027730808251606363;0.0063831586066959755;0.9531197159283057
ciclo_3;9032-Rio Negro-PR.pdf;25651;0.014253914945132194;0.031085250126918425;0.005350099582145508;0.9510290155035732
ciclo_3;8991-Plácido de Castro-AC.pdf;18372;0.014057647251130607;0.04004794856426742;0.0033781943006592923;0.9435514629760802
