folder;file_name;number_of_words;pct_pol_neg;pct_pol_pos;pct_pol_neu
ciclo_3;8998-Santo Antônio de Jesus-BA.pdf;45543;0.015062559095806673;0.03230204279086131;0.9540866811794975
ciclo_3;9024-Ulianópolis-PA.pdf;17432;0.018944830357655432;0.022159710660772707;0.9596417704805098
ciclo_3;9010-Aldeias Altas-MA.pdf;59605;0.02276277991499655;0.024140306079594134;0.9544072437717338
ciclo_3;9034-Paraíba do Sul-RJ.pdf;15486;0.0143420117578655;0.029007041798565787;0.9571031720395374
ciclo_3;9045-Governador Celso Ramos-SC.pdf;5177;0.011985308331722401;0.025130485211676008;0.9636574521554223
ciclo_3;9016-Pirajuba-MG.pdf;13512;0.0176741422842715;0.026808257834546274;0.958933610574781
ciclo_3;9018-Naviraí-MS.pdf;40637;0.014626445995609604;0.029104900969341197;0.9585871790444713
ciclo_3;9015-Nova Lima-MG.pdf;22943;0.012481997119539127;0.024222057347357395;0.9646052459302579
ciclo_3;9014-Fronteira-MG.pdf;9080;0.015764524308235037;0.022819975746885678;0.9624076728034395
ciclo_3;9019-Paranhos-MS.pdf;28350;0.013242460625750409;0.024754573063069427;0.9631329896179108
ciclo_3;9033-São José dos Pinhais-PR.pdf;45624;0.01606425702811245;0.03563982706783418;0.9495468211644391
ciclo_3;9025-Pedras de Fogo-PB.pdf;38710;0.014631750381304447;0.031279890391127885;0.9547863402528243
ciclo_3;9013-Florestal-MG.pdf;18035;0.016150516150516155;0.030636030636030636;0.9541569541569541
ciclo_3;9002-Paramoti-CE.pdf;11670;0.013637533236126596;0.026331589330131237;0.960974354575864
ciclo_3;9021-RESERVA DO CABAÇAL-MT.pdf;30454;0.014328436688685137;0.025009037431397683;0.9614841105524335
ciclo_3;9006-Abadiânia-GO.pdf;31389;0.016281445536968454;0.02461371472353467;0.961179925935385
ciclo_3;9048-Barra dos Coqueiros-SE.pdf;9586;0.014830287206266318;0.02600522193211488;0.9603133159268931
ciclo_3;8997-Nilo Peçanha-BA.pdf;22840;0.014996711247533434;0.03073887305415479;0.955799166849375
ciclo_3;9029-Ilha de Itamaracá-PE.pdf;37716;0.014648515245601465;0.02828861820980283;0.9579385929994959
ciclo_3;9037-Poço Branco-RN.pdf;37426;0.016805373437876314;0.02571650298375659;0.9590034520591935
ciclo_3;9044-Putinga-RS.pdf;12146;0.011626948132266841;0.03133503751958439;0.9586047662241279
ciclo_3;9028-Belém de Maria-PE.pdf;40084;0.009511921108475842;0.02539008862813631;0.9658219947572088
ciclo_3;9052-Guararema-SP.pdf;7458;0.008459782462736673;0.0268564522626561;0.9661608701490533
ciclo_3;9047-Navegantes-SC.pdf;6405;0.014082303238929745;0.023939915506180565;0.9641683617587232
ciclo_3;9023-Santa Luzia do Pará-PA.pdf;11319;0.011583694402688123;0.03731541250331593;0.9519851445751173
ciclo_3;9009-Valparaíso de Goiás-GO.pdf;22731;0.014632641368063819;0.02970602494600908;0.9575124509674292
ciclo_3;8996-Madre de Deus-BA.pdf;7414;0.011744060475161988;0.028347732181425483;0.9607181425485961
ciclo_3;9046-Ibicaré-SC.pdf;3050;0.012483574244415242;0.028909329829172138;0.9605781865965832
ciclo_3;9026-Sobrado-PB.pdf;61093;0.013950819672131149;0.025934426229508197;0.9616393442622952
ciclo_3;9012-Humberto de Campos-MA.pdf;40702;0.020872304814413704;0.028576351284828192;0.9523727478586196
ciclo_3;8994-Macapá-AP.pdf;25614;0.011292591434823383;0.022936855267271024;0.9666301969365427
ciclo_3;9050-Porto da Folha-SE.pdf;35122;0.018444083354713647;0.024459078080903102;0.9583226431768295
ciclo_3;9031-Adrianópolis-PR.pdf;17001;0.017845573944284116;0.026444431356381422;0.9570057129395135
ciclo_3;9035-São Gonçalo-RJ.pdf;23128;0.013770406616723685;0.025159139133070624;0.9625860650413544
ciclo_3;9008-Monte Alegre de Goiás-GO.pdf;19755;0.01895686552790308;0.03086826499062294;0.9514927264433068
ciclo_3;9043-Pinhal da Serra-RS.pdf;10845;0.01623616236162361;0.024169741697416976;0.9600553505535054
ciclo_3;9049-Maruim-SE.pdf;26165;0.015992654091900368;0.024027241075869454;0.9610513830967593
ciclo_3;9040-Encantado-RS.pdf;36981;0.012208111429741911;0.033729345896490515;0.9640584459920798
ciclo_3;9056-Santa Maria do Tocantins-TO.pdf;8489;0.01391345360216956;0.030656762174271896;0.9563730692135362
ciclo_3;9039-Normandia-RR.pdf;23678;0.013696313831586067;0.027730808251606363;0.9595028745350016
ciclo_3;9032-Rio Negro-PR.pdf;25651;0.014253914945132194;0.031085250126918425;0.9563791150857187
ciclo_3;8991-Plácido de Castro-AC.pdf;18372;0.014057647251130607;0.04004794856426742;0.9469296572767396
ciclo_3;9000-Canindé-CE.pdf;22029;0.01768825027282648;0.028965078210258278;0.9550291014914516
ciclo_3;9041-Glorinha-RS.pdf;4920;0.013018714401952805;0.02583401139137511;0.9619609438567942
ciclo_3;9055-São Paulo-SP.pdf;30106;0.012638861172088074;0.03488990886715892;0.9538016363999202
ciclo_3;9007-Iaciara-GO.pdf;12242;0.01431609947643979;0.02495091623036649;0.962205497382199
ciclo_3;9038-Alto Paraíso-RO.pdf;23641;0.016410125938175812;0.027519823601747012;0.9585294491794936
ciclo_3;9057-Campina Grande-PB.pdf;60594;0.013484260100801452;0.026340576716516566;0.9614806246385195
ciclo_3;9027-Abreu e Lima-PE.pdf;29469;0.01119199891141652;0.03303170499387671;0.9582596271601579
ciclo_3;9051-Barueri-SP.pdf;36483;0.012600889474551145;0.02292318673474991;0.9660407401306759
