word;freq;pct;polarity
presidencia;1;1.588839987924816e-05;
da;1314;0.020877357441332085;
republica;1;1.588839987924816e-05;
controladoria;71;0.0011280763914266194;
geral;51;0.0008103083938416562;
uniao;66;0.0010486343920303785;
secretaria;12;0.00019066079855097794;
federal;209;0.0033206755747628657;
de;4562;0.0724828802491301;
controle;86;0.0013664023896153418;1.0
interno;48;0.0007626431942039118;
sumario;1;1.588839987924816e-05;0.0
executivo;4;6.355359951699264e-05;
guaraci;379;0.006021703554235053;
sp;323;0.005131953160997156;
a;2464;0.03914901730246747;
etapa;20;0.0003177679975849632;
do;1500;0.02383259981887224;
programa;148;0.002351483182128728;
fiscalizacao;79;0.0012551835904606047;
partir;31;0.000492540396256693;
sorteios;4;6.355359951699264e-05;
publicos;18;0.0002859911978264669;
relatorio;50;0.000794419993962408;
no;1165;0.018509985859324108;
introducao;30;0.0004766519963774448;
este;27;0.0004289867967397003;
trata;35;0.0005560939957736856;
dos;593;0.00942182112839416;
resultados;65;0.0010327459921511304;
exames;67;0.0010645227919096269;
realizados;71;0.0011280763914266194;1.0
sobre;75;0.0011916299909436121;
acoes;18;0.0002859911978264669;
governo;70;0.0011121879915473713;
executadas;4;6.355359951699264e-05;-1.0
municipio;295;0.004687077964378207;
em;751;0.011932188309315368;
decorrencia;3;4.7665199637744485e-05;
o;1358;0.021576447036019002;
teve;20;0.0003177679975849632;
como;214;0.0034001175741591064;
objetivo;37;0.000587870795532182;1.0
analisar;1;1.588839987924816e-05;
aplicacao;116;0.0018430543859927866;
recursos;228;0.0036225551724685806;
federais;112;0.001779500786475794;
sob;14;0.00022243759830947426;
responsabilidade;3;4.7665199637744485e-05;1.0
orgaos;28;0.0004448751966189485;
e;1390;0.022084875832154943;
entidades;6;9.533039927548897e-05;
estaduais;5;7.94419993962408e-05;
municipais;16;0.00025421439806797057;
ou;248;0.003940323170053544;
legalmente;1;1.588839987924816e-05;
habilitadas;3;4.7665199637744485e-05;1.0
relativas;14;0.00022243759830947426;
ao;375;0.00595814995471806;
periodo;56;0.000889750393237897;
fiscalizado;28;0.0004448751966189485;
indicado;2;3.177679975849632e-05;
individualmente;6;9.533039927548897e-05;
tendo;51;0.0008103083938416562;
sido;31;0.000492540396256693;
os;498;0.007912423139865584;
trabalhos;38;0.0006037591954114301;
campo;42;0.0006673127949284228;
executados;13;0.0002065491984302261;-1.0
informacoes;47;0.0007467547943246635;
indicadores;1;1.588839987924816e-05;
socioeconomicos;1;1.588839987924816e-05;
sorteado;1;1.588839987924816e-05;
socioeconomicas;1;1.588839987924816e-05;
populacao;16;0.00025421439806797057;
indice;1;1.588839987924816e-05;
pobreza;4;6.355359951699264e-05;-1.0
pib;1;1.588839987924816e-05;
per;15;0.0002383259981887224;
capita;13;0.0002065491984302261;
eleitores;1;1.588839987924816e-05;
area;30;0.0004766519963774448;
fonte;119;0.0018907195856305312;
sitio;3;4.7665199637744485e-05;
ibge;7;0.00011121879915473713;
foram;177;0.0028122467786269247;
estrita;2;3.177679975849632e-05;
observancia;3;4.7665199637744485e-05;
as;381;0.00605348035399355;
normas;5;7.94419993962408e-05;
aplicaveis;3;4.7665199637744485e-05;
servico;73;0.0011598531911851157;
publico;90;0.0014299559891323345;
utilizadas;3;4.7665199637744485e-05;
dentre;7;0.00011121879915473713;
outras;11;0.00017477239867172976;
tecnicas;2;3.177679975849632e-05;
inspecao;22;0.0003495447973434595;
fisica;27;0.0004289867967397003;
registros;7;0.00011121879915473713;
fotograficos;1;1.588839987924816e-05;
analise;115;0.0018271659861135384;
documental;11;0.00017477239867172976;
realizacao;38;0.0006037591954114301;
entrevistas;10;0.0001588839987924816;
questionarios;1;1.588839987924816e-05;
situacoes;96;0.0015252863884078235;
evidenciadas;18;0.0002859911978264669;
nos;128;0.0020337151845437646;
segmentadas;1;1.588839987924816e-05;
acordo;86;0.0013664023896153418;
com;613;0.009739589125979123;
competencia;53;0.0008420851936001525;1.0
monitoramento;56;0.000889750393237897;
ser;114;0.0018112775862342903;
realizado;24;0.0003813215971019559;1.0
pela;318;0.005052511161600915;
primeira;4;6.355359951699264e-05;
parte;180;0.002859911978264669;
destinada;2;3.177679975849632e-05;
aos;93;0.001477621188770079;
administracao;34;0.0005402055958944375;
publica;27;0.0004289867967397003;
gestores;30;0.0004766519963774448;
programas;28;0.0004448751966189485;
execucao;134;0.0021290455838192538;
descentralizada;5;7.94419993962408e-05;
apresentara;1;1.588839987924816e-05;
que;1000;0.01588839987924816;
principio;2;3.177679975849632e-05;
demandarao;16;0.00025421439806797057;
adocao;61;0.0009691923926341378;
medidas;66;0.0010486343920303785;
preventivas;33;0.0005243171960151893;
corretivas;83;0.0013187371899775974;
desses;8;0.00012710719903398528;
visando;27;0.0004289867967397003;
melhoria;27;0.0004289867967397003;
instauracao;16;0.00025421439806797057;
competente;25;0.000397209996981204;1.0
tomada;115;0.0018271659861135384;
contas;119;0.0018907195856305312;
especial;16;0.00025421439806797057;1.0
quais;36;0.0005719823956529338;
serao;97;0.0015411747882870717;
monitoradas;16;0.00025421439806797057;
na;352;0.005592716757495352;
segunda;5;7.94419993962408e-05;
apresentadas;71;0.0011280763914266194;
decorrentes;6;9.533039927548897e-05;
levantamentos;1;1.588839987924816e-05;
necessarios;1;1.588839987924816e-05;1.0
adequada;29;0.00046076359649819664;1.0
contextualizacao;1;1.588839987924816e-05;
das;296;0.004702966364257456;
constatacoes;26;0.0004130983968604522;
relatadas;1;1.588839987924816e-05;
dessa;52;0.0008261967937209044;
forma;164;0.0026056975801966985;
