city,total,regular,military_and_gov,irregular,employers,entrepreneur
gramado,350,350,573,270,1000,400
gramado dos loureiros,200,365,600,150,600,200
gramado xavier,300,400,380,120,0,300
gravatai,400,400,600,250,1200,400
guabiju,355,300,600,151,800,500
guaiba,360,380,500,200,1500,400
guapore,300,300,511,180,1000,400
guarani das missoes,200,270,400,144,1500,170
harmonia,320,350,850,250,1000,300
herval,176,200,300,151,900,151
herveiras,300,500,585,150,950,300
horizontina,300,400,550,151,600,300
hulha negra,250,270,567,151,11901,210
humaita,250,200,380,140,800,400
ibarama,251,220,295,100,604,300
ibiaca,340,300,407,151,1500,450
ibiraiaras,300,350,450,151,1500,300
ibirapuita,160,251,360,140,2200,151
ibiruba,300,300,480,151,900,380
igrejinha,300,300,520,200,900,300
ijui,302,350,590,156,1000,393
ilopolis,300,300,300,151,1000,300
imbe,364,350,580,270,1000,375
imigrante,320,340,180,300,1500,300
independencia,200,260,385,143,1500,188
inhacora,200,325,208,130,250,200
ipe,300,300,450,230,900,300
ipiranga do sul,300,300,400,200,0,300
irai,200,280,530,151,1500,200
itaara,250,230,650,151,800,277
itacurubi,200,179,400,151,1000,200
itapuca,250,280,380,120,0,250
itaqui,260,282,580,151,1057,250
itatiba do sul,234,300,500,120,0,200
ivora,250,300,450,151,700,200
ivoti,330,310,550,250,1150,450
jaboticaba,168,250,500,151,600,150
jacutinga,278,300,355,150,302,250
jaguarao,250,260,714,151,2000,300
jaguari,220,280,450,150,1000,200
jaquirana,250,250,330,220,1000,250
jari,151,200,440,151,800,150
joia,200,226,500,151,800,151
julio de castilhos,250,250,480,151,1200,300
lagoa dos tres cantos,225,200,500,100,1500,370
lagoa vermelha,300,300,600,151,900,300
lagoao,151,350,380,151,450,130
lajeado,350,340,600,200,1200,350
lajeado do bugre,200,280,450,105,0,180
lavras do sul,186,200,302,151,1000,200
liberato salzano,250,280,400,151,1500,200
lindolfo collor,300,283,430,180,500,300
linha nova,230,300,485,280,0,150
macambara,270,290,346,180,6000,480
machadinho,200,250,382,150,600,200
mampituba,200,370,344,150,1000,225
manoel viana,200,225,350,151,600,200
maquine,242,280,380,200,1000,200
marata,270,240,500,160,800,300
marau,330,340,600,151,1300,400
marcelino ramos,280,280,500,151,2000,251
mariana pimentel,200,250,450,151,1800,161
mariano moro,290,300,400,120,1500,300
marques de souza,250,300,600,151,1200,200
mata,200,220,450,151,600,200
mato castelhano,300,330,250,151,2000,400
mato leitao,250,250,650,151,450,250
maximiliano de almeida,250,347,370,151,453,200
minas do leao,250,270,550,151,900,302
miraguai,151,250,332,151,1100,100
montauri,375,300,2000,200,300,400
monte alegre dos campos,200,235,320,180,0,151
monte belo do sul,700,400,480,180,1800,1000
montenegro,350,350,700,200,1250,320
mormaco,200,270,590,151,900,151
morrinhos do sul,225,450,458,250,1500,180
morro redondo,200,250,440,151,1300,190
morro reuter,300,300,450,250,1200,300
mostardas,250,270,370,151,1500,300
mucum,271,240,280,232,1000,300
muitos capoes,217,240,776,151,5600,230
muliterno,302,500,350,250,4500,300
nao-me-toque,300,302,421,151,1300,320
nicolau vergueiro,250,290,300,151,6000,250
nonoai,226,300,450,151,1500,200
nova alvorada,350,300,450,151,3000,400
nova araca,350,300,620,300,2000,450
