city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
agua santa,701,18,56,173,187,269
agudo,3384,195,188,1920,286,795
ajuricaba,1491,34,154,648,186,469
alecrim,793,60,94,184,292,163
alegrete,22121,1604,1860,8953,4207,5497
alegria,641,5,81,156,179,219
alpestre,944,21,143,220,254,307
alto alegre,415,3,47,126,107,132
alto feliz,924,25,12,638,55,193
alvorada,52749,4188,4278,32187,2035,10060
amaral ferrador,953,2,100,121,215,514
ametista do sul,883,14,149,206,123,391
andre da rocha,296,7,33,99,87,70
anta gorda,939,33,22,565,191,128
antonio prado,3563,134,176,2207,235,810
arambare,1003,19,81,381,175,347
ararica,1339,36,14,817,74,398
aratiba,1084,58,85,519,172,250
arroio do meio,6340,318,233,4814,282,693
arroio do sal,1082,28,57,341,217,440
arroio do tigre,2061,41,115,1171,332,402
arroio dos ratos,3865,238,395,1718,498,1017
arroio grande,4627,318,426,2000,502,1381
arvorezinha,1906,53,239,797,184,634
augusto pestana,1724,70,196,610,200,649
aurea,619,28,40,185,126,240
bage,29907,2370,2120,14651,4526,6240
balneario pinhal,1531,15,71,576,307,561
barao,1649,0,45,1184,179,242
barao de cotegipe,1077,61,71,598,77,270
barao do triunfo,664,11,23,83,133,413
barra do guarita,674,4,94,238,137,200
barra do quarai,1099,23,47,670,42,316
barra do ribeiro,3141,249,296,1712,371,513
barra do rio azul,206,6,50,65,29,57
barra funda,544,27,42,237,107,131
barracao,862,27,95,295,165,280
barros cassal,1271,78,163,386,194,451
benjamin constant do sul,242,9,6,92,104,31
bento goncalves,31531,884,900,23311,2207,4229
boa vista das missoes,414,0,51,141,132,90
boa vista do burica,1742,72,150,932,265,324
boa vista do sul,358,8,2,182,83,83
bom jesus,2940,114,184,1740,146,756
bom principio,3457,108,56,2592,195,507
bom progresso,501,0,78,99,184,141
bom retiro do sul,4287,97,118,3457,135,481
boqueirao do leao,1259,13,111,298,188,649
bossoroca,1771,76,199,588,260,648
braga,897,10,127,195,139,426
brochier,1158,39,8,777,99,234
butia,5610,197,428,3462,297,1227
cacapava do sul,8538,515,710,4115,691,2508
cacequi,3502,143,449,1564,315,1030
cachoeira do sul,22176,1266,1834,10512,3957,4608
cachoeirinha,32123,1216,1420,21461,2017,6008
cacique doble,658,19,111,144,161,223
caibate,1533,49,233,475,223,554
caicara,662,26,72,142,242,179
camaqua,14485,735,1407,6702,1620,4020
camargo,360,0,32,133,61,133
cambara do sul,2050,28,108,1125,212,578
campestre da serra,653,30,31,411,22,159
campina das missoes,1222,26,200,439,202,355
campinas do sul,1384,52,204,663,115,351
campo bom,22497,553,519,16745,1154,3525
campo novo,1615,69,167,472,359,548
campos borges,853,11,89,275,177,300
candelaria,5711,387,302,2790,447,1785
